timestamp;accel_device_id;gyro_device_id;accel_clipping[0];accel_clipping[1];accel_clipping[2];gyro_clipping[0];gyro_clipping[1];gyro_clipping[2];accel_error_count;gyro_error_count;accel_rate_hz;gyro_rate_hz;accel_raw_rate_hz;gyro_raw_rate_hz;accel_vibration_metric;gyro_vibration_metric;delta_angle_coning_metric;mean_accel[0];mean_accel[1];mean_accel[2];mean_gyro[0];mean_gyro[1];mean_gyro[2];var_accel[0];var_accel[1];var_accel[2];var_gyro[0];var_gyro[1];var_gyro[2];temperature_accel;temperature_gyro
631020541;4259850;4325386;0;0;0;0;0;0;0;0;686.82465;666.87;2060.4739;2000.6101;3.742514;0.14947814;5.6761568e-08;0.57676655;-1.5984725;-9.564577;-0.1658416;-0.20707813;-0.03169033;1.5225451;1.5179251;20.017834;0.0065505663;0.02327263;0.0016102437;33.0;nan
631951760;4259850;4325386;0;0;0;0;0;0;0;0;686.83026;666.87;2060.4907;2000.6101;3.8824918;0.15924436;3.8893997e-08;0.8835841;-1.7184299;-9.481488;0.08701203;0.10186397;-0.045605667;1.4940516;1.4992787;14.666984;0.007817016;0.02687602;0.0020022132;33.0;nan
632986443;4259850;4325386;0;0;0;0;0;0;0;0;686.8299;666.87;2060.4897;2000.6101;4.145415;0.14903337;3.1813606e-08;0.41562444;-1.272951;-9.612776;-0.13883431;-0.13842261;0.041411508;0.76139265;0.8888497;3.84339;0.0070501217;0.006958688;0.0021960493;33.0;nan
634021125;4259850;4325386;0;0;0;0;0;0;0;0;686.8292;666.87006;2060.4875;2000.6102;3.605222;0.12924449;1.0166141e-07;0.93448055;-2.6620827;-9.346244;0.36369258;0.48733014;-0.08803098;2.6249788;4.11241;12.310008;0.025103748;0.011314062;0.0053317305;33.0;nan
634952373;4259850;4325386;0;0;0;0;0;0;0;0;686.82874;666.8694;2060.486;2000.6082;3.1287396;0.11930114;2.4168523e-08;2.153118;-2.2054532;-9.033852;-0.19254525;0.006499655;-0.110854395;0.9800352;1.0151458;3.920874;0.0064378255;0.045725476;0.0015854299;33.0;nan
637021759;4259850;4325386;0;0;0;0;0;0;0;0;686.82947;666.86945;2060.4883;2000.6083;3.5094237;0.1483673;3.1459358e-08;0.8431187;-1.6358805;-9.460806;-0.12974611;-0.09290443;0.029415706;1.070153;1.8001368;7.7332783;0.0071382266;0.015102362;0.001582672;33.0;nan
637952927;4259850;4325386;0;0;0;0;0;0;0;0;686.83;666.87006;2060.49;2000.6104;3.5407672;0.15541446;4.4511577e-08;0.814703;-1.6076447;-9.487244;0.08025506;0.26183376;-0.021989733;2.1791987;0.9148657;11.119341;0.004943829;0.027040118;0.0018445994;33.0;nan
638987644;4259850;4325386;0;0;0;0;0;0;0;0;686.83093;666.8701;2060.4927;2000.6104;3.9867818;0.16149443;3.4440582e-08;0.71812564;-1.5540506;-9.541198;0.1144413;-0.08509764;-0.013791828;2.0211658;1.9538311;17.998182;0.0053348434;0.026878262;0.0020789416;33.0;nan
640022295;4259850;4325386;0;0;0;0;0;0;0;0;686.8377;666.8701;2060.5132;2000.6105;4.469822;0.18381782;7.9367986e-08;0.78916484;-1.5554893;-9.4885025;0.11570726;0.22392166;-0.08772735;1.9898148;1.9241556;35.622852;0.007879741;0.041056555;0.0029781584;33.0;nan
640953509;4259850;4325386;0;0;0;0;0;0;0;0;686.8378;666.8701;2060.5134;2000.6105;4.432712;0.16380498;1.9974786e-08;0.43378887;-1.2819433;-9.682377;0.068588614;0.0759374;0.009767496;2.6976273;1.1338423;24.705141;0.006144825;0.024939315;0.0012719145;33.0;nan
641988199;4259850;4325386;0;0;0;0;0;0;0;0;686.8381;666.8701;2060.5142;2000.6105;4.1317444;0.15907529;5.5264948e-08;0.63287854;-1.6448728;-9.674463;0.11438984;0.2676644;0.020481896;1.9995096;2.0204945;26.811422;0.014921556;0.025372854;0.0016240951;33.0;nan
643022872;4259850;4325386;0;0;0;0;0;0;0;0;686.8385;666.8702;2060.5156;2000.6106;3.6172285;0.14456876;1.3526697e-08;0.5560843;-1.3966851;-9.498574;-0.056438427;0.028041668;-0.002495909;1.1224118;3.3867128;10.88293;0.007866388;0.012103072;0.0012611242;33.0;nan
643954076;4259850;4325386;0;0;0;0;0;0;0;0;686.83856;666.8701;2060.5156;2000.6105;4.0145025;0.1721127;4.3232834e-08;0.5643572;0.11618061;-9.595511;0.13007547;0.07542278;0.108440824;1.3699013;3.086226;13.411619;0.00558405;0.025396023;0.0028549498;33.0;nan
644988759;4259850;4325386;0;0;0;0;0;0;0;0;686.83844;666.8702;2060.5154;2000.6106;4.033428;0.15769432;2.2308212e-08;0.33379441;-1.401541;-9.6678095;-0.05876966;-0.08757296;0.03655864;1.6676137;1.2022952;15.206416;0.0039263065;0.021209573;0.0019284221;33.0;nan
646023436;4259850;4325386;0;0;0;0;0;0;0;0;686.83405;666.87024;2060.5022;2000.6107;3.7423923;0.15801987;6.852287e-08;-0.07391676;0.37551874;-9.880568;0.27348477;0.05784849;0.016586218;2.0904222;2.053809;17.473276;0.004736347;0.02909716;0.002710453;33.0;nan
646954668;4259850;4325386;0;0;0;0;0;0;0;0;686.8379;666.87024;2060.5137;2000.6107;4.0427;0.15159899;1.7196456e-08;-0.098555684;0.23667753;-9.770861;-0.010086562;-0.06713738;0.006618019;1.2150722;2.063118;7.29433;0.00900044;0.013384456;0.0014897431;33.0;nan
647989348;4259850;4325386;0;0;0;0;0;0;0;0;686.8386;666.87024;2060.5159;2000.6108;3.8001547;0.15745568;5.4722722e-08;0.10503014;-0.6015853;-9.738668;0.30468103;-0.03899794;-0.045358647;1.2940068;1.4185268;12.597123;0.008902355;0.011493792;0.0020280245;33.0;nan
649024031;4259850;4325386;0;0;0;0;0;0;0;0;686.83923;666.87024;2060.5176;2000.6108;3.7513664;0.14108089;2.672377e-08;0.3582535;0.08560674;-9.649824;0.09090256;0.029662725;0.0046418766;1.4081957;2.7461667;16.615932;0.004900553;0.017681025;0.0021129248;33.0;nan
649955312;4259850;4325386;0;0;0;0;0;0;0;0;686.8394;666.86975;2060.518;2000.6093;3.8314953;0.14794815;5.2341893e-08;0.26005754;1.7695062;-9.568355;-0.10609415;-0.07090955;0.077754006;1.1119416;2.5069327;15.36688;0.016240584;0.025617307;0.0020652476;33.0;nan
650990004;4259850;4325386;0;0;0;0;0;0;0;0;686.8394;666.8698;2060.5183;2000.6094;4.5449;0.1611859;6.747822e-08;0.33343476;3.988448;-8.770018;-0.23742016;-0.022905758;0.039409634;2.25606;1.5648731;23.124786;0.0068862587;0.029895278;0.0015162717;33.0;nan
652024653;4259850;4325386;0;0;0;0;0;0;0;0;686.83887;666.8698;2060.5166;2000.6095;4.750821;0.17273165;3.9439158e-08;-0.06816169;3.1313012;-9.092482;-0.15938824;0.019118149;0.035977118;0.9701151;2.6538613;12.216038;0.024340808;0.01735966;0.0017113773;33.0;nan
652955782;4259850;4325386;0;0;0;0;0;0;0;0;686.83826;666.87036;2060.515;2000.611;4.610626;0.1919126;3.591982e-08;0.3161695;-1.4826516;-9.413327;-0.20262152;-0.059304863;0.019251952;1.1918228;3.6981285;10.222626;0.0076182485;0.02173806;0.0021431544;33.0;nan
