timestamp;yaw_sp_move_rate;q_d[0];q_d[1];q_d[2];q_d[3];thrust_body[0];thrust_body[1];thrust_body[2];reset_integral;fw_control_yaw_wheel
797734271;1.3e-44;0.89306843;-0.080626115;0.17759208;0.4054496;0.0;0.0;-0.42421055;0;0
797788238;1.3e-44;0.89306843;-0.080626115;0.17759208;0.4054496;0.0;0.0;-0.42421055;0;0
797833207;1.3e-44;0.8918362;-0.08338982;0.18367958;0.4048902;0.0;0.0;-0.42421055;0;0
797882727;1.3e-44;0.88924754;-0.08890546;0.19582868;0.40371495;0.0;0.0;-0.42421055;0;0
797936768;1.3e-44;0.8861772;-0.0950145;0.20928483;0.402321;0.0;0.0;-0.42421055;0;0
797986168;1.3e-44;0.8874298;-0.092573434;0.20390798;0.4028897;0.0;0.0;-0.42421055;0;0
798035707;1.3e-44;0.88983715;-0.08768116;0.19313195;0.4039826;0.0;0.0;-0.42421055;0;0
798085141;1.3e-44;0.899117;-0.05685632;0.1474189;0.40819564;0.0;0.0;-0.42421055;0;0
798134614;1.3e-44;0.90411633;-0.049073037;0.10809131;0.41046533;0.0;0.0;-0.42421055;0;0
798184171;1.3e-44;0.9077277;-0.032550085;0.07169683;0.41210487;0.0;0.0;-0.42421055;0;0
798233617;1.3e-44;0.90964466;-0.018478887;0.04070274;0.41297516;0.0;0.0;-0.42421055;0;0
798287577;1.3e-44;0.91053367;-0.0028197286;0.0062109088;0.41337878;0.0;0.0;-0.42421055;0;0
798337049;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
798386571;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
798431605;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
798485517;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
798534996;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
798584463;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
798638454;1.3e-44;0.9083129;0.028990999;-0.06385737;0.41237056;0.0;0.0;-0.42421055;0;0
798683438;1.3e-44;0.9056959;0.04264909;-0.093941525;0.41118243;0.0;0.0;-0.4252632;0;0
798732925;1.3e-44;0.9026466;0.054364417;-0.11974643;0.4097981;0.0;0.0;-0.4252632;0;0
798782416;1.3e-44;0.9024608;0.054996498;-0.12113869;0.40971372;0.0;0.0;-0.4252632;0;0
798836431;1.3e-44;0.9017936;0.05720776;-0.12600936;0.4094108;0.0;0.0;-0.42421055;0;0
798885869;1.3e-44;0.90099895;0.059732866;-0.13157131;0.40905002;0.0;0.0;-0.42421055;0;0
798935367;1.3e-44;0.90110016;0.059417345;-0.13087632;0.40909597;0.0;0.0;-0.4252632;0;0
798984854;1.3e-44;0.90130097;0.058786213;-0.12948616;0.40918714;0.0;0.0;-0.42421055;0;0
799034339;1.3e-44;0.90130097;0.058786213;-0.12948616;0.40918714;0.0;0.0;-0.4252632;0;0
799083854;1.3e-44;0.90140057;0.05847059;-0.12879094;0.40923238;0.0;0.0;-0.4252632;0;0
799133288;1.3e-44;0.90159816;0.05783924;-0.1274003;0.40932208;0.0;0.0;-0.4252632;0;0
799187322;1.3e-44;0.90099895;0.059732866;-0.13157131;0.40905002;0.0;0.0;-0.4252632;0;0
799236786;1.3e-44;0.90099895;0.059732866;-0.13157131;0.40905002;0.0;0.0;-0.42421055;0;0
799286324;1.3e-44;0.8984848;0.07532687;-0.14374113;0.40790865;0.0;0.0;-0.42421055;0;0
799335762;1.3e-44;0.8975507;0.07853498;-0.1489676;0.40748456;0.0;0.0;-0.42421055;0;0
799385276;1.3e-44;0.89540493;0.0887274;-0.1585143;0.40651038;0.0;0.0;-0.42421055;0;0
799434740;1.3e-44;0.89181477;0.112170994;-0.1677974;0.40488043;0.0;0.0;-0.4252632;0;0
799484210;1.3e-44;0.8904967;0.10658054;-0.17947802;0.40428203;0.0;0.0;-0.4252632;0;0
799538164;1.3e-44;0.8829827;0.12979487;-0.20687582;0.40087074;0.0;0.0;-0.42421055;0;0
799583182;1.3e-44;0.8789437;0.14136806;-0.21964204;0.39903703;0.0;0.0;-0.42421055;0;0
799632680;1.3e-44;0.8716404;0.14841938;-0.24823242;0.39572138;0.0;0.0;-0.42421055;0;0
799686616;1.3e-44;0.86841154;0.15810168;-0.25578865;0.3942555;0.0;0.0;-0.42421055;0;0
799736153;1.3e-44;0.86841154;0.13789356;-0.26722524;0.3942555;0.0;0.0;-0.42421055;0;0
799785588;1.3e-44;0.86841154;0.13789356;-0.26722524;0.3942555;0.0;0.0;-0.42421055;0;0
799835088;1.3e-44;0.86841154;0.13789356;-0.26722524;0.3942555;0.0;0.0;-0.42421055;0;0
799884567;1.3e-44;0.86841154;0.13722332;-0.26757005;0.3942555;0.0;0.0;-0.4252632;0;0
799934060;1.3e-44;0.86841154;0.12773806;-0.27222598;0.3942555;0.0;0.0;-0.42421055;0;0
799983581;1.3e-44;0.86841154;0.12705374;-0.272546;0.3942555;0.0;0.0;-0.42421055;0;0
800037524;1.3e-44;0.86841154;0.12773806;-0.27222598;0.3942555;0.0;0.0;-0.4252632;0;0
800087010;1.3e-44;0.86841154;0.124308266;-0.27380908;0.3942555;0.0;0.0;-0.42421055;0;0
800136493;1.3e-44;0.86841154;0.124308266;-0.27380908;0.3942555;0.0;0.0;-0.42421055;0;0
800181463;1.3e-44;0.86841154;0.124308266;-0.27380908;0.3942555;0.0;0.0;-0.42421055;0;0
800235442;1.3e-44;0.86841154;0.074666984;-0.2912882;0.3942555;0.0;0.0;-0.42421055;0;0
800284945;1.3e-44;0.86841154;0.052974172;-0.2960029;0.3942555;0.0;0.0;-0.4252632;0;0
800334427;1.3e-44;0.86841154;0.02313167;-0.29981476;0.3942555;0.0;0.0;-0.4252632;0;0
800388495;1.3e-44;0.86841154;0.018534176;-0.3001341;0.3942555;0.0;0.0;-0.42421055;0;0
800433467;1.3e-44;0.86841154;0.018534176;-0.3001341;0.3942555;0.0;0.0;-0.42421055;0;0
800482904;1.3e-44;0.86841154;0.018534176;-0.3001341;0.3942555;0.0;0.0;-0.42421055;0;0
800532397;1.3e-44;0.86841154;0.018534176;-0.3001341;0.3942555;0.0;0.0;-0.42421055;0;0
800586394;1.3e-44;0.86841154;0.018534176;-0.3001341;0.3942555;0.0;0.0;-0.42421055;0;0
800635878;1.3e-44;0.86841154;0.019842861;-0.3000504;0.3942555;0.0;0.0;-0.42421055;0;0
800685347;1.3e-44;0.86841154;0.015928837;-0.3002836;0.3942555;0.0;0.0;-0.42421055;0;0
800734798;1.3e-44;0.86841154;0.01528006;-0.30031738;0.3942555;0.0;0.0;-0.42421055;0;0
800784322;1.3e-44;0.86841154;0.0056754746;-0.30065227;0.3942555;0.0;0.0;-0.42421055;0;0
800833795;1.3e-44;0.86841154;0.0012785078;-0.30070308;0.3942555;0.0;0.0;-0.42421055;0;0
800883287;1.3e-44;0.86841154;-0.0073437276;-0.30061612;0.3942555;0.0;0.0;-0.42421055;0;0
800937236;1.3e-44;0.86841154;-0.016317027;-0.30026275;0.3942555;0.0;0.0;-0.42421055;0;0
800986719;1.3e-44;0.86841154;-0.017492127;-0.30019665;0.3942555;0.0;0.0;-0.42421055;0;0
801036213;1.3e-44;0.86841154;-0.022141555;-0.2998895;0.3942555;0.0;0.0;-0.42421055;0;0
801085723;1.3e-44;0.86841154;-0.02727343;-0.29946646;0.3942555;0.0;0.0;-0.42421055;0;0
801135161;1.3e-44;0.86841154;-0.03063602;-0.29914114;0.3942555;0.0;0.0;-0.42421055;0;0
801184660;1.3e-44;0.86841154;-0.022716975;-0.2998465;0.3942555;0.0;0.0;-0.4252632;0;0
801234149;1.3e-44;0.86841154;-0.0018275392;-0.30070022;0.3942555;0.0;0.0;-0.42421055;0;0
801288166;1.3e-44;0.86841154;0.02313167;-0.29981476;0.3942555;0.0;0.0;-0.42421055;0;0
801337603;1.3e-44;0.8848719;0.0684796;-0.22566926;0.40172842;0.0;0.0;-0.42421055;0;0
801382585;1.3e-44;0.8976923;0.0629679;-0.15520157;0.40754884;0.0;0.0;-0.42421055;0;0
801436586;1.3e-44;0.9063262;0.0397938;-0.08765229;0.4114686;0.0;0.0;-0.42421055;0;0
801486064;1.3e-44;0.9090721;0.023581658;-0.05194242;0.4127152;0.0;0.0;-0.42421055;0;0
801535618;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
801585019;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
801634524;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
801684010;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
801733475;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
801787450;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
801836954;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.4252632;0;0
801886447;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
801935930;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
801985439;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
802034877;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
802084384;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.4252632;0;0
802138358;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
802187886;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.4252632;0;0
802232869;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
802282309;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
802336329;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
802385765;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
802435304;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
802484748;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
802534253;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
802583783;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
802633258;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
802687173;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
802736675;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
802786159;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
802835650;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
802885155;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
802934602;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
802984106;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.4252632;0;0
803038084;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.4252632;0;0
803083067;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.4252632;0;0
803132590;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
803186544;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.4252632;0;0
803236026;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
803285507;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
803335019;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
803384461;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
803433960;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
803483441;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
803537497;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
803586928;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
803636434;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
803685960;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
803735380;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
803786357;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
803834398;1.3e-44;0.9099714;-0.032589853;-0.0147956675;0.41312352;0.0;0.0;-0.42421055;0;0
803888313;1.3e-44;0.9099714;-0.032589853;-0.0147956675;0.41312352;0.0;0.0;-0.42421055;0;0
803937802;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
803982861;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
804032398;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
804086264;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
804135752;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.4252632;0;0
