timestamp;imbalanced_prop_metric;motor_failure_mask;fd_roll;fd_pitch;fd_alt;fd_ext;fd_arm_escs;fd_battery;fd_imbalanced_prop;fd_motor
584112499;-2.278561;0;0;0;0;0;0;0;0;0
584618761;-2.4178007;0;0;0;0;0;0;0;0;0
585124520;-2.390169;0;0;0;0;0;0;0;0;0
585630520;-2.2305706;0;0;0;0;0;0;0;0;0
586136501;-2.205363;0;0;0;0;0;0;0;0;0
586642503;-2.364009;0;0;0;0;0;0;0;0;0
587148654;-2.4918847;0;0;0;0;0;0;0;0;0
587654503;-2.6077118;0;0;0;0;0;0;0;0;0
588161558;-2.6671772;0;0;0;0;0;0;0;0;0
588667569;-2.6253426;0;0;0;0;0;0;0;0;0
589173554;-2.6072893;0;0;0;0;0;0;0;0;0
589679586;-2.636502;0;0;0;0;0;0;0;0;0
590185500;-2.7912722;0;0;0;0;0;0;0;0;0
590691501;-2.8226383;0;0;0;0;0;0;0;0;0
591197515;-2.950361;0;0;0;0;0;0;0;0;0
591703522;-3.0676358;0;0;0;0;0;0;0;0;0
592209500;-3.17337;0;0;0;0;0;0;0;0;0
592715513;-3.2738135;0;0;0;0;0;0;0;0;0
593221542;-3.294863;0;0;0;0;0;0;0;0;0
593727513;-3.2709675;0;0;0;0;0;0;0;0;0
594233524;-3.2724333;0;0;0;0;0;0;0;0;0
594739505;-3.3264065;0;0;0;0;0;0;0;0;0
595245500;-3.35903;0;0;0;0;0;0;0;0;0
595751742;-3.4470353;0;0;0;0;0;0;0;0;0
596257554;-3.4566915;0;0;0;0;0;0;0;0;0
596763928;-3.424867;0;0;0;0;0;0;0;0;0
597269502;-3.3986967;0;0;0;0;0;0;0;0;0
597775502;-3.512717;0;0;0;0;0;0;0;0;0
598281501;-3.6478086;0;0;0;0;0;0;0;0;0
598787501;-3.8623695;0;0;0;0;0;0;0;0;0
599293499;-3.7540612;0;0;0;0;0;0;0;0;0
599799501;-3.6683886;0;0;0;0;0;0;0;0;0
600305927;-3.6216643;0;0;0;0;0;0;0;0;0
600811516;-3.4969354;0;0;0;0;0;0;0;0;0
601319500;-3.36761;0;0;0;0;0;0;0;0;0
601826501;-3.3612614;0;0;0;0;0;0;0;0;0
602332500;-3.291594;0;0;0;0;0;0;0;0;0
602838650;-3.2051656;0;0;0;0;0;0;0;0;0
603344500;-3.2386715;0;0;0;0;0;0;0;0;0
603850540;-3.2631006;0;0;0;0;0;0;0;0;0
604356502;-3.298609;0;0;0;0;0;0;0;0;0
604862607;-3.3421397;0;0;0;0;0;0;0;0;0
605368677;-3.4021266;0;0;0;0;0;0;0;0;0
605874502;-3.3880954;0;0;0;0;0;0;0;0;0
606380500;-3.3582056;0;0;0;0;0;0;0;0;0
606886500;-3.3174877;0;0;0;0;0;0;0;0;0
607392520;-3.2553048;0;0;0;0;0;0;0;0;0
607898649;-3.187861;0;0;0;0;0;0;0;0;0
608404500;-3.1252995;0;0;0;0;0;0;0;0;0
608910502;-3.0972683;0;0;0;0;0;0;0;0;0
609416607;-3.0896502;0;0;0;0;0;0;0;0;0
609922503;-3.0931475;0;0;0;0;0;0;0;0;0
610428947;-3.0976343;0;0;0;0;0;0;0;0;0
610934500;-3.0779564;0;0;0;0;0;0;0;0;0
611440501;-3.0375178;0;0;0;0;0;0;0;0;0
611946883;-2.9435716;0;0;0;0;0;0;0;0;0
612452501;-2.925754;0;0;0;0;0;0;0;0;0
612958858;-2.8883483;0;0;0;0;0;0;0;0;0
613464520;-2.9120724;0;0;0;0;0;0;0;0;0
613970555;-2.813949;0;0;0;0;0;0;0;0;0
614477600;-2.8584855;0;0;0;0;0;0;0;0;0
614983520;-2.8586836;0;0;0;0;0;0;0;0;0
615490519;-2.8786762;0;0;0;0;0;0;0;0;0
615996614;-2.9603329;0;0;0;0;0;0;0;0;0
616502519;-2.9769752;0;0;0;0;0;0;0;0;0
617008500;-2.9733748;0;0;0;0;0;0;0;0;0
617514501;-2.9489837;0;0;0;0;0;0;0;0;0
618021501;-2.8506417;0;0;0;0;0;0;0;0;0
618527501;-2.7755306;0;0;0;0;0;0;0;0;0
619033564;-2.7718203;0;0;0;0;0;0;0;0;0
619539502;-2.7663534;0;0;0;0;0;0;0;0;0
620045523;-2.746513;0;0;0;0;0;0;0;0;0
620552513;-2.6755254;0;0;0;0;0;0;0;0;0
621058547;-2.7308035;0;0;0;0;0;0;0;0;0
621565015;-2.6830883;0;0;0;0;0;0;0;0;0
622070653;-2.7019117;0;0;0;0;0;0;0;0;0
622576759;-2.6418908;0;0;0;0;0;0;0;0;0
623082501;-2.5414982;0;0;0;0;0;0;0;0;0
623588519;-2.5761266;0;0;0;0;0;0;0;0;0
624094520;-2.4975545;0;0;0;0;0;0;0;0;0
624601634;-2.4785142;0;0;0;0;0;0;0;0;0
625107501;-2.4089084;0;0;0;0;0;0;0;0;0
625613680;-2.4876132;0;0;0;0;0;0;0;0;0
626120502;-2.696491;0;0;0;0;0;0;0;0;0
626626520;-2.7222333;0;0;0;0;0;0;0;0;0
627132502;-2.7814841;0;0;0;0;0;0;0;0;0
627638501;-2.6925845;0;0;0;0;0;0;0;0;0
628144501;-2.8035755;0;0;0;0;0;0;0;0;0
628650501;-2.792848;0;0;0;0;0;0;0;0;0
629156545;-2.7339883;0;0;0;0;0;0;0;0;0
629662689;-2.7066038;0;0;0;0;0;0;0;0;0
630168538;-2.6669908;0;0;0;0;0;0;0;0;0
630674546;-2.6008677;0;0;0;0;0;0;0;0;0
631180502;-2.562385;0;0;0;0;0;0;0;0;0
631686835;-2.5429578;0;0;0;0;0;0;0;0;0
632192519;-2.539357;0;0;0;0;0;0;0;0;0
632698715;-2.7436512;0;0;0;0;0;0;0;0;0
633204502;-2.6710744;0;0;0;0;0;0;0;0;0
633710501;-2.5421605;0;0;0;0;0;0;0;0;0
634216519;-2.4480772;0;0;0;0;0;0;0;0;0
634722500;-2.3164713;0;0;0;0;0;0;0;0;0
635228536;-2.2042701;0;0;0;0;0;0;0;0;0
636240525;-2.264658;0;0;0;0;0;0;0;0;0
636746501;-2.25301;0;0;0;0;0;0;0;0;0
637254534;-2.2490866;0;0;0;0;0;0;0;0;0
637760573;-2.2426293;0;0;0;0;0;0;0;0;0
638266505;-2.250625;0;0;0;0;0;0;0;0;0
638772514;-2.300046;0;0;0;0;0;0;0;0;0
639278557;-2.3658426;0;0;0;0;0;0;0;0;0
639785501;-2.38374;0;0;0;0;0;0;0;0;0
640291655;-2.5130112;0;0;0;0;0;0;0;0;0
640797674;-2.5438464;0;0;0;0;0;0;0;0;0
641303502;-2.6094732;0;0;0;0;0;0;0;0;0
641809502;-2.5694811;0;0;0;0;0;0;0;0;0
642315519;-2.629858;0;0;0;0;0;0;0;0;0
642821637;-2.5569763;0;0;0;0;0;0;0;0;0
643327546;-2.4905276;0;0;0;0;0;0;0;0;0
643833519;-2.4567716;0;0;0;0;0;0;0;0;0
644339552;-2.3900506;0;0;0;0;0;0;0;0;0
644845525;-2.4057357;0;0;0;0;0;0;0;0;0
645351722;-2.4081175;0;0;0;0;0;0;0;0;0
645857616;-2.367076;0;0;0;0;0;0;0;0;0
646363500;-2.3554027;0;0;0;0;0;0;0;0;0
646869513;-2.4278224;0;0;0;0;0;0;0;0;0
647375535;-2.3858483;0;0;0;0;0;0;0;0;0
647881828;-2.3635635;0;0;0;0;0;0;0;0;0
648388500;-2.322678;0;0;0;0;0;0;0;0;0
648894499;-2.2980514;0;0;0;0;0;0;0;0;0
649401654;-2.3223362;0;0;0;0;0;0;0;0;0
649907500;-2.3884618;0;0;0;0;0;0;0;0;0
650414501;-2.4578705;0;0;0;0;0;0;0;0;0
650920500;-2.5702314;0;0;0;0;0;0;0;0;0
651426645;-2.690652;0;0;0;0;0;0;0;0;0
651932635;-2.7572687;0;0;0;0;0;0;0;0;0
652438630;-2.9241242;0;0;0;0;0;0;0;0;0
652944500;-2.9259286;0;0;0;0;0;0;0;0;0
653450501;-2.8300235;0;0;0;0;0;0;0;0;0
653956515;-2.7565598;0;0;0;0;0;0;0;0;0
654463392;-2.6727166;0;0;0;0;0;0;0;0;0
654968514;-2.6049552;0;0;0;0;0;0;0;0;0
655474503;-2.5570416;0;0;0;0;0;0;0;0;0
655980501;-2.6454337;0;0;0;0;0;0;0;0;0
656486544;-2.7087257;0;0;0;0;0;0;0;0;0
656993502;-2.7540016;0;0;0;0;0;0;0;0;0
657499821;-2.8459136;0;0;0;0;0;0;0;0;0
658005500;-2.8913596;0;0;0;0;0;0;0;0;0
658511732;-2.8538582;0;0;0;0;0;0;0;0;0
659017500;-2.9031045;0;0;0;0;0;0;0;0;0
659523501;-2.9460943;0;0;0;0;0;0;0;0;0
660029511;-2.9274037;0;0;0;0;0;0;0;0;0
660535501;-2.8322754;0;0;0;0;0;0;0;0;0
661041513;-2.76719;0;0;0;0;0;0;0;0;0
661547794;-2.7974873;0;0;0;0;0;0;0;0;0
662054501;-2.7534964;0;0;0;0;0;0;0;0;0
662560610;-2.6309955;0;0;0;0;0;0;0;0;0
663066530;-2.5287905;0;0;0;0;0;0;0;0;0
663573101;-2.515595;0;0;0;0;0;0;0;0;0
664078500;-2.4281974;0;0;0;0;0;0;0;0;0
664584501;-2.4556687;0;0;0;0;0;0;0;0;0
665090513;-2.5469337;0;0;0;0;0;0;0;0;0
665596501;-2.6266816;0;0;0;0;0;0;0;0;0
666102515;-2.6806943;0;0;0;0;0;0;0;0;0
666608502;-2.7127779;0;0;0;0;0;0;0;0;0
667114500;-2.9140465;0;0;0;0;0;0;0;0;0
667620501;-3.1037376;0;0;0;0;0;0;0;0;0
668126535;-3.420497;0;0;0;0;0;0;0;0;0
668632924;-3.666148;0;0;0;0;0;0;0;0;0
669138501;-3.7112648;0;0;0;0;0;0;0;0;0
669644503;-3.8349588;0;0;0;0;0;0;0;0;0
670150520;-3.8632002;0;0;0;0;0;0;0;0;0
670656504;-3.9419656;0;0;0;0;0;0;0;0;0
671162534;-3.993175;0;0;0;0;0;0;0;0;0
671668591;-4.091803;0;0;0;0;0;0;0;0;0
672174501;-4.075616;0;0;0;0;0;0;0;0;0
672680501;-3.8677063;0;0;0;0;0;0;0;0;0
673186499;-3.7602983;0;0;0;0;0;0;0;0;0
673692521;-3.7882757;0;0;0;0;0;0;0;0;0
674198897;-3.7483451;0;0;0;0;0;0;0;0;0
674704526;-3.664274;0;0;0;0;0;0;0;0;0
675211518;-3.6020963;0;0;0;0;0;0;0;0;0
675717911;-3.501425;0;0;0;0;0;0;0;0;0
676223635;-3.3717124;0;0;0;0;0;0;0;0;0
676729539;-3.3498585;0;0;0;0;0;0;0;0;0
677235503;-3.409005;0;0;0;0;0;0;0;0;0
677741502;-3.4122486;0;0;0;0;0;0;0;0;0
678247549;-3.3639011;0;0;0;0;0;0;0;0;0
678753658;-3.2917428;0;0;0;0;0;0;0;0;0
679259555;-3.1398385;0;0;0;0;0;0;0;0;0
679765522;-3.1850212;0;0;0;0;0;0;0;0;0
680271801;-3.2104344;0;0;0;0;0;0;0;0;0
680777521;-3.1792164;0;0;0;0;0;0;0;0;0
681284045;-3.16591;0;0;0;0;0;0;0;0;0
681789502;-3.16303;0;0;0;0;0;0;0;0;0
682295501;-3.1780214;0;0;0;0;0;0;0;0;0
682801502;-3.2321074;0;0;0;0;0;0;0;0;0
683307527;-3.366215;0;0;0;0;0;0;0;0;0
683813650;-3.403043;0;0;0;0;0;0;0;0;0
684319501;-3.4220998;0;0;0;0;0;0;0;0;0
684825568;-3.3842673;0;0;0;0;0;0;0;0;0
685331500;-3.338618;0;0;0;0;0;0;0;0;0
685837502;-3.3580985;0;0;0;0;0;0;0;0;0
686343650;-3.313921;0;0;0;0;0;0;0;0;0
686849501;-3.1962821;0;0;0;0;0;0;0;0;0
687355527;-3.2765977;0;0;0;0;0;0;0;0;0
687861501;-3.4955146;0;0;0;0;0;0;0;0;0
688367502;-3.5755234;0;0;0;0;0;0;0;0;0
688873750;-3.4973583;0;0;0;0;0;0;0;0;0
689379598;-3.3744245;0;0;0;0;0;0;0;0;0
689886523;-3.3045065;0;0;0;0;0;0;0;0;0
690392591;-3.1696103;0;0;0;0;0;0;0;0;0
690898597;-3.0683694;0;0;0;0;0;0;0;0;0
691404655;-3.01514;0;0;0;0;0;0;0;0;0
691910501;-2.9830332;0;0;0;0;0;0;0;0;0
692416519;-3.0211916;0;0;0;0;0;0;0;0;0
692922501;-3.0011435;0;0;0;0;0;0;0;0;0
693428500;-2.9954953;0;0;0;0;0;0;0;0;0
693935059;-2.9076054;0;0;0;0;0;0;0;0;0
694440531;-2.864165;0;0;0;0;0;0;0;0;0
694946501;-2.9281998;0;0;0;0;0;0;0;0;0
695452502;-2.8981793;0;0;0;0;0;0;0;0;0
695958502;-2.9177406;0;0;0;0;0;0;0;0;0
696464638;-2.904718;0;0;0;0;0;0;0;0;0
696970550;-2.91662;0;0;0;0;0;0;0;0;0
697476501;-2.9060836;0;0;0;0;0;0;0;0;0
697982612;-2.9491441;0;0;0;0;0;0;0;0;0
698488500;-2.9265602;0;0;0;0;0;0;0;0;0
698995242;-2.86314;0;0;0;0;0;0;0;0;0
699500502;-2.8140182;0;0;0;0;0;0;0;0;0
700006509;-2.8921895;0;0;0;0;0;0;0;0;0
700512519;-2.9720795;0;0;0;0;0;0;0;0;0
701018501;-2.9104466;0;0;0;0;0;0;0;0;0
701524741;-2.9614582;0;0;0;0;0;0;0;0;0
702030501;-2.9733534;0;0;0;0;0;0;0;0;0
702537501;-3.045026;0;0;0;0;0;0;0;0;0
703043964;-3.0526247;0;0;0;0;0;0;0;0;0
703549500;-3.0348492;0;0;0;0;0;0;0;0;0
704056501;-2.9391475;0;0;0;0;0;0;0;0;0
704562795;-2.9865296;0;0;0;0;0;0;0;0;0
705068535;-3.0251586;0;0;0;0;0;0;0;0;0
705574559;-3.150479;0;0;0;0;0;0;0;0;0
706080501;-3.0728679;0;0;0;0;0;0;0;0;0
706586504;-3.163965;0;0;0;0;0;0;0;0;0
707092639;-3.3416953;0;0;0;0;0;0;0;0;0
707598577;-3.4275804;0;0;0;0;0;0;0;0;0
708104782;-3.4337525;0;0;0;0;0;0;0;0;0
708610521;-3.4378004;0;0;0;0;0;0;0;0;0
709117210;-3.4937341;0;0;0;0;0;0;0;0;0
709622553;-3.473927;0;0;0;0;0;0;0;0;0
710128520;-3.4633315;0;0;0;0;0;0;0;0;0
710634545;-3.5300097;0;0;0;0;0;0;0;0;0
711140501;-3.7172608;0;0;0;0;0;0;0;0;0
711646500;-3.7904406;0;0;0;0;0;0;0;0;0
712152529;-3.872782;0;0;0;0;0;0;0;0;0
712658534;-3.7851684;0;0;0;0;0;0;0;0;0
713164503;-3.7507038;0;0;0;0;0;0;0;0;0
713670568;-3.8032613;0;0;0;0;0;0;0;0;0
714176527;-3.701028;0;0;0;0;0;0;0;0;0
714682500;-3.5975864;0;0;0;0;0;0;0;0;0
715188502;-3.5628374;0;0;0;0;0;0;0;0;0
715694501;-3.3949702;0;0;0;0;0;0;0;0;0
716200601;-3.3116994;0;0;0;0;0;0;0;0;0
716706503;-3.325996;0;0;0;0;0;0;0;0;0
717212501;-3.3953822;0;0;0;0;0;0;0;0;0
717719521;-3.4003005;0;0;0;0;0;0;0;0;0
718225520;-3.3199542;0;0;0;0;0;0;0;0;0
718731500;-3.2462277;0;0;0;0;0;0;0;0;0
719237501;-3.2069027;0;0;0;0;0;0;0;0;0
719743515;-3.193847;0;0;0;0;0;0;0;0;0
720249501;-3.2261705;0;0;0;0;0;0;0;0;0
720755515;-3.1278532;0;0;0;0;0;0;0;0;0
721261622;-3.1212208;0;0;0;0;0;0;0;0;0
721767503;-3.0910513;0;0;0;0;0;0;0;0;0
722273501;-2.9775636;0;0;0;0;0;0;0;0;0
722779569;-3.011552;0;0;0;0;0;0;0;0;0
723285501;-2.8347979;0;0;0;0;0;0;0;0;0
723791502;-2.7705667;0;0;0;0;0;0;0;0;0
724297518;-2.755569;0;0;0;0;0;0;0;0;0
724803503;-2.666766;0;0;0;0;0;0;0;0;0
725309511;-2.6116302;0;0;0;0;0;0;0;0;0
725815581;-2.5708287;0;0;0;0;0;0;0;0;0
726321532;-2.5316873;0;0;0;0;0;0;0;0;0
726827644;-2.5216036;0;0;0;0;0;0;0;0;0
727333519;-2.5129862;0;0;0;0;0;0;0;0;0
727839923;-2.5314229;0;0;0;0;0;0;0;0;0
728345501;-2.642056;0;0;0;0;0;0;0;0;0
728851502;-2.6595917;0;0;0;0;0;0;0;0;0
729357501;-2.6168377;0;0;0;0;0;0;0;0;0
729863502;-2.6523743;0;0;0;0;0;0;0;0;0
730369517;-2.762218;0;0;0;0;0;0;0;0;0
730876656;-2.8007507;0;0;0;0;0;0;0;0;0
731382505;-2.7998784;0;0;0;0;0;0;0;0;0
731888873;-2.9241765;0;0;0;0;0;0;0;0;0
732394542;-2.9888074;0;0;0;0;0;0;0;0;0
732900728;-2.9209328;0;0;0;0;0;0;0;0;0
733407096;-2.7803614;0;0;0;0;0;0;0;0;0
733912503;-2.6566365;0;0;0;0;0;0;0;0;0
734418502;-2.5999596;0;0;0;0;0;0;0;0;0
734924501;-2.5565922;0;0;0;0;0;0;0;0;0
735430517;-2.6377761;0;0;0;0;0;0;0;0;0
735936638;-2.6419766;0;0;0;0;0;0;0;0;0
736442504;-2.535592;0;0;0;0;0;0;0;0;0
736948502;-2.4589205;0;0;0;0;0;0;0;0;0
737454580;-2.3602064;0;0;0;0;0;0;0;0;0
737960501;-2.4024644;0;0;0;0;0;0;0;0;0
738466838;-2.3804507;0;0;0;0;0;0;0;0;0
738972500;-2.3996634;0;0;0;0;0;0;0;0;0
739478525;-2.4715843;0;0;0;0;0;0;0;0;0
739984534;-2.556255;0;0;0;0;0;0;0;0;0
740490521;-2.6961803;0;0;0;0;0;0;0;0;0
740996764;-2.8021328;0;0;0;0;0;0;0;0;0
741502541;-2.958564;0;0;0;0;0;0;0;0;0
742008617;-3.3074782;0;0;0;0;0;0;0;0;0
742514663;-3.3571255;0;0;0;0;0;0;0;0;0
743020520;-3.2326012;0;0;0;0;0;0;0;0;0
743526688;-3.1719933;0;0;0;0;0;0;0;0;0
744033503;-3.127316;0;0;0;0;0;0;0;0;0
744539502;-3.0978246;0;0;0;0;0;0;0;0;0
745045501;-3.066463;0;0;0;0;0;0;0;0;0
745552500;-3.0174003;0;0;0;0;0;0;0;0;0
746058637;-3.0171812;0;0;0;0;0;0;0;0;0
746564504;-2.8651724;0;0;0;0;0;0;0;0;0
747070534;-2.7198596;0;0;0;0;0;0;0;0;0
747576941;-2.6234486;0;0;0;0;0;0;0;0;0
748082501;-2.5142782;0;0;0;0;0;0;0;0;0
748588800;-2.4349177;0;0;0;0;0;0;0;0;0
749094521;-2.2808952;0;0;0;0;0;0;0;0;0
749600521;-2.3814075;0;0;0;0;0;0;0;0;0
750106501;-2.367531;0;0;0;0;0;0;0;0;0
750613502;-2.357878;0;0;0;0;0;0;0;0;0
751119501;-2.280099;0;0;0;0;0;0;0;0;0
751625501;-2.229802;0;0;0;0;0;0;0;0;0
752131539;-2.2968774;0;0;0;0;0;0;0;0;0
752637517;-2.5351353;0;0;0;0;0;0;0;0;0
753144501;-2.466984;0;0;0;0;0;0;0;0;0
753651501;-2.566515;0;0;0;0;0;0;0;0;0
754157575;-2.549562;0;0;0;0;0;0;0;0;0
