timestamp;rxerrors;fix;rssi;remote_rssi;txbuf;noise;remote_noise
489611484;0;0;25;0;100;30;0
489858509;0;0;25;0;88;35;0
490778769;0;0;25;0;96;28;0
491696726;0;0;25;0;100;47;0
492610954;0;0;25;0;100;52;0
492853426;0;0;25;0;100;47;0
493782059;0;0;25;0;98;42;0
494696945;0;0;25;0;97;42;0
495622453;0;0;25;0;96;44;0
495638663;0;0;25;0;97;45;0
496782922;0;0;25;0;100;28;0
497703489;0;0;25;0;97;33;0
498657002;0;0;25;0;100;30;0
499777990;0;0;25;0;100;23;0
500715181;0;0;25;0;96;32;0
501630967;0;0;25;0;99;25;0
501853484;0;0;25;0;100;23;0
502796838;0;0;25;0;100;35;0
503717135;0;0;25;0;97;34;0
504624879;0;0;25;0;96;31;0
504638900;0;0;25;0;100;28;0
505801242;0;0;25;0;100;30;0
506721153;0;0;25;0;100;35;0
507919151;0;0;25;0;96;27;0
508800275;0;0;25;0;100;27;0
509720884;0;0;25;0;100;36;0
510659716;0;0;25;0;96;25;0
510665529;0;0;25;0;97;27;0
511799760;0;0;25;0;100;37;0
512744069;0;0;27;0;96;35;0
513658413;0;0;28;0;97;27;0
514823285;0;0;28;0;83;34;0
515733504;0;0;28;0;100;34;0
516658329;0;0;28;0;100;27;0
517825305;0;0;28;0;100;34;0
518742962;0;0;28;0;100;28;0
519667489;0;0;28;0;100;28;0
520603119;0;0;28;0;100;26;0
520826549;0;0;28;0;100;34;0
521753162;0;0;28;0;97;26;0
522680905;0;0;28;0;98;28;0
523609952;0;0;28;0;100;27;0
523818488;0;0;28;0;100;34;0
524756274;0;0;28;0;97;31;0
525675900;0;0;28;0;97;29;0
526842224;0;0;28;0;96;38;0
527768028;0;0;28;0;100;30;0
528680105;0;0;28;0;98;28;0
529845759;0;0;28;0;96;33;0
530767488;0;0;28;0;100;25;0
531679494;0;0;28;0;100;33;0
532856035;0;0;28;0;100;32;0
533764222;0;0;28;0;100;32;0
534690810;0;0;28;0;97;31;0
535845369;0;0;28;0;96;26;0
536775012;0;0;28;0;96;30;0
537718489;0;0;28;0;100;31;0
538846085;0;0;28;0;99;30;0
539827229;0;0;28;0;99;25;0
540702211;0;0;28;0;100;37;0
541618141;0;0;28;0;100;32;0
541862483;0;0;28;0;96;33;0
542789069;0;0;28;0;100;28;0
543699023;0;0;28;0;100;34;0
544634727;0;0;28;0;97;25;0
544644533;0;0;28;0;100;26;0
545782506;0;0;28;0;98;30;0
546760217;0;0;28;0;94;35;0
547641288;0;0;28;0;98;23;0
547647094;0;0;28;0;100;27;0
548786961;0;0;28;0;97;32;0
549730723;0;0;28;0;100;32;0
550637942;0;0;28;0;97;27;0
550646530;0;0;28;0;100;30;0
551810488;0;0;28;0;94;32;0
552723180;0;0;28;0;100;29;0
553645680;0;0;28;0;98;26;0
553651501;0;0;28;0;100;29;0
554802808;0;0;28;0;100;26;0
555719130;0;0;26;0;98;24;0
556649377;0;0;24;0;96;20;0
557632823;0;0;23;0;98;38;0
557639178;0;0;23;0;100;38;0
558724101;0;0;23;0;97;24;0
559669489;0;0;23;0;100;20;0
560826178;0;0;23;0;87;24;0
561743102;0;0;23;0;96;25;0
562666487;0;0;23;0;100;23;0
563825488;0;0;23;0;100;22;0
