timestamp;unallocated_torque[0];unallocated_torque[1];unallocated_torque[2];unallocated_thrust[0];unallocated_thrust[1];unallocated_thrust[2];handled_motor_failure_mask;torque_setpoint_achieved;thrust_setpoint_achieved;actuator_saturation[0];actuator_saturation[1];actuator_saturation[2];actuator_saturation[3];actuator_saturation[4];actuator_saturation[5];actuator_saturation[6];actuator_saturation[7];actuator_saturation[8];actuator_saturation[9];actuator_saturation[10];actuator_saturation[11];actuator_saturation[12];actuator_saturation[13];actuator_saturation[14];actuator_saturation[15]
917731031;-7.450581e-09;-7.450581e-09;-2.6077032e-08;0.0;0.0;0.0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
917934966;1.4901161e-08;7.450581e-09;7.450581e-09;0.0;0.0;-2.9802322e-08;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
918132905;3.7252903e-09;7.450581e-09;7.450581e-09;0.0;0.0;-2.9802322e-08;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
918335342;-7.450581e-09;2.2351742e-08;3.7252903e-09;0.0;0.0;-2.9802322e-08;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
918533276;0.0;2.2351742e-08;2.7939677e-09;0.0;0.0;-2.9802322e-08;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
918737212;-1.8626451e-08;4.8894435e-09;2.3283064e-09;0.0;0.0;0.0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
918935150;0.0;7.450581e-09;-6.6356733e-09;0.0;0.0;-2.9802322e-08;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
919133087;0.0;0.0;0.0;0.0;0.0;-2.9802322e-08;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
919335526;-3.7252903e-09;0.0;2.2351742e-08;0.0;0.0;0.0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
919533515;7.450581e-09;7.450581e-09;7.450581e-09;0.0;0.0;0.0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
919737399;7.450581e-09;-7.450581e-09;2.9802322e-08;0.0;0.0;0.0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
919935338;7.450581e-09;1.4901161e-08;0.0;0.0;0.0;0.0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
920133323;-1.1175871e-08;0.0;7.450581e-09;0.0;0.0;0.0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
920335757;1.4901161e-08;-1.8626451e-08;7.450581e-09;0.0;0.0;0.0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
920533652;-2.9802322e-08;-3.7252903e-08;1.4901161e-08;0.0;0.0;0.0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
920731589;0.0;-7.450581e-09;0.0;0.0;0.0;0.0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
920935572;1.1175871e-08;-2.7939677e-09;0.0;0.0;0.0;0.0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
921133789;-2.9802322e-08;-2.2351742e-08;-0.1569218;0.0;0.0;0.0;0;0;1;-2;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
921336254;-0.24969056;0.0;-0.021383882;0.0;0.0;0.0;0;0;1;-2;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
921533836;-0.053502396;-2.9802322e-08;-0.07763726;0.0;0.0;-2.9802322e-08;0;0;1;0;-2;0;0;2;2;2;2;2;2;2;2;2;2;2;2
921731774;0.0;0.0;-0.038556315;0.0;0.0;-2.9802322e-08;0;0;1;-2;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
921935797;0.0;0.0;-0.2112362;0.0;0.0;-2.9802322e-08;0;0;1;-2;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
922133710;1.4901161e-08;-1.4901161e-08;-0.022847816;0.0;0.0;0.0;0;0;1;0;-2;0;0;2;2;2;2;2;2;2;2;2;2;2;2
922330130;-1.4901161e-08;2.9802322e-08;0.0;0.0;0.0;0.0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
922534022;-9.313226e-09;-7.450581e-09;-7.450581e-09;0.0;0.0;2.9802322e-08;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
922737956;-7.450581e-09;0.0;4.656613e-09;0.0;0.0;-2.9802322e-08;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
922935892;0.0;0.0;-1.816079e-08;0.0;0.0;0.0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
923133833;2.6077032e-08;7.450581e-09;1.9557774e-08;0.0;0.0;0.0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
923336268;0.0;-7.450581e-09;9.313226e-09;0.0;0.0;2.9802322e-08;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
923534206;-3.7252903e-09;0.0;-1.1175871e-08;0.0;0.0;0.0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
923732198;-2.2351742e-08;1.1175871e-08;7.450581e-09;0.0;0.0;0.0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
923936079;0.0;1.4901161e-08;-3.7252903e-08;0.0;0.0;0.0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
924134015;-1.4901161e-08;7.450581e-09;0.0;0.0;0.0;-2.9802322e-08;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
