timestamp;io_errors;frames_tx;frames_rx;interface
492575482;13755;13448;0;1
492677439;13758;13460;0;1
492779439;13769;13460;0;1
492881441;13769;13460;0;1
492983439;13769;13460;0;1
493085474;13769;13462;0;1
493187439;13771;13462;0;1
493289440;13771;13462;0;1
493391442;13771;13462;0;1
493493461;13771;13462;0;1
493595491;13771;13464;0;1
493697509;13774;13476;0;1
493799440;13785;13476;0;1
493901978;13785;13476;0;1
494003444;13785;13476;0;1
494105439;13785;13478;0;1
494207832;13787;13478;0;1
494309439;13787;13478;0;1
494411444;13787;13478;0;1
494513630;13787;13478;0;1
494615439;13787;13480;0;1
494717441;13790;13492;0;1
494819730;13801;13492;0;1
494921441;13801;13492;0;1
495023468;13801;13492;0;1
495125598;13801;13494;0;1
495227463;13803;13494;0;1
495329439;13803;13494;0;1
495431853;13803;13494;0;1
495533439;13803;13494;0;1
495635439;13804;13496;0;1
495737537;13806;13508;0;1
495839440;13817;13508;0;1
495941441;13817;13508;0;1
496043439;13817;13508;0;1
496145439;13817;13510;0;1
496247439;13819;13510;0;1
496349455;13819;13510;0;1
496451441;13819;13510;0;1
496553466;13819;13510;0;1
496655455;13820;13512;0;1
496757439;13822;13524;0;1
496859440;13833;13524;0;1
496961445;13833;13524;0;1
497063439;13833;13524;0;1
497165441;13833;13526;0;1
497267445;13835;13526;0;1
497369439;13835;13526;0;1
497471441;13835;13526;0;1
497573439;13835;13526;0;1
497675456;13836;13540;0;1
497777441;13849;13540;0;1
497879466;13849;13540;0;1
497981441;13849;13540;0;1
498083439;13849;13540;0;1
498185439;13849;13542;0;1
498287438;13851;13542;0;1
498389439;13851;13542;0;1
498491453;13851;13542;0;1
498593439;13851;13542;0;1
498695439;13852;13556;0;1
498797449;13865;13556;0;1
498899656;13865;13556;0;1
499001545;13865;13556;0;1
499103443;13865;13556;0;1
499205639;13865;13558;0;1
499307439;13867;13558;0;1
499409452;13867;13558;0;1
499511672;13867;13558;0;1
499613439;13867;13560;0;1
499715439;13870;13572;0;1
499817439;13881;13572;0;1
499919451;13881;13572;0;1
500021441;13881;13572;0;1
500123439;13881;13574;0;1
500225439;13883;13574;0;1
500327445;13883;13574;0;1
500429438;13883;13574;0;1
500531466;13883;13574;0;1
500633439;13884;13576;0;1
500735453;13886;13588;0;1
500837439;13897;13588;0;1
500939454;13897;13588;0;1
501041441;13897;13588;0;1
501143439;13897;13588;0;1
501245439;13897;13590;0;1
501347439;13899;13590;0;1
501449439;13899;13590;0;1
501551441;13899;13590;0;1
501653479;13900;13590;0;1
501755439;13900;13604;0;1
501857463;13913;13604;0;1
501959439;13913;13604;0;1
502061466;13913;13604;0;1
502163439;13913;13606;0;1
502265445;13915;13606;0;1
502367439;13915;13606;0;1
502469439;13915;13606;0;1
502571441;13915;13606;0;1
502673439;13916;13620;0;1
502775439;13929;13620;0;1
502877439;13929;13620;0;1
502979440;13929;13620;0;1
503081442;13929;13620;0;1
503183483;13929;13622;0;1
503285439;13931;13622;0;1
503387452;13931;13622;0;1
503489439;13931;13622;0;1
503591441;13931;13622;0;1
503693439;13932;13636;0;1
503795438;13945;13636;0;1
503897462;13945;13636;0;1
503999446;13945;13636;0;1
504101462;13945;13636;0;1
504203976;13945;13638;0;1
504305528;13947;13638;0;1
504407439;13947;13638;0;1
504509928;13947;13638;0;1
504611444;13947;13638;0;1
504713454;13948;13652;0;1
504816004;13961;13652;0;1
504917441;13961;13652;0;1
505019439;13961;13652;0;1
505122225;13961;13652;0;1
505223448;13961;13654;0;1
505325444;13963;13654;0;1
505427710;13963;13654;0;1
505529449;13963;13654;0;1
505631441;13964;13654;0;1
505733488;13964;13668;0;1
505835449;13977;13668;0;1
505937439;13977;13668;0;1
506039545;13977;13668;0;1
506141456;13977;13668;0;1
506243439;13977;13670;0;1
506345565;13979;13670;0;1
506447439;13979;13670;0;1
506549439;13979;13670;0;1
506651445;13980;13670;0;1
506753439;13980;13684;0;1
506855439;13993;13684;0;1
506957439;13993;13684;0;1
507059440;13993;13684;0;1
507161449;13993;13684;0;1
507263441;13993;13686;0;1
507365448;13995;13686;0;1
507467447;13995;13686;0;1
507569439;13995;13686;0;1
507671442;13996;13698;0;1
507773438;14007;13700;0;1
507875439;14009;13700;0;1
507977439;14009;13700;0;1
508079439;14009;13700;0;1
508181441;14009;13700;0;1
508283439;14009;13702;0;1
508385439;14011;13702;0;1
508487440;14011;13702;0;1
508589439;14011;13702;0;1
508691444;14012;13714;0;1
508793439;14023;13716;0;1
508895439;14025;13716;0;1
508997439;14025;13716;0;1
509099461;14025;13716;0;1
509201654;14025;13716;0;1
509303502;14025;13718;0;1
509405506;14027;13718;0;1
509507646;14027;13718;0;1
