timestamp;flag_armed;flag_multicopter_position_control_enabled;flag_control_manual_enabled;flag_control_auto_enabled;flag_control_offboard_enabled;flag_control_position_enabled;flag_control_velocity_enabled;flag_control_altitude_enabled;flag_control_climb_rate_enabled;flag_control_acceleration_enabled;flag_control_attitude_enabled;flag_control_rates_enabled;flag_control_allocation_enabled;flag_control_termination_enabled;source_id
669644497;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
670150495;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
670656498;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
671162529;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
671668585;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
672174496;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
672680496;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
673186494;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
673692516;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
674198891;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
674704521;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
675211513;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
675717905;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
676223629;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
676729534;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
677235497;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
677741496;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
678247543;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
678753652;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
679259550;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
679765517;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
680271796;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
680777516;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
681284040;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
681789496;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
682295495;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
682801496;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
683307521;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
683813644;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
684319495;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
684825563;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
685331495;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
685837496;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
686343645;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
686849495;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
687355521;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
687861495;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
688367497;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
688873745;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
689379592;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
689886518;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
690392586;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
690898592;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
691404649;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
691910495;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
692416513;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
692922495;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
693428495;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
693935053;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
694440525;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
694946495;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
695452496;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
695958497;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
696464632;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
696970544;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
697476495;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
697982607;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
698488495;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
698995238;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
699500496;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
700006503;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
700512514;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
701018496;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
701524736;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
702030496;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
702537495;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
703043960;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
703549495;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
704056495;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
704562790;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
705068517;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
705574553;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
706080496;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
706586499;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
707092634;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
707598571;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
708104777;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
708610515;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
709117205;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
709622548;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
710128515;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
710634540;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
711140496;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
711646496;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
712152523;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
712658529;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
713164497;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
713670562;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
714176521;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
714682495;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
715188497;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
715694496;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
716200595;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
716706497;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
717212495;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
717719515;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
718225515;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
718731494;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
719237496;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
719743510;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
720249496;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
720755508;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
