timestamp;gyro_rad[0];gyro_rad[1];gyro_rad[2];gyro_integral_dt;accelerometer_timestamp_relative;accelerometer_m_s2[0];accelerometer_m_s2[1];accelerometer_m_s2[2];accelerometer_integral_dt;accelerometer_clipping;gyro_clipping;accel_calibration_count;gyro_calibration_count
717506174;-0.12640955;-0.06889139;0.05267842;4452;0;-0.28171697;-0.82079387;-5.7386928;4366;0;0;2;1
717510672;-0.21347705;0.02972799;0.08989991;4498;0;0.08781775;-0.1491999;-14.85833;4366;0;0;2;1
717515171;-0.10633377;-0.03561992;-0.03279721;4499;0;-1.8331524;-0.56258863;-6.5585203;4365;0;0;2;1
717519669;-0.031224392;0.002522301;0.061105568;4498;0;0.73288876;0.19281021;-10.45502;4366;0;0;2;1
717524215;-0.17135148;-0.06792515;0.044956736;4546;0;-0.9300206;-0.6510196;-12.081072;5820;0;0;2;1
717528666;-0.15335725;0.072890796;0.041234013;4451;0;-0.7159813;-0.48707652;-6.37945;4366;0;0;2;1
717533167;-0.07227867;0.014154544;0.015898878;4501;0;0.35105887;-0.32750815;-11.634755;4365;0;0;2;1
717537664;-0.12133918;-0.06760085;0.040877674;4497;0;-1.0081656;-0.82291245;-9.70947;4366;0;0;2;1
717542162;-0.19790433;0.066571996;0.067687824;4498;0;-1.2965292;0.20355485;-8.894746;4366;0;0;2;1
717546708;-0.109128505;0.10623016;0.022856532;4546;0;0.45964295;-0.42405903;-12.618063;4365;0;0;2;1
717551159;-0.06495523;-0.07700731;0.017463187;4451;0;-0.108365156;-1.0831175;-6.386745;4366;0;0;2;1
717555658;-0.25627437;0.011654941;0.0744242;4499;0;-2.0899956;0.48267964;-12.149521;4365;0;0;2;1
717560157;-0.07857076;0.19425835;0.04648193;4499;0;-0.042230893;0.14910905;-11.560046;4366;0;0;2;1
717564655;-0.06400036;-0.0039800587;-0.00924312;4498;0;0.52234167;-1.0285001;-5.792528;4366;0;0;2;1
717569201;-0.13424346;-0.004491287;0.07712396;4546;0;-0.7943116;0.31038845;-12.516467;4366;0;0;2;1
717573652;-0.14114529;0.14860609;0.027708212;4451;0;-1.6582023;-0.13332883;-11.182798;5822;0;0;2;1
717578151;-0.11553329;0.27866593;0.02742164;4499;0;0.9468291;-0.7387345;-5.8125553;4365;0;0;2;1
717582650;-0.0018363061;-0.11657864;0.014887724;4499;0;-0.2396363;0.8478573;-13.248976;4366;0;0;2;1
717587148;-0.09514016;0.19099982;0.039968837;4498;0;-4.100639;-0.90463245;-9.487905;4367;0;0;2;1
717591694;-0.09484467;0.39764425;0.04674341;4546;0;1.8920379;0.22242218;-11.333542;4366;0;0;2;1
717596146;-0.009861392;-0.043392885;-0.030452011;4452;0;0.058716994;0.42600852;-6.169819;4365;0;0;2;1
717600644;0.0303971;0.27934003;0.052629303;4498;0;-3.7056906;-0.57491744;-14.182159;4366;0;0;2;1
717605143;-0.07970489;0.32539037;-0.0062875985;4499;0;-0.40055248;-0.24983181;-9.674421;4366;0;0;2;1
717609641;-0.05779869;0.34045166;0.027144756;4498;0;0.73317426;0.9465107;-7.9261847;4366;0;0;2;1
717614187;0.15116216;0.15982772;-0.011483956;4546;0;-1.660068;0.047914673;-11.681881;4366;0;0;2;1
717618638;0.0047033774;0.46360037;0.0061873356;4451;0;-2.7624738;-1.2911315;-10.453801;4365;0;0;2;1
717623137;-0.067799605;0.51852673;0.020529702;4499;0;0.77833503;1.3415762;-10.765638;5822;0;0;2;1
717627636;0.21086757;0.25100422;-0.021939773;4499;0;-1.4594601;-0.78086543;-7.3396335;4366;0;0;2;1
717632134;0.08698597;0.5957099;0.0065458682;4498;0;-2.4723485;-1.106033;-12.950673;4366;0;0;2;1
717636680;-0.0028761916;0.52393043;-0.0051260637;4546;0;0.41192153;1.246775;-10.79131;4366;0;0;2;1
717641131;0.17144063;0.5725281;0.006951345;4451;0;-0.790957;0.41788393;-6.9757113;4366;0;0;2;1
717645630;0.16908874;0.57447535;-0.025534967;4499;0;-1.1066871;-1.3202728;-13.294996;4366;0;0;2;1
717650129;0.108486705;0.6866784;-0.018428845;4499;0;-1.457302;0.29373923;-8.896735;4366;0;0;2;1
717654627;0.09407404;0.7003877;0.008312827;4498;0;-0.08954019;0.8730561;-10.94366;4366;0;0;2;1
717659173;0.2441016;0.6706554;-0.03880239;4546;0;-0.48629168;-0.47863126;-8.006171;4365;0;0;2;1
717663624;0.16309784;0.8039115;-0.011928252;4451;0;-0.88096386;-0.9174034;-13.021252;4366;0;0;2;1
717668123;0.16182263;0.72164303;-0.02413805;4499;0;-0.2585173;0.4175623;-7.8573155;4366;0;0;2;1
717672622;0.2206692;0.8194168;-0.02712338;4499;0;-0.43025273;-0.06574211;-9.906264;5820;0;0;2;1
717677120;0.18458539;0.82189494;-0.023755498;4498;0;0.1778433;-1.2300482;-11.701229;4366;0;0;2;1
717681666;0.21723153;0.79786956;-0.052173857;4546;0;-0.3150692;0.07549209;-7.9686913;4367;0;0;2;1
717686117;0.13277602;0.8436884;-0.041488994;4451;0;-0.53431934;0.05449749;-12.828173;4365;0;0;2;1
717690616;0.2682349;0.9195486;-0.024157453;4499;0;0.7330093;-0.6380612;-7.0925665;4366;0;0;2;1
717695114;0.16552226;0.845462;-0.052402552;4498;0;0.58472914;-1.1103547;-10.907919;4367;0;0;2;1
717699613;0.24940693;0.7984172;-0.06703784;4499;0;-1.2401161;0.3084683;-10.151385;4365;0;0;2;1
717704159;0.14280507;1.0028329;-0.035858296;4546;0;0.2655172;-1.1985468;-10.9318905;4366;0;0;2;1
717708610;0.15962775;0.85457814;-0.046042748;4451;0;1.8835982;-0.36320156;-6.679085;4366;0;0;2;1
717713109;0.22073124;0.7754126;-0.094969615;4499;0;-1.1523705;-0.8039297;-11.653436;4366;0;0;2;1
717717607;0.1039379;0.99140704;-0.04209854;4498;0;0.18609454;-1.6519344;-11.647361;4365;0;0;2;1
717722106;0.084952675;0.8122252;-0.06764919;4499;0;1.5176718;0.37406415;-6.1358523;5821;0;0;2;1
717726652;0.14278768;0.814838;-0.03814853;4546;0;0.117185876;-1.477775;-13.881235;4366;0;0;2;1
717731103;0.17386311;0.84891623;-0.10052823;4451;0;0.4659074;-1.8681245;-8.361257;4365;0;0;2;1
717735602;-0.069090195;0.85399914;-0.055911053;4499;0;1.3680824;-0.05700646;-8.656057;4366;0;0;2;1
717740100;0.10524788;0.6637508;-0.019858511;4498;0;1.933978;0.6380901;-10.483381;4366;0;0;2;1
717744599;0.11189966;0.80072033;-0.09499956;4499;0;-0.07701315;-2.7706654;-9.216399;4365;0;0;2;1
717749145;-0.017301854;0.725357;-0.068222724;4546;0;1.2656713;-0.5122142;-10.298461;4365;0;0;2;1
717753596;-0.016342688;0.625554;-0.052715864;4451;0;2.2616572;-0.07774869;-7.412889;4366;0;0;2;1
717758095;-0.005025684;0.62591726;-0.046435054;4499;0;0.4178799;-1.0306505;-10.905675;4365;0;0;2;1
717762593;-0.00015923682;0.6032232;-0.083106145;4498;0;0.88607395;-1.2783456;-9.075924;4366;0;0;2;1
717767092;-0.12501206;0.6124688;-0.046158615;4499;0;3.3787413;-0.91722304;-10.402795;4366;0;0;2;1
717771638;-0.17685851;0.2532227;-0.04593819;4546;0;0.1725215;-0.34902224;-8.308204;5820;0;0;2;1
717776089;-0.06288946;0.5706981;-0.009660338;4451;0;2.251591;-0.88396513;-10.377484;4366;0;0;2;1
717780588;-0.17224495;0.38346994;-0.10556496;4499;0;3.030163;-1.3454902;-6.579531;4365;0;0;2;1
717785086;-0.105734445;0.054430738;-0.006300751;4498;0;0.5848257;0.3674576;-10.77453;4366;0;0;2;1
717789585;-0.17277133;0.2804017;-0.010633141;4499;0;1.6393199;-1.8220204;-10.328594;4366;0;0;2;1
717794131;-0.22017735;0.23416124;-0.066263996;4546;0;3.376889;-0.3148694;-8.40344;4366;0;0;2;1
717798582;-0.13625953;-0.12446185;-0.0044931313;4451;0;3.0928078;-0.9047146;-7.7687488;4365;0;0;2;1
717803081;-0.26661038;0.047456656;-0.00015284937;4499;0;3.0431075;-1.3224432;-10.303386;4366;0;0;2;1
717807579;-0.23214789;-0.06606377;-0.047094185;4498;0;1.6307452;0.509848;-9.458822;4366;0;0;2;1
717812081;-0.21655719;0.0081931595;0.008669531;4502;0;4.7612314;-0.72837675;-7.5419726;4367;0;0;2;1
717816624;-0.22663853;-0.3319172;-0.04865629;4543;0;2.3071392;-0.5347777;-10.497013;5820;0;0;2;1
717821075;-0.2580826;-0.16110711;0.040568;4451;0;1.1044194;-0.6925633;-8.609317;4366;0;0;2;1
717825574;-0.24988031;-0.27372307;-0.024858402;4499;0;4.197608;-0.11567657;-8.4901085;4366;0;0;2;1
717830072;-0.2429256;-0.47256923;0.044848166;4498;0;-0.5677404;-0.6067475;-9.301189;4366;0;0;2;1
717834571;-0.27422538;-0.32337108;0.007879989;4499;0;3.0322974;-0.63810885;-11.60493;4366;0;0;2;1
717839117;-0.31596744;-0.53783816;0.011271771;4546;0;1.046415;-0.08822991;-4.446925;4365;0;0;2;1
717843568;-0.2408669;-0.63574225;0.060815778;4451;0;1.9067192;-1.0979005;-14.784851;4366;0;0;2;1
717848067;-0.34218314;-0.45390642;0.038874444;4499;0;2.1259582;0.34000903;-6.875586;4366;0;0;2;1
717852566;-0.28049165;-0.7346917;0.019485084;4499;0;1.0503336;-0.39056227;-8.145462;4366;0;0;2;1
717857064;-0.28705257;-0.6597737;0.09978349;4498;0;1.514237;-1.3140295;-11.401555;4366;0;0;2;1
717861610;-0.41750112;-0.75914925;0.016306192;4546;0;0.96702564;0.30005905;-8.760313;4366;0;0;2;1
717866061;-0.27507308;-0.71475327;0.13649547;4451;0;-0.40283963;2.6446958;-9.309051;4366;0;0;2;1
717870560;-0.3012787;-0.86653703;0.02359109;4499;0;1.7951272;-0.061044373;-11.381678;5821;0;0;2;1
717875058;-0.31499544;-0.7908971;0.09691402;4498;0;-1.3571668;2.7327905;-5.345464;4366;0;0;2;1
717879557;-0.26150227;-0.9030162;0.09283202;4499;0;2.7419977;1.9435365;-14.387182;4365;0;0;2;1
717884103;-0.21605027;-0.8889271;0.12732428;4546;0;-0.004077352;-0.1449439;-5.211361;4366;0;0;2;1
717888554;-0.19354847;-0.8892153;0.06879721;4451;0;0.63507485;-0.7724703;-13.914741;4366;0;0;2;1
717893053;-0.27961317;-0.782689;0.12295704;4499;0;2.4139628;-0.5606377;-6.687612;4366;0;0;2;1
717897551;-0.2306306;-1.0665854;0.102205195;4498;0;1.2218716;0.56042564;-9.073517;4366;0;0;2;1
717902050;-0.18783334;-0.7604082;0.129689;4499;0;-1.7976536;-0.6024683;-12.277687;4365;0;0;2;1
717906596;-0.24270722;-0.6831346;0.072209895;4546;0;3.1347673;-0.029479988;-9.100801;4366;0;0;2;1
717911047;-0.1616162;-1.0204035;0.13336702;4451;0;0.31350937;1.6371679;-7.424075;4366;0;0;2;1
717915548;-0.06287396;-0.9166032;0.13227677;4501;0;-2.5071135;-0.44648382;-14.524318;5821;0;0;2;1
717920044;-0.17283453;-0.51186067;0.13137878;4496;0;0.023373801;1.7629409;-5.984102;4366;0;0;2;1
717924543;-0.11151765;-1.0803161;0.10069866;4499;0;0.5934577;1.1144502;-8.611225;4366;0;0;2;1
717929089;-0.01426613;-0.78311956;0.1596387;4546;0;-3.9173214;0.48265755;-12.304894;4366;0;0;2;1
717933540;-0.01972712;-0.67578375;0.091619805;4451;0;0.20315084;0.9633387;-11.643063;4366;0;0;2;1
717938039;-0.042396955;-0.82366043;0.15548089;4499;0;0.89019585;1.3446155;-7.36161;4850;0;0;2;1
717942537;0.16383599;-0.8475455;0.1458556;4498;0;-0.6323795;-0.50354975;-13.04676;4366;0;0;2;1
717947036;0.16159068;-0.5680379;0.111338474;4499;0;-0.5739942;-0.15959364;-8.470512;4365;0;0;2;1
717951582;0.06947406;-0.7302633;0.13813367;4546;0;0.92321616;0.8059215;-9.758508;4366;0;0;2;1
717956033;0.19214685;-0.64266497;0.18376893;4451;0;-0.74062914;1.2425177;-9.513176;4365;0;0;2;1
717960532;0.32679835;-0.60241014;0.091278784;4499;0;-1.4615061;0.24332157;-11.569745;4366;0;0;2;1
717965030;0.24614607;-0.4263955;0.14142503;4498;0;-0.41529447;1.3852205;-9.6009;4365;0;0;2;1
717969529;0.36377457;-0.75889677;0.1468721;4499;0;0.20482671;1.2088531;-9.478538;4366;0;0;2;1
717974074;0.44028315;-0.49616155;0.1377093;4545;0;-3.1800127;0.020914603;-10.842642;4365;0;0;2;1
717978526;0.37841335;-0.2805799;0.15867792;4452;0;-0.51133716;1.0914724;-11.136922;4366;0;0;2;1
717983025;0.46949688;-0.47140154;0.11883134;4499;0;0.4531008;0.32309157;-7.4713216;5820;0;0;2;1
717987523;0.6046069;-0.6281781;0.13528228;4498;0;-1.9020809;0.34210747;-15.060577;4366;0;0;2;1
717992022;0.49374393;-0.12297438;0.16406102;4499;0;-2.0753787;0.24340142;-8.92855;4365;0;0;2;1
717996567;0.61763704;-0.34385836;0.14609668;4545;0;2.0174074;0.73874944;-8.241494;4365;0;0;2;1
718001019;0.6937091;-0.46709734;0.1306102;4452;0;-2.3159952;-0.50374156;-10.30132;4366;0;0;2;1
718005518;0.6717769;-0.13709171;0.15772317;4499;0;-3.2305067;-0.18478125;-13.326708;4366;0;0;2;1
718010017;0.3825528;-0.04406489;0.18897027;4499;0;0.6600467;-0.19730993;-7.966121;4366;0;0;2;1
718014515;0.7413833;-0.39969602;0.11860096;4498;0;0.05839367;0.8498881;-8.301343;4366;0;0;2;1
718019060;0.7033729;-0.06621869;0.17427507;4545;0;-3.109016;-0.70741487;-14.48173;4365;0;0;2;1
718023512;0.64138365;-0.05861249;0.15663166;4452;0;-0.30005413;-0.92153823;-8.363664;4366;0;0;2;1
718028010;0.6335654;-0.0679905;0.21781369;4498;0;-0.17098014;0.69257283;-8.686925;4365;0;0;2;1
