timestamp;armed;prearmed;ready_to_arm;lockdown;manual_lockdown;force_failsafe;in_esc_calibration_mode
588161551;1;0;1;0;0;0;0
588667562;1;0;1;0;0;0;0
589173546;1;0;1;0;0;0;0
589679579;1;0;1;0;0;0;0
590185493;1;0;1;0;0;0;0
590691494;1;0;1;0;0;0;0
591197508;1;0;1;0;0;0;0
591703515;1;0;1;0;0;0;0
592209493;1;0;1;0;0;0;0
592715506;1;0;1;0;0;0;0
593221535;1;0;1;0;0;0;0
593727506;1;0;1;0;0;0;0
594233517;1;0;1;0;0;0;0
594739498;1;0;1;0;0;0;0
595245493;1;0;1;0;0;0;0
595751735;1;0;1;0;0;0;0
596257545;1;0;1;0;0;0;0
596763921;1;0;1;0;0;0;0
597269495;1;0;1;0;0;0;0
597775495;1;0;1;0;0;0;0
598281494;1;0;1;0;0;0;0
598787494;1;0;1;0;0;0;0
599293492;1;0;1;0;0;0;0
599799494;1;0;1;0;0;0;0
600305920;1;0;1;0;0;0;0
600811509;1;0;1;0;0;0;0
601319493;1;0;1;0;0;0;0
601826494;1;0;1;0;0;0;0
602332493;1;0;1;0;0;0;0
602838643;1;0;1;0;0;0;0
603344493;1;0;1;0;0;0;0
603850533;1;0;1;0;0;0;0
604356495;1;0;1;0;0;0;0
604862600;1;0;1;0;0;0;0
605368670;1;0;1;0;0;0;0
605874495;1;0;1;0;0;0;0
606380493;1;0;1;0;0;0;0
606886492;1;0;1;0;0;0;0
607392513;1;0;1;0;0;0;0
607898642;1;0;1;0;0;0;0
608404493;1;0;1;0;0;0;0
608910494;1;0;1;0;0;0;0
609416513;1;0;1;0;0;0;0
609922495;1;0;1;0;0;0;0
610428939;1;0;1;0;0;0;0
610934493;1;0;1;0;0;0;0
611440494;1;0;1;0;0;0;0
611946876;1;0;1;0;0;0;0
612452494;1;0;1;0;0;0;0
612958850;1;0;1;0;0;0;0
613464512;1;0;1;0;0;0;0
613970548;1;0;1;0;0;0;0
614477592;1;0;1;0;0;0;0
614983513;1;0;1;0;0;0;0
615490512;1;0;1;0;0;0;0
615996607;1;0;1;0;0;0;0
616502512;1;0;1;0;0;0;0
617008493;1;0;1;0;0;0;0
617514493;1;0;1;0;0;0;0
618021494;1;0;1;0;0;0;0
618527494;1;0;1;0;0;0;0
619033557;1;0;1;0;0;0;0
619539494;1;0;1;0;0;0;0
620045516;1;0;1;0;0;0;0
620552506;1;0;1;0;0;0;0
621058540;1;0;1;0;0;0;0
621565007;1;0;1;0;0;0;0
622070646;1;0;1;0;0;0;0
622576752;1;0;1;0;0;0;0
623082494;1;0;1;0;0;0;0
623588512;1;0;1;0;0;0;0
624094513;1;0;1;0;0;0;0
624601626;1;0;1;0;0;0;0
625107494;1;0;1;0;0;0;0
625613673;1;0;1;0;0;0;0
626120494;1;0;1;0;0;0;0
626626513;1;0;1;0;0;0;0
627132494;1;0;1;0;0;0;0
