timestamp;timestamp_sample;information_event_changes;gps_checks_passed;reset_vel_to_gps;reset_vel_to_flow;reset_vel_to_vision;reset_vel_to_zero;reset_pos_to_last_known;reset_pos_to_gps;reset_pos_to_vision;starting_gps_fusion;starting_vision_pos_fusion;starting_vision_vel_fusion;starting_vision_yaw_fusion;yaw_aligned_to_imu_gps;reset_hgt_to_baro;reset_hgt_to_gps;reset_hgt_to_rng;reset_hgt_to_ev
666658889;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
667666711;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
668674194;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
669681923;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
670689747;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
671697284;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
672704976;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
673712683;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
674720588;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
675728195;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
676735765;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
677743605;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
678751067;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
679759066;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
680766530;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
681774445;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
682782004;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
683789955;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
684797392;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
685805217;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
686812821;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
687820632;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
688827955;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
689835951;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
690843543;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
691851076;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
692858932;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
693866537;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
694874153;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
695882042;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
696889705;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
697897176;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
698904825;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
699912603;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
700920267;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
701927904;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
702935654;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
703943305;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
704951176;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
705958896;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
706966349;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
707974174;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
708981725;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
709989432;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
710997095;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
712004816;392392470;7;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
