timestamp;timestamp_last_signal;rssi;rssi_dbm;rc_lost_frame_count;rc_total_frame_count;rc_ppm_frame_length;values[0];values[1];values[2];values[3];values[4];values[5];values[6];values[7];values[8];values[9];values[10];values[11];values[12];values[13];values[14];values[15];values[16];values[17];channel_count;rc_failsafe;rc_lost;input_source;link_quality
834827949;834827389;41;nan;0;5211;0;1495;1269;1426;1492;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
835322761;835322199;41;nan;0;5266;0;1567;1414;1472;1464;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
835817608;835817047;41;nan;0;5321;0;1692;1495;1474;1294;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
836312440;836311880;41;nan;0;5376;0;1659;1497;1484;1214;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
836829798;836829222;41;nan;0;5433;0;1692;1526;1474;1234;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
837324634;837324067;41;nan;0;5488;0;1550;1632;1468;1238;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
837819547;837818988;41;nan;0;5543;0;1238;1656;1450;1254;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
838314327;838313765;41;nan;0;5598;0;1305;1744;1451;1266;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
838809162;838808603;41;nan;0;5653;0;1240;1881;1438;1288;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
839326532;839325973;41;nan;0;5711;0;1132;1611;1440;1295;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
839821343;839820784;41;nan;0;5766;0;1235;1490;1444;1310;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
840316208;840315648;41;nan;0;5821;0;1494;1501;1442;1423;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
840811044;840810483;41;nan;0;5875;0;1494;1498;1615;1608;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
841328379;841327819;41;nan;0;5933;0;1701;1777;1689;1582;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
841823227;841822665;41;nan;0;5988;0;1495;1498;1658;1492;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
842318136;842317577;41;nan;0;6043;0;1494;1321;1595;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
842812918;842812356;41;nan;0;6098;0;1494;1497;1408;1483;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
843307756;843307197;41;nan;0;6153;0;1494;1497;1354;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
843825178;843824556;41;nan;0;6210;0;1381;1496;1348;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
844320090;844319468;41;nan;0;6265;0;1326;1496;1346;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
844814783;844814222;41;nan;0;6320;0;1266;1497;1344;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
845309641;845309080;41;nan;0;6375;0;1223;1497;1344;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
845826975;845826414;41;nan;0;6433;0;1172;1497;1344;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
846321827;846321267;41;nan;0;6488;0;1301;1497;1344;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
846816741;846816181;41;nan;0;6543;0;1648;1495;1344;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
847311535;847310947;41;nan;0;6598;0;1639;1495;1344;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
847828950;847828391;41;nan;0;6655;0;1615;1498;1244;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
848323722;848323163;41;nan;0;6710;0;1494;1498;1394;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
848818685;848818125;41;nan;0;6765;0;1494;1497;1393;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
849320274;849319715;41;nan;0;6821;0;1494;1496;1387;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
849808306;849807728;41;nan;0;6875;0;1494;1497;1385;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
850303124;850302565;41;nan;0;6930;0;1494;1497;1384;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
850820424;850819859;41;nan;0;6988;0;1494;1497;1384;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
851315393;851314834;41;nan;0;7043;0;1605;1495;1385;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
851810141;851809582;41;nan;0;7098;0;1318;1497;1384;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
852327454;852326875;41;nan;0;7155;0;1292;1497;1384;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
852822280;852821720;41;nan;0;7210;0;1494;1497;1384;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
853317133;853316571;41;nan;0;7265;0;1494;1497;1384;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
853811969;853811409;41;nan;0;7320;0;1495;1433;1385;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
854329319;854328754;41;nan;0;7378;0;1494;1497;1385;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
854824148;854823589;41;nan;0;7433;0;1494;1497;1384;1492;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
855318997;855318438;41;nan;0;7488;0;1494;1497;1391;1658;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
855813927;855813367;41;nan;0;7543;0;1494;1497;1389;1695;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
856308688;856308129;41;nan;0;7598;0;1494;1497;1400;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
856826027;856825467;41;nan;0;7655;0;1494;1496;1371;1395;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
