timestamp;defer_failsafes_timeout_s;disable_auto_disarm;defer_failsafes;source_type;source_id
535758562;0;0;0;0;0
536264492;0;0;0;0;0
536770514;0;0;0;0;0
537277509;0;0;0;0;0
537783492;0;0;0;0;0
538289492;0;0;0;0;0
538795492;0;0;0;0;0
539301511;0;0;0;0;0
539807554;0;0;0;0;0
540313514;0;0;0;0;0
540819557;0;0;0;0;0
541326950;0;0;0;0;0
541832508;0;0;0;0;0
542339118;0;0;0;0;0
542844492;0;0;0;0;0
543350493;0;0;0;0;0
543856492;0;0;0;0;0
544362541;0;0;0;0;0
544868555;0;0;0;0;0
545374493;0;0;0;0;0
545880492;0;0;0;0;0
546386493;0;0;0;0;0
546892491;0;0;0;0;0
547398507;0;0;0;0;0
547904490;0;0;0;0;0
548411511;0;0;0;0;0
548917494;0;0;0;0;0
549424542;0;0;0;0;0
549930511;0;0;0;0;0
550436580;0;0;0;0;0
550942629;0;0;0;0;0
551449154;0;0;0;0;0
551954507;0;0;0;0;0
552460520;0;0;0;0;0
552966494;0;0;0;0;0
553472505;0;0;0;0;0
553978494;0;0;0;0;0
554484492;0;0;0;0;0
554990549;0;0;0;0;0
555496493;0;0;0;0;0
556002492;0;0;0;0;0
556508492;0;0;0;0;0
557014504;0;0;0;0;0
557520529;0;0;0;0;0
558026492;0;0;0;0;0
558533493;0;0;0;0;0
559039492;0;0;0;0;0
559545494;0;0;0;0;0
560051796;0;0;0;0;0
560557494;0;0;0;0;0
561063493;0;0;0;0;0
561571083;0;0;0;0;0
562076522;0;0;0;0;0
562582511;0;0;0;0;0
563088491;0;0;0;0;0
563594492;0;0;0;0;0
564100527;0;0;0;0;0
564607512;0;0;0;0;0
565113492;0;0;0;0;0
565619986;0;0;0;0;0
566125492;0;0;0;0;0
566631985;0;0;0;0;0
567137493;0;0;0;0;0
567643507;0;0;0;0;0
568149492;0;0;0;0;0
568655502;0;0;0;0;0
569161509;0;0;0;0;0
569667534;0;0;0;0;0
570173503;0;0;0;0;0
570679493;0;0;0;0;0
571185491;0;0;0;0;0
571691492;0;0;0;0;0
572197491;0;0;0;0;0
572703493;0;0;0;0;0
573209505;0;0;0;0;0
573715536;0;0;0;0;0
574221784;0;0;0;0;0
574727584;0;0;0;0;0
575235493;0;0;0;0;0
575741910;0;0;0;0;0
576247524;0;0;0;0;0
576753660;0;0;0;0;0
577259853;0;0;0;0;0
577765514;0;0;0;0;0
578271505;0;0;0;0;0
578777495;0;0;0;0;0
579283494;0;0;0;0;0
579789491;0;0;0;0;0
580295496;0;0;0;0;0
580801492;0;0;0;0;0
581307510;0;0;0;0;0
581813493;0;0;0;0;0
582319516;0;0;0;0;0
582825526;0;0;0;0;0
583331493;0;0;0;0;0
583837492;0;0;0;0;0
584343538;0;0;0;0;0
584849562;0;0;0;0;0
585355510;0;0;0;0;0
585861512;0;0;0;0;0
586367710;0;0;0;0;0
586873492;0;0;0;0;0
587379517;0;0;0;0;0
587886512;0;0;0;0;0
588392493;0;0;0;0;0
588898491;0;0;0;0;0
589404504;0;0;0;0;0
589910670;0;0;0;0;0
590416492;0;0;0;0;0
590922491;0;0;0;0;0
591428524;0;0;0;0;0
591934492;0;0;0;0;0
592440793;0;0;0;0;0
592946492;0;0;0;0;0
593452623;0;0;0;0;0
593958515;0;0;0;0;0
594464491;0;0;0;0;0
594970505;0;0;0;0;0
595476506;0;0;0;0;0
595982516;0;0;0;0;0
596488491;0;0;0;0;0
596994492;0;0;0;0;0
597500492;0;0;0;0;0
598006555;0;0;0;0;0
598512492;0;0;0;0;0
599018491;0;0;0;0;0
599524491;0;0;0;0;0
600030500;0;0;0;0;0
600536491;0;0;0;0;0
601043492;0;0;0;0;0
601551513;0;0;0;0;0
602057494;0;0;0;0;0
602563493;0;0;0;0;0
603069493;0;0;0;0;0
603575492;0;0;0;0;0
604081491;0;0;0;0;0
604587491;0;0;0;0;0
605093535;0;0;0;0;0
605599806;0;0;0;0;0
606105513;0;0;0;0;0
606611826;0;0;0;0;0
607117530;0;0;0;0;0
607623491;0;0;0;0;0
608129491;0;0;0;0;0
608635858;0;0;0;0;0
609141492;0;0;0;0;0
609647699;0;0;0;0;0
610153528;0;0;0;0;0
610659493;0;0;0;0;0
611165493;0;0;0;0;0
611671536;0;0;0;0;0
612177507;0;0;0;0;0
612683492;0;0;0;0;0
613189796;0;0;0;0;0
613695510;0;0;0;0;0
614202492;0;0;0;0;0
614709019;0;0;0;0;0
615215512;0;0;0;0;0
615721491;0;0;0;0;0
616227610;0;0;0;0;0
616733541;0;0;0;0;0
617239491;0;0;0;0;0
617746570;0;0;0;0;0
618252520;0;0;0;0;0
618758526;0;0;0;0;0
619264493;0;0;0;0;0
619770503;0;0;0;0;0
620276493;0;0;0;0;0
620783512;0;0;0;0;0
621289491;0;0;0;0;0
621795492;0;0;0;0;0
622301501;0;0;0;0;0
622807829;0;0;0;0;0
623313503;0;0;0;0;0
623819511;0;0;0;0;0
624327148;0;0;0;0;0
624832493;0;0;0;0;0
625338493;0;0;0;0;0
625845782;0;0;0;0;0
626351492;0;0;0;0;0
626857511;0;0;0;0;0
627363493;0;0;0;0;0
627869505;0;0;0;0;0
628375844;0;0;0;0;0
628881525;0;0;0;0;0
629387682;0;0;0;0;0
629893502;0;0;0;0;0
630399491;0;0;0;0;0
630905493;0;0;0;0;0
631411522;0;0;0;0;0
631917522;0;0;0;0;0
632423511;0;0;0;0;0
632929491;0;0;0;0;0
633435492;0;0;0;0;0
633941492;0;0;0;0;0
634447510;0;0;0;0;0
634953493;0;0;0;0;0
635459503;0;0;0;0;0
636471494;0;0;0;0;0
636977492;0;0;0;0;0
637485528;0;0;0;0;0
637991492;0;0;0;0;0
638497832;0;0;0;0;0
639003504;0;0;0;0;0
639510491;0;0;0;0;0
640016694;0;0;0;0;0
640522537;0;0;0;0;0
641028492;0;0;0;0;0
641534491;0;0;0;0;0
642040492;0;0;0;0;0
642546688;0;0;0;0;0
643052522;0;0;0;0;0
643558493;0;0;0;0;0
644064545;0;0;0;0;0
644570983;0;0;0;0;0
645076492;0;0;0;0;0
645582765;0;0;0;0;0
