timestamp;timestamp_sample;gyro_device_id;gyro_bias[0];gyro_bias[1];gyro_bias[2];gyro_bias_limit;gyro_bias_variance[0];gyro_bias_variance[1];gyro_bias_variance[2];accel_device_id;accel_bias[0];accel_bias[1];accel_bias[2];accel_bias_limit;accel_bias_variance[0];accel_bias_variance[1];accel_bias_variance[2];mag_device_id;mag_bias[0];mag_bias[1];mag_bias[2];mag_bias_limit;mag_bias_variance[0];mag_bias_variance[1];mag_bias_variance[2];gyro_bias_valid;gyro_bias_stable;accel_bias_valid;accel_bias_stable;mag_bias_valid;mag_bias_stable
650633542;650444882;2490378;-0.003975234;-0.0030339907;-0.0020347983;0.15;4.645482e-07;6.4860967e-07;3.9075658e-07;2490378;0.27833596;-0.033810742;-0.021586623;0.4;0.00065286574;0.0008342769;1.7759143e-05;396809;0.15780677;-0.0068146987;-0.17841557;0.5;1.0502862e-06;1.1997699e-06;3.0730243e-05;1;1;1;1;1;1
651682376;651493781;2490378;-0.0042150216;-0.003347237;-0.0020681496;0.15;4.5965115e-07;6.49886e-07;3.9194637e-07;2490378;0.2778806;-0.035093524;-0.021785881;0.4;0.0006527742;0.00083349773;1.78298e-05;396809;0.15781593;-0.006968869;-0.18051153;0.5;1.049315e-06;1.1980864e-06;2.9761617e-05;1;1;1;1;1;1
653018056;652829642;2490378;-0.004452733;-0.0035918374;-0.0021077388;0.15;4.534014e-07;6.5217415e-07;3.9357664e-07;2490378;0.27768627;-0.03686968;-0.021966511;0.4;0.00065105146;0.0008247406;1.7901053e-05;396809;0.1578351;-0.0070632068;-0.18172176;0.5;1.047621e-06;1.1968156e-06;2.9218516e-05;1;1;1;1;1;1
653770689;653581683;2490378;-0.004533806;-0.0036153863;-0.0021075748;0.15;4.5017714e-07;6.5274054e-07;3.9294986e-07;2490378;0.2778403;-0.03788261;-0.022005394;0.4;0.00065101666;0.0008212907;1.7948192e-05;396809;0.15785487;-0.0070746797;-0.18165831;0.5;1.0470995e-06;1.196012e-06;2.9138715e-05;1;1;1;1;1;1
654591756;654402990;2490378;-0.0046156533;-0.0036271273;-0.002094207;0.15;4.4615524e-07;6.537321e-07;3.927568e-07;2490378;0.2779555;-0.038877502;-0.022063205;0.4;0.0006509552;0.0008167478;1.799134e-05;396809;0.15787473;-0.007091195;-0.18162566;0.5;1.0465585e-06;1.1952259e-06;2.9063998e-05;1;1;1;1;1;1
656016805;655827909;2490378;-0.00471218;-0.003605569;-0.0020266625;0.15;4.4098425e-07;6.5652574e-07;3.9245705e-07;2490378;0.27818933;-0.04090945;-0.02206433;0.4;0.0006508403;0.0008086223;1.8075823e-05;396809;0.15789899;-0.0071373684;-0.18178266;0.5;1.0456292e-06;1.1933437e-06;2.878124e-05;1;1;1;1;1;1
656877395;656688797;2490378;-0.0047484534;-0.0035891065;-0.0019719172;0.15;4.3951695e-07;6.5914264e-07;3.927912e-07;2490378;0.27834415;-0.041900985;-0.022034032;0.4;0.0006505935;0.00080486893;1.8136501e-05;396809;0.15791097;-0.0071769417;-0.18210942;0.5;1.0450024e-06;1.192215e-06;2.8546452e-05;1;1;1;1;1;1
657886851;657698114;2490378;-0.0048727784;-0.0036853373;-0.0019953484;0.15;4.3825864e-07;6.617811e-07;3.9313622e-07;2490378;0.27846935;-0.04271037;-0.022041805;0.4;0.00065060554;0.0008027386;1.8214989e-05;396809;0.15793656;-0.0072259493;-0.18265311;0.5;1.0443159e-06;1.1914517e-06;2.8322425e-05;1;1;1;1;1;1
658846575;658657955;2490378;-0.0050495327;-0.0038286243;-0.002045197;0.15;4.354141e-07;6.6393477e-07;3.9364934e-07;2490378;0.27822363;-0.04314683;-0.022159392;0.4;0.0006491431;0.00079598505;1.825946e-05;396809;0.15794876;-0.0073007946;-0.1837321;0.5;1.0430977e-06;1.190329e-06;2.7933951e-05;1;1;1;1;1;1
659855818;659667271;2490378;-0.0051916502;-0.0039417907;-0.0020877179;0.15;4.3307514e-07;6.664792e-07;3.9455796e-07;2490378;0.27808625;-0.043438997;-0.022257024;0.4;0.00064908597;0.0007939296;1.83184e-05;396809;0.1579606;-0.007353372;-0.18441303;0.5;1.0426471e-06;1.1893359e-06;2.7622098e-05;1;1;1;1;1;1
