timestamp;roll;pitch;yaw;thrust_body[0];thrust_body[1];thrust_body[2];reset_integral
784234001;-0.00677096;0.037879363;-0.035093337;0.0;0.0;-0.4789474;0
784256467;-0.01772845;0.03545557;-0.034247674;0.0;0.0;-0.471579;0
784274465;-0.028085995;0.02761955;-0.032751426;0.0;0.0;-0.4652632;0
784292476;-0.03719163;0.01704775;-0.030647015;0.0;0.0;-0.4557895;0
784315026;-0.048358187;0.0007845021;-0.028866267;0.0;0.0;-0.4557895;0
784337446;-0.058149695;-0.016264917;-0.025777347;0.0;0.0;-0.4547369;0
784355425;-0.06344296;-0.03443532;-0.023636043;0.0;0.0;-0.4547369;0
784373467;-0.06881837;-0.050691128;-0.021176357;0.0;0.0;-0.4547369;0
784396008;-0.07218228;-0.06951181;-0.017373607;0.0;0.0;-0.45368424;0
784413955;-0.0735618;-0.080191635;-0.0153591065;0.0;0.0;-0.44736844;0
784431911;-0.07143245;-0.09098855;-0.013140558;0.0;0.0;-0.44736844;0
784454406;-0.06445265;-0.09959588;-0.009820131;0.0;0.0;-0.44631582;0
784476939;-0.060108226;-0.104414664;-0.006856813;0.0;0.0;-0.43789476;0
784494932;-0.053324033;-0.10137593;-0.00469372;0.0;0.0;-0.43052635;0
784512919;-0.047615703;-0.10155709;-0.0023108856;0.0;0.0;-0.42947373;0
784535337;-0.044859942;-0.09571743;0.00060347264;0.0;0.0;-0.42947373;0
784557854;-0.040352523;-0.08817491;0.0034190547;0.0;0.0;-0.42315793;0
784571368;-0.040649604;-0.08297486;0.005359578;0.0;0.0;-0.42315793;0
784593892;-0.039590083;-0.07693787;0.008425228;0.0;0.0;-0.42105266;0
784616360;-0.03703236;-0.06547097;0.0111725;0.0;0.0;-0.42105266;0
784638918;-0.033036962;-0.060209405;0.013772549;0.0;0.0;-0.42105266;0
784652346;-0.029094864;-0.056316085;0.015009418;0.0;0.0;-0.41368425;0
784674868;-0.024491124;-0.04765828;0.017820518;0.0;0.0;-0.40631583;0
784697368;-0.017415984;-0.033862457;0.02003681;0.0;0.0;-0.40631583;0
784715313;-0.01138209;-0.028043631;0.02231894;0.0;0.0;-0.40421057;0
784733358;-0.0032176448;-0.014307517;0.024790443;0.0;0.0;-0.40421057;0
784755851;0.0040612537;0.0007471428;0.027388602;0.0;0.0;-0.3821053;0
784778333;0.013123272;0.0134463385;0.029361974;0.0;0.0;-0.3621053;0
784796313;0.021993771;0.020132072;0.03187998;0.0;0.0;-0.35157898;0
784814295;0.03149211;0.023834195;0.034313083;0.0;0.0;-0.34315792;0
784836859;0.043271236;0.0278789;0.03753506;0.0;0.0;-0.33473688;0
784854783;0.054737873;0.020928012;0.04008756;0.0;0.0;-0.33473688;0
784872854;0.06510623;0.011829042;0.04257103;0.0;0.0;-0.33473688;0
784895254;0.07634284;-7.545441e-05;0.046502747;0.0;0.0;-0.3357895;0
784917744;0.08572324;-0.015313452;0.049969412;0.0;0.0;-0.34421057;0
784935864;0.09423183;-0.029836807;0.052844137;0.0;0.0;-0.34421057;0
784953755;0.09937185;-0.04729711;0.055594057;0.0;0.0;-0.34315792;0
784976246;0.096024;-0.06132587;0.057830654;0.0;0.0;-0.34421057;0
784994233;0.0906833;-0.077231936;0.059712447;0.0;0.0;-0.34421057;0
785016732;0.07482385;-0.08859792;0.06161384;0.0;0.0;-0.34421057;0
785034785;0.05686075;-0.09365484;0.06257062;0.0;0.0;-0.34526318;0
785057227;0.029853763;-0.09745992;0.063488364;0.0;0.0;-0.34526318;0
785075202;0.003809911;-0.08953929;0.06374794;0.0;0.0;-0.34526318;0
785093291;-0.016520232;-0.08164798;0.06376783;0.0;0.0;-0.34526318;0
785115729;-0.040672764;-0.06548055;0.06347799;0.0;0.0;-0.34526318;0
785133754;-0.059066035;-0.046915073;0.06274178;0.0;0.0;-0.34526318;0
785156169;-0.06786046;-0.02804921;0.062344395;0.0;0.0;-0.34421057;0
785174179;-0.07161667;-0.008768165;0.061554346;0.0;0.0;-0.34421057;0
785196731;-0.06720131;0.010945194;0.060274426;0.0;0.0;-0.34421057;0
785214667;-0.05627652;0.025363633;0.05936664;0.0;0.0;-0.34421057;0
785237197;-0.042837307;0.04528867;0.057539422;0.0;0.0;-0.34421057;0
785255145;-0.02759995;0.050977074;0.056116696;0.0;0.0;-0.34421057;0
785273183;-0.013200556;0.053455953;0.054651372;0.0;0.0;-0.34421057;0
785295704;0.0046577514;0.058386166;0.05279022;0.0;0.0;-0.34421057;0
785313626;0.020273872;0.053795997;0.050995946;0.0;0.0;-0.34421057;0
785336143;0.039025016;0.04022356;0.048836548;0.0;0.0;-0.34315792;0
785354125;0.049349662;0.031664003;0.04673669;0.0;0.0;-0.34315792;0
785376625;0.063392125;0.014272394;0.04441034;0.0;0.0;-0.34315792;0
785394664;0.0702097;0.0016539972;0.042249814;0.0;0.0;-0.34315792;0
785412601;0.073429085;-0.011207452;0.039982554;0.0;0.0;-0.34315792;0
785435139;0.074940056;-0.03527633;0.03752836;0.0;0.0;-0.34315792;0
785457580;0.07198748;-0.05070442;0.03422865;0.0;0.0;-0.3421053;0
785475629;0.067054346;-0.067623354;0.031774238;0.0;0.0;-0.3421053;0
785493635;0.060425192;-0.082625814;0.029314477;0.0;0.0;-0.3421053;0
785516057;0.04473596;-0.09315221;0.026054345;0.0;0.0;-0.3421053;0
785534070;0.03477149;-0.10506037;0.023427205;0.0;0.0;-0.3421053;0
785552031;0.024857717;-0.115547664;0.020580407;0.0;0.0;-0.3421053;0
785574560;0.013145307;-0.124320075;0.016302507;0.0;0.0;-0.34105268;0
785597090;0.013189743;-0.13335459;0.012452556;0.0;0.0;-0.34105268;0
785615023;0.013167696;-0.13670467;0.008561267;0.0;0.0;-0.34105268;0
785633067;0.01757915;-0.14292018;0.0048496975;0.0;0.0;-0.34105268;0
785655609;0.02765001;-0.147107;-0.00027632987;0.0;0.0;-0.34105268;0
785678065;0.03972842;-0.14717734;-0.004948751;0.0;0.0;-0.34105268;0
785691600;0.047453232;-0.14600348;-0.0081155775;0.0;0.0;-0.34105268;0
785714032;0.059905145;-0.14166792;-0.012711358;0.0;0.0;-0.34105268;0
785736530;0.0724758;-0.13519308;-0.017279593;0.0;0.0;-0.34105268;0
785754547;0.07719908;-0.1266706;-0.020297565;0.0;0.0;-0.34105268;0
785772481;0.07543369;-0.111610174;-0.02315473;0.0;0.0;-0.34105268;0
785795000;0.07242926;-0.0947116;-0.02553029;0.0;0.0;-0.34000003;0
