timestamp;freefall;ground_contact;maybe_landed;landed;in_ground_effect;in_descend;has_low_throttle;vertical_movement;horizontal_movement;rotational_movement;close_to_ground_or_skipped_check;at_rest
567257299;0;0;0;0;0;0;0;0;0;1;1;0
568264956;0;0;0;0;0;0;0;0;0;0;1;0
569272732;0;0;0;0;0;0;0;0;0;1;1;0
570280269;0;0;0;0;0;0;0;0;0;1;1;0
571288084;0;0;0;0;0;0;0;0;0;1;1;0
572295810;0;0;0;0;0;0;0;0;0;0;1;0
573303437;0;0;0;0;0;0;0;0;0;0;1;0
574311238;0;0;0;0;0;0;0;0;0;0;1;0
575318942;0;0;0;0;0;0;0;0;0;0;1;0
576326422;0;0;0;0;0;0;0;0;0;1;1;0
577334304;0;0;0;0;0;0;0;0;0;1;1;0
578341995;0;0;0;0;0;0;0;0;0;0;1;0
579349716;0;0;0;0;0;0;0;0;0;0;1;0
580357320;0;0;0;0;0;0;0;0;0;0;1;0
581364984;0;0;0;0;0;0;0;0;0;0;1;0
582372826;0;0;0;0;0;0;0;0;0;1;1;0
583380468;0;0;0;0;0;0;0;1;0;0;1;0
584388081;0;0;0;0;0;0;0;1;0;1;1;0
585396150;0;0;0;0;0;0;0;1;0;0;1;0
586403574;0;0;0;0;0;0;0;1;0;0;1;0
587411377;0;0;0;0;0;0;0;1;0;0;1;0
588418785;0;0;0;0;0;0;0;1;0;0;1;0
589426914;0;0;0;0;0;0;0;0;0;0;1;0
590434200;0;0;0;0;0;0;0;0;0;0;1;0
591442205;0;0;0;0;0;0;0;0;0;0;1;0
592449746;0;0;0;0;0;0;0;0;0;0;1;0
593457618;0;0;0;0;0;0;0;0;0;0;1;0
594465011;0;0;0;0;0;0;0;0;0;0;1;0
595472821;0;0;0;0;0;0;0;0;0;1;1;0
596480484;0;0;0;0;0;0;0;0;0;0;1;0
597488245;0;0;0;0;0;0;0;0;0;0;1;0
598495698;0;0;0;0;0;0;0;0;0;1;1;0
599503476;0;0;0;0;0;0;0;0;0;1;1;0
600511331;0;0;0;0;0;0;0;0;0;0;1;0
601519040;0;0;0;0;0;0;0;0;0;1;1;0
602526710;0;0;0;0;0;0;0;0;0;0;1;0
603534409;0;0;0;0;0;0;0;0;0;0;1;0
604542092;0;0;0;0;0;0;0;0;0;0;1;0
605549766;0;0;0;0;0;0;0;0;0;0;1;0
606557563;0;0;0;0;0;0;0;0;0;0;1;0
607565210;0;0;0;0;0;0;0;0;0;0;1;0
608572684;0;0;0;0;0;0;0;0;0;0;1;0
609580556;0;0;0;0;0;0;0;0;0;0;1;0
610588347;0;0;0;0;0;0;0;0;0;0;1;0
611595945;0;0;0;0;0;0;0;0;0;0;1;0
612603618;0;0;0;0;0;0;0;0;0;0;1;0
613611158;0;0;0;0;0;0;0;0;0;0;1;0
614619061;0;0;0;0;0;0;0;0;0;0;1;0
615626685;0;0;0;0;0;0;0;0;0;0;1;0
616634285;0;0;0;0;0;0;0;1;0;1;1;0
617642061;0;0;0;0;0;0;0;0;0;0;1;0
618649719;0;0;0;0;0;0;0;0;0;1;1;0
619657353;0;0;0;0;0;0;0;0;0;1;1;0
620665221;0;0;0;0;0;0;0;0;0;0;1;0
621672872;0;0;0;0;0;0;0;0;0;0;1;0
622680595;0;0;0;0;0;0;0;0;0;0;1;0
623688235;0;0;0;0;0;0;0;0;0;0;1;0
