timestamp;voltage_v;rssi_v;free_memory_bytes;pwm[0];pwm[1];pwm[2];pwm[3];pwm[4];pwm[5];pwm[6];pwm[7];pwm_disarmed[0];pwm_disarmed[1];pwm_disarmed[2];pwm_disarmed[3];pwm_disarmed[4];pwm_disarmed[5];pwm_disarmed[6];pwm_disarmed[7];pwm_failsafe[0];pwm_failsafe[1];pwm_failsafe[2];pwm_failsafe[3];pwm_failsafe[4];pwm_failsafe[5];pwm_failsafe[6];pwm_failsafe[7];pwm_rate_hz[0];pwm_rate_hz[1];pwm_rate_hz[2];pwm_rate_hz[3];pwm_rate_hz[4];pwm_rate_hz[5];pwm_rate_hz[6];pwm_rate_hz[7];raw_inputs[0];raw_inputs[1];raw_inputs[2];raw_inputs[3];raw_inputs[4];raw_inputs[5];raw_inputs[6];raw_inputs[7];raw_inputs[8];raw_inputs[9];raw_inputs[10];raw_inputs[11];raw_inputs[12];raw_inputs[13];raw_inputs[14];raw_inputs[15];raw_inputs[16];raw_inputs[17];status_arm_sync;status_failsafe;status_fmu_initialized;status_fmu_ok;status_init_ok;status_outputs_armed;status_raw_pwm;status_rc_ok;status_rc_dsm;status_rc_ppm;status_rc_sbus;status_rc_st24;status_rc_sumd;status_safety_button_event;alarm_pwm_error;alarm_rc_lost;arming_failsafe_custom;arming_fmu_armed;arming_fmu_prearmed;arming_force_failsafe;arming_io_arm_ok;arming_lockdown;arming_termination_failsafe
787576520;5.0610003;1.6580001;1824;1349;1475;1307;1354;0;0;0;0;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;400;400;400;0;0;0;0;0;1494;1497;1330;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;1;0;1;1;1;1;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0
788588764;5.0490003;1.641;1824;1366;1473;1263;1383;0;0;0;0;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;400;400;400;0;0;0;0;0;1494;1497;1330;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;1;0;1;1;1;1;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0
789600744;5.051;1.6470001;1824;1336;1481;1276;1392;0;0;0;0;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;400;400;400;0;0;0;0;0;1494;1497;1330;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;1;0;1;1;1;1;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0
790613087;5.046;1.651;1824;1376;1441;1275;1393;0;0;0;0;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;400;400;400;0;0;0;0;0;1494;1497;1330;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;1;0;1;1;1;1;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0
791625206;5.039;1.7260001;1824;1345;1478;1289;1373;0;0;0;0;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;400;400;400;0;0;0;0;0;1494;1497;1330;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;1;0;1;1;1;1;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0
792637358;5.044;1.6500001;1824;1365;1485;1262;1373;0;0;0;0;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;400;400;400;0;0;0;0;0;1495;1497;1330;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;1;0;1;1;1;1;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0
793649456;5.063;1.654;1824;1387;1479;1258;1361;0;0;0;0;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;400;400;400;0;0;0;0;0;1494;1497;1330;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;1;0;1;1;1;1;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0
794661727;5.044;1.6800001;1824;1408;1471;1279;1380;0;0;0;0;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;400;400;400;0;0;0;0;0;1494;1497;1346;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;1;0;1;1;1;1;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0
795673927;5.0660005;1.6380001;1824;1470;1534;1348;1420;0;0;0;0;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;400;400;400;0;0;0;0;0;1494;1497;1415;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;1;0;1;1;1;1;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0
796686124;5.0680003;1.654;1824;1436;1566;1324;1435;0;0;0;0;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;400;400;400;0;0;0;0;0;1495;1332;1411;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;1;0;1;1;1;1;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0
