timestamp;timestamp_sample;latitude_deg;longitude_deg;altitude_msl_m;altitude_ellipsoid_m;time_utc_usec;device_id;s_variance_m_s;c_variance_rad;eph;epv;hdop;vdop;noise_per_ms;jamming_indicator;vel_m_s;vel_n_m_s;vel_e_m_s;vel_d_m_s;cog_rad;timestamp_time_relative;heading;heading_offset;heading_accuracy;rtcm_injection_rate;automatic_gain_control;fix_type;jamming_state;spoofing_state;vel_ned_valid;satellites_used;selected_rtcm_instance;rtcm_crc_failed;rtcm_msg_used
463071469;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3764311.5;99.99;99.99;80;34;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2808;0;0;1;0;0;0;0;0
464071468;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3764367.8;99.99;99.99;80;33;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2808;0;0;1;0;0;0;0;0
465070470;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3764423.8;99.99;99.99;80;28;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2808;0;0;1;0;0;0;0;0
466071481;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3764481.0;99.99;99.99;80;25;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2808;0;0;1;0;0;0;0;0
467070476;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3764538.0;99.99;99.99;80;24;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2808;0;0;1;0;0;0;0;0
469071493;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3764652.8;99.99;99.99;80;27;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2808;0;0;1;0;0;0;0;0
470070513;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3764710.2;99.99;99.99;80;33;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2808;0;0;1;0;0;0;0;0
471070602;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3764768.8;99.99;99.99;80;33;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2457;0;0;1;0;0;0;0;0
472070475;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3764826.8;99.99;99.99;80;34;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2457;0;0;1;0;0;0;0;0
473070475;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3764885.8;99.99;99.99;80;38;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2457;0;0;1;0;0;0;0;0
474070476;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3764944.2;99.99;99.99;80;35;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2457;0;0;1;0;0;0;0;0
475070480;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3765003.8;99.99;99.99;80;36;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2457;0;0;1;0;0;0;0;0
476070474;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3765062.8;99.99;99.99;80;50;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2457;0;0;1;0;0;0;0;0
477070470;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3765122.8;99.99;99.99;80;57;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2457;0;0;1;0;0;0;0;0
478070653;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3765182.8;99.99;99.99;80;52;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2457;0;0;1;0;0;0;0;0
479069479;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3765242.8;99.99;99.99;79;52;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2457;0;0;1;0;0;0;0;0
480069470;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3765303.5;99.99;99.99;79;24;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2457;0;0;1;0;0;0;0;0
481069477;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3765364.0;99.99;99.99;79;25;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2457;0;0;1;0;0;0;0;0
482070475;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3765424.8;99.99;99.99;79;21;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2457;0;0;1;0;0;0;0;0
483070470;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3765486.2;99.99;99.99;85;33;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2457;0;0;1;0;0;0;0;0
484070469;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3765548.0;99.99;99.99;85;30;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2457;0;0;1;0;0;0;0;0
485070630;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3765609.8;99.99;99.99;97;19;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2457;0;0;1;0;0;0;0;0
486070474;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3765671.5;99.99;99.99;84;15;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2106;0;0;1;0;0;0;0;0
487070469;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3765733.8;99.99;99.99;73;12;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2106;0;0;1;0;0;0;0;0
488070475;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3765796.8;99.99;99.99;73;14;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2106;0;0;1;0;0;0;0;0
489070470;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3765859.5;99.99;99.99;79;20;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2106;0;0;1;0;0;0;0;0
490070470;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3765922.5;99.99;99.99;79;40;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2106;0;0;1;0;0;0;0;0
491070553;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3765986.0;99.99;99.99;78;14;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2106;0;0;1;0;0;0;0;0
492070621;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3766049.8;99.99;99.99;73;16;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2106;0;0;1;0;0;0;0;0
493070470;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3766113.5;99.99;99.99;72;37;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2106;0;0;1;0;0;0;0;0
494070469;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3766177.5;99.99;99.99;77;32;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2106;0;0;1;0;0;0;0;0
