timestamp;timestamp_sample;hover_thrust;hover_thrust_var;accel_innov;accel_innov_var;accel_innov_test_ratio;accel_noise_var;valid
575597769;575597267;0.4892911;0.009536769;1.5353744;30729.824;8.523659e-06;3.2408593;0
575696737;575696238;0.48917896;0.00952849;2.3783166;30521.525;2.0591626e-05;3.2121012;0
575795718;575795255;0.4890776;0.009520275;0.6803291;30355.113;1.694196e-06;3.1989896;0
575894678;575894177;0.48896572;0.009512071;2.3641574;30279.494;2.0509813e-05;3.181229;0
575993614;575993149;0.4888574;0.009503799;1.9981819;30141.41;1.4718515e-05;3.1621273;0
576092673;576092119;0.48876685;0.009496237;1.9210191;29982.98;1.367559e-05;3.1393597;0
576191658;576191091;0.48868582;0.009487777;0.34515023;30121.338;4.3944e-07;3.1523106;0
576290649;576290106;0.48859486;0.009479434;3.0901828;30270.365;3.5051627e-05;3.1526737;0
576398588;576398027;0.48841017;0.009471222;4.620348;30749.395;7.713834e-05;3.233582;0
576497649;576497037;0.48828086;0.009464136;0.75464547;30990.645;2.041798e-06;3.240831;0
576596383;576595994;0.48817274;0.009456817;2.1162462;30871.72;1.6118664e-05;3.2155027;0
576695516;576694981;0.48805162;0.009449208;3.2264895;30847.863;3.7496688e-05;3.2133925;0
576794451;576793905;0.4879343;0.009441377;1.9213953;30989.45;1.3236619e-05;3.217568;0
576893230;576892875;0.4878292;0.009433296;1.209965;30853.414;5.272297e-06;3.2009563;0
576992346;576991845;0.48773688;0.00942502;1.5327178;30910.182;8.444625e-06;3.19732;0
577091232;577090813;0.48763964;0.009416695;1.5066644;30810.666;8.186334e-06;3.1770513;0
577190376;577189832;0.48753208;0.009408337;1.9282343;30650.129;1.3478601e-05;3.151364;0
577298270;577297754;0.48742366;0.009399207;1.9947345;30682.709;1.4409005e-05;3.1551063;0
577397318;577396723;0.48733267;0.009390985;2.2435796;30633.65;1.8257517e-05;3.1462355;0
577496260;577495697;0.48721996;0.009383018;2.9447587;30433.994;3.1659056e-05;3.121818;0
577595195;577594716;0.48710665;0.009375184;2.103951;30219.213;1.627592e-05;3.0883074;0
577694413;577693669;0.48698825;0.009367271;3.1469586;29936.96;3.67563e-05;3.060428;0
577793154;577792627;0.4868886;0.009359154;1.5183768;29841.172;8.5842175e-06;3.0424087;0
577892040;577891581;0.4867787;0.009350825;1.5175833;29679.219;8.622041e-06;3.0210378;0
577991281;577990543;0.4866845;0.009342279;1.1551173;29739.545;4.9851164e-06;3.0256336;0
578099000;578098512;0.48658085;0.0093336925;2.234146;29701.111;1.8672736e-05;3.0167186;0
578198001;578197484;0.48648027;0.009325181;1.594068;29616.803;9.533076e-06;3.006687;0
578297257;578296454;0.4863604;0.009316789;3.020352;29554.0;3.4297012e-05;3.004309;0
578396033;578395424;0.48625675;0.009308424;1.3251367;29486.984;6.616807e-06;2.9892104;0
578494793;578494441;0.4861502;0.0093000615;2.2809305;29555.742;1.9558687e-05;2.98829;0
578594209;578593364;0.4860507;0.009291826;1.6431987;29622.64;1.0127772e-05;2.9883566;0
578692884;578692337;0.48592728;0.009283835;1.7479838;29585.781;1.1474909e-05;2.9812496;0
578791834;578791305;0.4858102;0.009275924;2.0514722;29429.758;1.5889202e-05;2.9621177;0
578891099;578890274;0.485701;0.009267926;2.0586271;29325.018;1.6057376e-05;2.945762;0
578998800;578998241;0.48558116;0.009259271;1.5035139;29256.918;8.58507e-06;2.9318004;0
579097596;579097210;0.48547003;0.009251667;2.4789672;29226.46;2.3362689e-05;2.9219518;0
579196534;579196183;0.4853256;0.009244654;3.48944;29182.31;4.6360627e-05;2.9216797;0
579295542;579295153;0.4851768;0.009238027;3.0423408;29217.215;3.519933e-05;2.918432;0
579394709;579394248;0.48504704;0.00923138;1.6877508;29331.078;1.07906135e-05;2.9226627;0
579493909;579493096;0.48490536;0.0092246635;2.866181;29325.703;3.1125495e-05;2.9169044;0
579592699;579592163;0.4847519;0.009217817;2.5593746;29393.236;2.4761548e-05;2.920829;0
579691675;579691112;0.48462433;0.009210417;1.4772495;29778.414;8.14261e-06;2.9643164;0
579790705;579790065;0.48455992;0.009202323;-0.038184404;30920.715;5.239381e-09;3.0901453;0
579898312;579897970;0.48445997;0.0091935275;0.3817023;31260.797;5.178536e-07;3.097749;0
579997405;579996940;0.48435244;0.009185544;2.2353394;31388.193;1.7687975e-05;3.0867164;0
580096365;580095910;0.4842636;0.009178283;2.522772;31400.686;2.2520313e-05;3.086251;0
580195223;580194881;0.4841824;0.009170258;0.7425996;31317.926;1.9564732e-06;3.082957;0
580294353;580293898;0.48412263;0.009161058;0.79566884;31921.504;2.2036309e-06;3.1380503;0
580393357;580392825;0.4841159;0.009149979;-0.91371006;33683.66;2.7539434e-06;3.3306198;0
580492298;580491792;0.48412326;0.009139088;-1.0512307;35782.707;3.4314712e-06;3.530454;0
580591218;580590762;0.48413286;0.009128823;-0.5371782;38038.844;8.428824e-07;3.732427;0
580690109;580689736;0.48413023;0.009119311;-1.2127723;39149.754;4.1743315e-06;3.8450902;0
580798222;580797699;0.48413408;0.009109351;-0.21449712;40499.445;1.2622674e-07;3.949261;0
580897199;580896670;0.48412666;0.009100534;0.7854506;41400.65;1.6557245e-06;4.0225954;0
580995967;580995640;0.4841208;0.009091884;0.034462363;41972.266;3.1440193e-09;4.0754476;0
581094988;581094610;0.48411578;0.009083433;0.12304426;42530.242;3.9553264e-08;4.1218266;0
581193983;581193628;0.4841107;0.009075123;1.3116614;43057.92;4.439641e-06;4.1631093;0
581293084;581292554;0.48410493;0.0090669;1.0159192;43274.816;2.6499679e-06;4.177172;0
581392053;581391524;0.48410106;0.009058755;0.24455622;43503.85;1.5275211e-07;4.194037;0
