timestamp;timestamp_sample;switch_changes;mode_slot;arm_switch;return_switch;loiter_switch;offboard_switch;kill_switch;gear_switch;transition_switch;photo_switch;video_switch;payload_power_switch;engage_main_motor_switch
530969505;530945966;7;0;0;0;0;0;3;0;0;0;0;0;0
531981680;531958151;7;0;0;0;0;0;3;0;0;0;0;0;0
532993865;532970355;7;0;0;0;0;0;3;0;0;0;0;0;0
534006083;533982552;7;0;0;0;0;0;3;0;0;0;0;0;0
535018285;534994755;7;0;0;0;0;0;3;0;0;0;0;0;0
536030468;536006953;7;0;0;0;0;0;3;0;0;0;0;0;0
537042793;537019150;7;0;0;0;0;0;3;0;0;0;0;0;0
538054883;538031363;7;0;0;0;0;0;3;0;0;0;0;0;0
539067083;539043555;7;0;0;0;0;0;3;0;0;0;0;0;0
540079330;540055781;7;0;0;0;0;0;3;0;0;0;0;0;0
541091506;541067959;7;0;0;0;0;0;3;0;0;0;0;0;0
542103672;542080265;7;0;0;0;0;0;3;0;0;0;0;0;0
543115899;543092354;7;0;0;0;0;0;3;0;0;0;0;0;0
544128109;544104642;7;0;0;0;0;0;3;0;0;0;0;0;0
545140273;545116754;7;0;0;0;0;0;3;0;0;0;0;0;0
546152470;546129035;7;0;0;0;0;0;3;0;0;0;0;0;0
547164715;547141161;7;0;0;0;0;0;3;0;0;0;0;0;0
548177260;548153399;7;0;0;0;0;0;3;0;0;0;0;0;0
549189149;549165549;7;0;0;0;0;0;3;0;0;0;0;0;0
550201292;550177802;7;0;0;0;0;0;3;0;0;0;0;0;0
551213487;551189942;7;0;0;0;0;0;3;0;0;0;0;0;0
552225658;552202147;7;0;0;0;0;0;3;0;0;0;0;0;0
553237857;553214343;7;0;0;0;0;0;3;0;0;0;0;0;0
554250050;554226532;7;0;0;0;0;0;3;0;0;0;0;0;0
555262406;555238734;7;0;0;0;0;0;3;0;0;0;0;0;0
556274447;556250932;7;0;0;0;0;0;3;0;0;0;0;0;0
557286650;557263131;7;0;0;0;0;0;3;0;0;0;0;0;0
558298860;558275330;7;0;0;0;0;0;3;0;0;0;0;0;0
559311051;559287572;7;0;0;0;0;0;3;0;0;0;0;0;0
560323290;560299724;7;0;0;0;0;0;3;0;0;0;0;0;0
561335438;561311966;7;0;0;0;0;0;3;0;0;0;0;0;0
562347748;562324115;7;0;0;0;0;0;3;0;0;0;0;0;0
563359846;563336311;7;0;0;0;0;0;3;0;0;0;0;0;0
564372027;564348524;7;0;0;0;0;0;3;0;0;0;0;0;0
565384311;565360781;7;0;0;0;0;0;3;0;0;0;0;0;0
566396456;566372900;7;0;0;0;0;0;3;0;0;0;0;0;0
567408626;567385145;7;0;0;0;0;0;3;0;0;0;0;0;0
568420826;568397313;7;0;0;0;0;0;3;0;0;0;0;0;0
569433003;569409492;7;0;0;0;0;0;3;0;0;0;0;0;0
570445220;570421685;7;0;0;0;0;0;3;0;0;0;0;0;0
571457396;571433941;7;0;0;0;0;0;3;0;0;0;0;0;0
572469602;572446102;7;0;0;0;0;0;3;0;0;0;0;0;0
573481796;573458272;7;0;0;0;0;0;3;0;0;0;0;0;0
574493990;574470492;7;0;0;0;0;0;3;0;0;0;0;0;0
575506187;575482735;7;0;0;0;0;0;3;0;0;0;0;0;0
576518406;576494918;7;0;0;0;0;0;3;0;0;0;0;0;0
577530629;577507056;7;0;0;0;0;0;3;0;0;0;0;0;0
578542767;578519256;7;0;0;0;0;0;3;0;0;0;0;0;0
579555389;579531451;7;0;0;0;0;0;3;0;0;0;0;0;0
580567184;580543639;7;0;0;0;0;0;3;0;0;0;0;0;0
581579398;581555840;7;0;0;0;0;0;3;0;0;0;0;0;0
582591561;582568058;7;0;0;0;0;0;3;0;0;0;0;0;0
583603774;583580223;7;0;0;0;0;0;3;0;0;0;0;0;0
584615940;584592425;7;0;0;0;0;0;3;0;0;0;0;0;0
585628244;585604616;7;0;0;0;0;0;3;0;0;0;0;0;0
586640445;586616831;7;0;0;0;0;0;3;0;0;0;0;0;0
587652586;587629025;7;0;0;0;0;0;3;0;0;0;0;0;0
588664723;588641198;7;0;0;0;0;0;3;0;0;0;0;0;0
589676976;589653397;7;0;0;0;0;0;3;0;0;0;0;0;0
590689203;590665605;7;0;0;0;0;0;3;0;0;0;0;0;0
591701290;591677786;7;0;0;0;0;0;3;0;0;0;0;0;0
592713510;592689977;7;0;0;0;0;0;3;0;0;0;0;0;0
593725690;593702167;7;0;0;0;0;0;3;0;0;0;0;0;0
594737929;594714365;7;0;0;0;0;0;3;0;0;0;0;0;0
595750080;595726563;7;0;0;0;0;0;3;0;0;0;0;0;0
596762365;596738757;7;0;0;0;0;0;3;0;0;0;0;0;0
597774475;597751023;7;0;0;0;0;0;3;0;0;0;0;0;0
598786754;598763166;7;0;0;0;0;0;3;0;0;0;0;0;0
599798862;599775422;7;0;0;0;0;0;3;0;0;0;0;0;0
600811214;600787603;7;0;0;0;0;0;3;0;0;0;0;0;0
601823257;601799810;7;0;0;0;0;0;3;0;0;0;0;0;0
602835439;602811912;7;0;0;0;0;0;3;0;0;0;0;0;0
603847625;603824113;7;0;0;0;0;0;3;0;0;0;0;0;0
604859900;604836302;7;0;0;0;0;0;3;0;0;0;0;0;0
605872005;605848495;7;0;0;0;0;0;3;0;0;0;0;0;0
606884212;606860696;7;0;0;0;0;0;3;0;0;0;0;0;0
607896504;607872876;7;0;0;0;0;0;3;0;0;0;0;0;0
608908595;608885102;7;0;0;0;0;0;3;0;0;0;0;0;0
609920780;609897267;7;0;0;0;0;0;3;0;0;0;0;0;0
610932975;610909454;7;0;0;0;0;0;3;0;0;0;0;0;0
611945301;611921650;7;0;0;0;0;0;3;0;0;0;0;0;0
612957390;612933867;7;0;0;0;0;0;3;0;0;0;0;0;0
613969556;613946029;7;0;0;0;0;0;3;0;0;0;0;0;0
614981761;614958260;7;0;0;0;0;0;3;0;0;0;0;0;0
615994022;615970461;7;0;0;0;0;0;3;0;0;0;0;0;0
617006145;616982670;7;0;0;0;0;0;3;0;0;0;0;0;0
618018469;617994801;7;0;0;0;0;0;3;0;0;0;0;0;0
619030515;619007062;7;0;0;0;0;0;3;0;0;0;0;0;0
620042699;620019180;7;0;0;0;0;0;3;0;0;0;0;0;0
621054891;621031384;7;0;0;0;0;0;3;0;0;0;0;0;0
622067133;622043569;7;0;0;0;0;0;3;0;0;0;0;0;0
623079292;623055793;7;0;0;0;0;0;3;0;0;0;0;0;0
624091461;624067952;7;0;0;0;0;0;3;0;0;0;0;0;0
625103665;625080177;7;0;0;0;0;0;3;0;0;0;0;0;0
626115841;626092388;7;0;0;0;0;0;3;0;0;0;0;0;0
627128087;627104555;7;0;0;0;0;0;3;0;0;0;0;0;0
628140228;628116713;7;0;0;0;0;0;3;0;0;0;0;0;0
629152427;629128903;7;0;0;0;0;0;3;0;0;0;0;0;0
630164747;630141098;7;0;0;0;0;0;3;0;0;0;0;0;0
631176856;631153284;7;0;0;0;0;0;3;0;0;0;0;0;0
632188988;632165570;7;0;0;0;0;0;3;0;0;0;0;0;0
633201306;633177665;7;0;0;0;0;0;3;0;0;0;0;0;0
634213386;634189913;7;0;0;0;0;0;3;0;0;0;0;0;0
635225590;635202048;7;0;0;0;0;0;3;0;0;0;0;0;0
636237775;636214324;7;0;0;0;0;0;3;0;0;0;0;0;0
637250120;637226427;7;0;0;0;0;0;3;0;0;0;0;0;0
638262208;638238638;7;0;0;0;0;0;3;0;0;0;0;0;0
639274345;639250804;7;0;0;0;0;0;3;0;0;0;0;0;0
640286543;640263045;7;0;0;0;0;0;3;0;0;0;0;0;0
641298774;641275183;7;0;0;0;0;0;3;0;0;0;0;0;0
642310918;642287381;7;0;0;0;0;0;3;0;0;0;0;0;0
643323091;643299567;7;0;0;0;0;0;3;0;0;0;0;0;0
644335388;644311781;7;0;0;0;0;0;3;0;0;0;0;0;0
645347486;645323948;7;0;0;0;0;0;3;0;0;0;0;0;0
646359664;646336142;7;0;0;0;0;0;3;0;0;0;0;0;0
647371838;647348340;7;0;0;0;0;0;3;0;0;0;0;0;0
648384033;648360521;7;0;0;0;0;0;3;0;0;0;0;0;0
649396637;649372776;7;0;0;0;0;0;3;0;0;0;0;0;0
650408437;650384893;7;0;0;0;0;0;3;0;0;0;0;0;0
651420607;651397122;7;0;0;0;0;0;3;0;0;0;0;0;0
652432797;652409273;7;0;0;0;0;0;3;0;0;0;0;0;0
653444996;653421463;7;0;0;0;0;0;3;0;0;0;0;0;0
654457234;654433716;7;0;0;0;0;0;3;0;0;0;0;0;0
655469383;655445877;7;0;0;0;0;0;3;0;0;0;0;0;0
656481605;656458034;7;0;0;0;0;0;3;0;0;0;0;0;0
657493722;657470256;7;0;0;0;0;0;3;0;0;0;0;0;0
658506080;658482415;7;0;0;0;0;0;3;0;0;0;0;0;0
659518118;659494610;7;0;0;0;0;0;3;0;0;0;0;0;0
660530301;660506788;7;0;0;0;0;0;3;0;0;0;0;0;0
661542528;661518975;7;0;0;0;0;0;3;0;0;0;0;0;0
662554677;662531164;7;0;0;0;0;0;3;0;0;0;0;0;0
663566886;663543360;7;0;0;0;0;0;3;0;0;0;0;0;0
664579070;664555543;7;0;0;0;0;0;3;0;0;0;0;0;0
665591347;665567730;7;0;0;0;0;0;3;0;0;0;0;0;0
666603439;666579944;7;0;0;0;0;0;3;0;0;0;0;0;0
667615673;667592098;7;0;0;0;0;0;3;0;0;0;0;0;0
668627815;668604326;7;0;0;0;0;0;3;0;0;0;0;0;0
669640082;669616481;7;0;0;0;0;0;3;0;0;0;0;0;0
670652199;670628667;7;0;0;0;0;0;3;0;0;0;0;0;0
671664426;671640855;7;0;0;0;0;0;3;0;0;0;0;0;0
672676666;672653131;7;0;0;0;0;0;3;0;0;0;0;0;0
673688781;673665232;7;0;0;0;0;0;3;0;0;0;0;0;0
674700932;674677486;7;0;0;0;0;0;3;0;0;0;0;0;0
675713202;675689605;7;0;0;0;0;0;3;0;0;0;0;0;0
676725304;676701817;7;0;0;0;0;0;3;0;0;0;0;0;0
677737570;677713997;7;0;0;0;0;0;3;0;0;0;0;0;0
678749692;678726169;7;0;0;0;0;0;3;0;0;0;0;0;0
679761885;679738351;7;0;0;0;0;0;3;0;0;0;0;0;0
680774401;680750539;7;0;0;0;0;0;3;0;0;0;0;0;0
