timestamp;rollspeed_integ;pitchspeed_integ;yawspeed_integ
1329041191;-0.0029768923;-0.07882663;0.009421405
1329240547;-0.0038674688;-0.079533756;0.00895003
1329439998;-0.00878727;-0.07818506;0.008709733
1329639495;-0.008488858;-0.07331071;0.00895381
1329838997;-0.009680061;-0.0748517;0.009683467
1330041363;-0.010083661;-0.07520189;0.010933305
1330241203;-0.0068843835;-0.07700509;0.011342062
1330440252;-0.009097678;-0.07845036;0.011044796
1330639705;-0.016782418;-0.079175785;0.011653828
1330839203;-0.012486342;-0.076084554;0.011570549
1331038606;-0.015635721;-0.07430692;0.012267089
1331238059;-0.014349971;-0.07840923;0.012477884
1331442016;-0.0108675305;-0.07401329;0.012579032
1331638461;-0.012369544;-0.07320834;0.012518736
1331840911;-0.0119239455;-0.075259;0.012266718
1332040783;-0.012040251;-0.07342961;0.012267883
1332239816;-0.012961244;-0.07124456;0.0124522885
1332439263;-0.014208692;-0.07330205;0.012594338
1332638764;-0.013248838;-0.071729876;0.012435979
1332838166;-0.011495974;-0.07008358;0.01194217
1333040616;-0.012235886;-0.07308272;0.011620252
1333240066;-0.009487417;-0.074165605;0.011517294
1333439518;-0.009582969;-0.07046678;0.01139719
1333640474;-0.008431589;-0.07353829;0.011207724
1333838471;-0.009142595;-0.07220873;0.010685384
1334039376;-0.008501403;-0.07008181;0.009927821
1334238822;-0.008130502;-0.07240404;0.008648374
1334441274;-0.0070308684;-0.07713814;0.007528795
1334640775;-0.0061922767;-0.07643529;0.007215942
1334840175;-0.004809795;-0.07521819;0.0071140514
1335039623;-0.006135721;-0.073907726;0.007236595
1335239077;-0.006323581;-0.07654621;0.0072368667
1335438530;-0.004336583;-0.081191;0.0070494586
1335640978;-0.004538901;-0.0773351;0.007034046
1335840473;-0.009502911;-0.078570835;0.0072032944
1336041381;-0.0032243745;-0.07892811;0.0070166443
1336240832;-0.0039012043;-0.07563928;0.0071461136
1336440329;-0.0068980446;-0.074464;0.007026819
1336639733;-0.004574185;-0.075684994;0.0070568277
1336839270;0.0011670585;-0.07339831;0.006798345
1337041628;0.0031113205;-0.06850068;0.0067826486
1337241089;0.004169568;-0.07101473;0.0066342917
1337440537;0.0031394295;-0.076338544;0.0066112503
1337640028;0.0013982098;-0.07475253;0.0065170783
1337839436;0.002708505;-0.07599188;0.0065700714
1338038965;0.0010710346;-0.07673072;0.006792153
1338238333;-0.003544454;-0.070005566;0.0069992305
1338442332;-0.00019220742;-0.067838654;0.0067874477
1338641734;-0.0033957488;-0.07248494;0.0062184795
1338841187;-0.00716396;-0.07392402;0.006166973
1339040634;-0.0027524247;-0.07781848;0.005936982
1339240086;-0.0051872972;-0.07837224;0.0059166835
1339439584;-0.004501279;-0.07640783;0.0059049046
1339638990;-0.0059005246;-0.077367544;0.0057128253
1339841437;-0.006358793;-0.0754676;0.0058164145
1340040889;-0.006883929;-0.07449639;0.0062646014
1340240337;-0.007597196;-0.07542005;0.0072204093
1340439890;-0.0059926854;-0.07391519;0.007783201
1340639283;-0.0046588676;-0.07407254;0.008549113
1340838687;-0.004824725;-0.071472526;0.009136305
1341038529;-0.0068571535;-0.073573835;0.009604593
1341242089;-0.0051212586;-0.0768412;0.009620733
1341441584;-0.0062163617;-0.073188685;0.009000743
1341640992;-0.007638238;-0.07461492;0.008489952
1341840435;-0.0073202285;-0.07314173;0.008143201
1342039889;-0.010794317;-0.07123985;0.008362341
1342239337;-0.00976789;-0.07263938;0.009197728
1342438837;-0.008427389;-0.07075539;0.009484523
1342641287;-0.008516501;-0.067762814;0.009450527
1342840691;-0.009693685;-0.07016334;0.00923456
1343041641;-0.006938521;-0.072252996;0.008885195
1343239590;-0.009797738;-0.07401648;0.008546823
1343439038;-0.009032908;-0.06943364;0.00867035
1343639991;-0.009187529;-0.071018696;0.008895427
1343839440;-0.005642515;-0.07038439;0.009142609
1344038903;-0.00043559194;-0.06946283;0.009180754
1344241339;0.002666134;-0.0702604;0.008897105
1344440836;0.001085318;-0.070694946;0.008529078
1344640236;-0.0016999225;-0.071354136;0.008615429
1344840059;-0.0036059874;-0.07199714;0.009477763
1345039137;-0.002002511;-0.068766885;0.010892027
1345238590;-0.0027043924;-0.0749496;0.011373159
1345441038;-0.0046821884;-0.07639475;0.011003831
1345640535;-0.0012867409;-0.075352766;0.010638719
1345841441;-0.0033329558;-0.075537376;0.010120617
1346040898;-0.0046583847;-0.07468941;0.010005985
1346240389;-0.0043471153;-0.075645946;0.010131802
1346439785;-0.006139562;-0.077461675;0.010328128
1346637781;-0.0050074095;-0.07283291;0.01023608
1346842089;-0.0035609736;-0.06911037;0.01008137
