timestamp;imbalanced_prop_metric;motor_failure_mask;motor_stop_mask;fd_roll;fd_pitch;fd_alt;fd_ext;fd_arm_escs;fd_battery;fd_imbalanced_prop;fd_motor
1296319766;-2.223107;0;0;0;0;0;0;0;0;0;0
1296826329;-2.210747;0;0;0;0;0;0;0;0;0;0
1297332767;-2.2238038;0;0;0;0;0;0;0;0;0;0
1297838764;-2.2060375;0;0;0;0;0;0;0;0;0;0
1298345030;-2.1772058;0;0;0;0;0;0;0;0;0;0
1298850837;-2.1263895;0;0;0;0;0;0;0;0;0;0
1299356766;-2.1135108;0;0;0;0;0;0;0;0;0;0
1299862765;-2.1065052;0;0;0;0;0;0;0;0;0;0
1300368778;-2.1658287;0;0;0;0;0;0;0;0;0;0
1300876034;-2.314714;0;0;0;0;0;0;0;0;0;0
1301381766;-2.4503787;0;0;0;0;0;0;0;0;0;0
1301887766;-2.3677216;0;0;0;0;0;0;0;0;0;0
1302393769;-2.3973277;0;0;0;0;0;0;0;0;0;0
1302900241;-2.3575172;0;0;0;0;0;0;0;0;0;0
1303405951;-2.3341312;0;0;0;0;0;0;0;0;0;0
1303911799;-2.3056157;0;0;0;0;0;0;0;0;0;0
1304418003;-2.2418664;0;0;0;0;0;0;0;0;0;0
1304923787;-2.2877033;0;0;0;0;0;0;0;0;0;0
1305429787;-2.2896488;0;0;0;0;0;0;0;0;0;0
1305936901;-2.2582164;0;0;0;0;0;0;0;0;0;0
1306442767;-2.2998512;0;0;0;0;0;0;0;0;0;0
1306949094;-2.3352861;0;0;0;0;0;0;0;0;0;0
1307454802;-2.3442006;0;0;0;0;0;0;0;0;0;0
1307960992;-2.3895319;0;0;0;0;0;0;0;0;0;0
1308466952;-2.4605157;0;0;0;0;0;0;0;0;0;0
1308972785;-2.4617705;0;0;0;0;0;0;0;0;0;0
1309478838;-2.3770895;0;0;0;0;0;0;0;0;0;0
1309984764;-2.4131498;0;0;0;0;0;0;0;0;0;0
1310490766;-2.4256637;0;0;0;0;0;0;0;0;0;0
1310996936;-2.4538043;0;0;0;0;0;0;0;0;0;0
1311502838;-2.582719;0;0;0;0;0;0;0;0;0;0
1312008765;-2.5671637;0;0;0;0;0;0;0;0;0;0
1312514764;-2.7336648;0;0;0;0;0;0;0;0;0;0
1313020826;-2.7076783;0;0;0;0;0;0;0;0;0;0
1313528080;-2.7035959;0;0;0;0;0;0;0;0;0;0
1314033766;-2.7455506;0;0;0;0;0;0;0;0;0;0
1314540765;-2.9132638;0;0;0;0;0;0;0;0;0;0
1315047052;-2.9166198;0;0;0;0;0;0;0;0;0;0
1315552785;-2.881403;0;0;0;0;0;0;0;0;0;0
1316059089;-2.832616;0;0;0;0;0;0;0;0;0;0
1316564792;-2.7779365;0;0;0;0;0;0;0;0;0;0
1317070812;-2.7827196;0;0;0;0;0;0;0;0;0;0
1317576766;-2.787613;0;0;0;0;0;0;0;0;0;0
1318082767;-2.9375284;0;0;0;0;0;0;0;0;0;0
1318589306;-2.8667731;0;0;0;0;0;0;0;0;0;0
1319094766;-2.8225343;0;0;0;0;0;0;0;0;0;0
1319600766;-2.7374399;0;0;0;0;0;0;0;0;0;0
1320106766;-2.6322482;0;0;0;0;0;0;0;0;0;0
1320612766;-2.6103823;0;0;0;0;0;0;0;0;0;0
1321118925;-2.6031842;0;0;0;0;0;0;0;0;0;0
1321624766;-2.6465578;0;0;0;0;0;0;0;0;0;0
1322130864;-2.5789483;0;0;0;0;0;0;0;0;0;0
1322636999;-2.6010184;0;0;0;0;0;0;0;0;0;0
1323142784;-2.6066272;0;0;0;0;0;0;0;0;0;0
1323649262;-2.5602233;0;0;0;0;0;0;0;0;0;0
1324154784;-2.5157473;0;0;0;0;0;0;0;0;0;0
1324661038;-2.494814;0;0;0;0;0;0;0;0;0;0
1325166778;-2.409515;0;0;0;0;0;0;0;0;0;0
1325672789;-2.3600874;0;0;0;0;0;0;0;0;0;0
1326179298;-2.4289894;0;0;0;0;0;0;0;0;0;0
1326685838;-2.559004;0;0;0;0;0;0;0;0;0;0
1327191790;-2.5971372;0;0;0;0;0;0;0;0;0;0
1327698246;-2.651886;0;0;0;0;0;0;0;0;0;0
1328203766;-2.6113155;0;0;0;0;0;0;0;0;0;0
1328709952;-2.5610836;0;0;0;0;0;0;0;0;0;0
1329217433;-2.5832534;0;0;0;0;0;0;0;0;0;0
1329723005;-2.514363;0;0;0;0;0;0;0;0;0;0
1330228905;-2.4293447;0;0;0;0;0;0;0;0;0;0
1330734765;-2.4531612;0;0;0;0;0;0;0;0;0;0
1331240765;-2.4127755;0;0;0;0;0;0;0;0;0;0
1331747167;-2.2815578;0;0;0;0;0;0;0;0;0;0
1332252786;-2.252506;0;0;0;0;0;0;0;0;0;0
1332758971;-2.3316798;0;0;0;0;0;0;0;0;0;0
1333264766;-2.4123325;0;0;0;0;0;0;0;0;0;0
1333770772;-2.3382273;0;0;0;0;0;0;0;0;0;0
1334276766;-2.4527287;0;0;0;0;0;0;0;0;0;0
1334782765;-2.4692311;0;0;0;0;0;0;0;0;0;0
1335288766;-2.508125;0;0;0;0;0;0;0;0;0;0
1335794765;-2.5004656;0;0;0;0;0;0;0;0;0;0
1336300786;-2.5453813;0;0;0;0;0;0;0;0;0;0
1336806775;-2.5609105;0;0;0;0;0;0;0;0;0;0
1337312842;-2.5895264;0;0;0;0;0;0;0;0;0;0
1337818768;-2.5818412;0;0;0;0;0;0;0;0;0;0
1338324780;-2.4738128;0;0;0;0;0;0;0;0;0;0
1338830767;-2.4511511;0;0;0;0;0;0;0;0;0;0
1339336822;-2.4296734;0;0;0;0;0;0;0;0;0;0
1339842824;-2.4649856;0;0;0;0;0;0;0;0;0;0
1340348958;-2.4777174;0;0;0;0;0;0;0;0;0;0
1340854766;-2.4732823;0;0;0;0;0;0;0;0;0;0
1341360765;-2.6500428;0;0;0;0;0;0;0;0;0;0
1341866765;-2.7311623;0;0;0;0;0;0;0;0;0;0
1342373581;-2.7085786;0;0;0;0;0;0;0;0;0;0
1342880765;-2.7313747;0;0;0;0;0;0;0;0;0;0
1343386785;-2.690247;0;0;0;0;0;0;0;0;0;0
1343892787;-2.6513028;0;0;0;0;0;0;0;0;0;0
1344398846;-2.5800676;0;0;0;0;0;0;0;0;0;0
1344904765;-2.456345;0;0;0;0;0;0;0;0;0;0
1345410767;-2.44505;0;0;0;0;0;0;0;0;0;0
1345916821;-2.3832226;0;0;0;0;0;0;0;0;0;0
1346422785;-2.4030023;0;0;0;0;0;0;0;0;0;0
1346928766;-2.469228;0;0;0;0;0;0;0;0;0;0
1347434766;-2.4326947;0;0;0;0;0;0;0;0;0;0
1347940834;-2.3483229;0;0;0;0;0;0;0;0;0;0
1348446901;-2.3405733;0;0;0;0;0;0;0;0;0;0
1348952784;-2.2917433;0;0;0;0;0;0;0;0;0;0
1349458879;-2.351652;0;0;0;0;0;0;0;0;0;0
1349964766;-2.2903903;0;0;0;0;0;0;0;0;0;0
1350471381;-2.2914662;0;0;0;0;0;0;0;0;0;0
1350976766;-2.2301123;0;0;0;0;0;0;0;0;0;0
1351482874;-2.2499824;0;0;0;0;0;0;0;0;0;0
1351988766;-2.3630657;0;0;0;0;0;0;0;0;0;0
1352494766;-2.3738642;0;0;0;0;0;0;0;0;0;0
1353000767;-2.439898;0;0;0;0;0;0;0;0;0;0
1353506785;-2.3837247;0;0;0;0;0;0;0;0;0;0
1354013769;-2.387721;0;0;0;0;0;0;0;0;0;0
1354520815;-2.429907;0;0;0;0;0;0;0;0;0;0
1355026767;-2.522475;0;0;0;0;0;0;0;0;0;0
1355532966;-2.5189435;0;0;0;0;0;0;0;0;0;0
1356038805;-2.5015464;0;0;0;0;0;0;0;0;0;0
1356545178;-2.5123026;0;0;0;0;0;0;0;0;0;0
1357050785;-2.48932;0;0;0;0;0;0;0;0;0;0
1357556799;-2.4026346;0;0;0;0;0;0;0;0;0;0
1358063475;-2.4374254;0;0;0;0;0;0;0;0;0;0
