timestamp;flag_armed;flag_multicopter_position_control_enabled;flag_control_manual_enabled;flag_control_auto_enabled;flag_control_offboard_enabled;flag_control_position_enabled;flag_control_velocity_enabled;flag_control_altitude_enabled;flag_control_climb_rate_enabled;flag_control_acceleration_enabled;flag_control_attitude_enabled;flag_control_rates_enabled;flag_control_allocation_enabled;flag_control_termination_enabled;source_id
1272029761;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1272535861;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1273041771;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1273547759;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1274053966;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1274559792;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1275065759;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1275571776;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1276077780;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1276583897;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1277089758;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1277595760;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1278101759;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1278609026;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1279114762;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1279620761;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1280126814;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1280632761;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1281138760;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1281644765;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1282150759;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1282656764;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1283162760;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1283668780;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1284175288;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1284680778;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1285187071;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1285692796;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1286198760;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1286705760;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1287211760;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1287717760;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1288224531;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1288729778;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1289235779;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1289742106;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1290247760;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1290753896;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1291259761;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1291765758;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1292271760;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1292777761;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1293283922;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
1293789761;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0
