timestamp;yaw_sp_move_rate;q_d[0];q_d[1];q_d[2];q_d[3];thrust_body[0];thrust_body[1];thrust_body[2]
1290189830;1.3e-44;0.081570804;8.369876e-09;4.126133e-09;0.99666756;0.0;0.0;-0.34185824
1290239333;1.3e-44;0.082405195;8.373328e-09;4.119124e-09;0.9965989;0.0;0.0;-0.34185824
1290288878;1.3e-44;0.08287054;8.375251e-09;4.115214e-09;0.99656034;0.0;0.0;-0.34185824
1290338314;1.3e-44;0.08301916;8.3758644e-09;4.1139647e-09;0.99654794;0.0;0.0;-0.34185824
1290387803;1.3e-44;0.083018444;8.375861e-09;4.1139705e-09;0.996548;0.0;0.0;-0.34185824
1290437280;1.3e-44;0.0829082;8.375406e-09;4.1148973e-09;0.9965572;0.0;0.0;-0.34185824
1290486795;1.3e-44;0.08269519;8.374526e-09;4.1166874e-09;0.9965749;0.0;0.0;-0.34185824
1290540781;1.3e-44;0.08223613;8.372629e-09;4.1205444e-09;0.99661285;0.0;0.0;-0.34185824
1290590251;1.3e-44;0.08186462;-0.00042117105;3.459994e-05;0.9966434;0.0;0.0;-0.34288514
1290635238;1.3e-44;0.08148989;-0.000421184;3.4441582e-05;0.9966741;0.0;0.0;-0.34288514
1290689292;1.3e-44;0.08112228;-0.0004211967;3.4286237e-05;0.9967041;0.0;0.0;-0.34185824
1290738840;1.3e-44;0.080871575;-0.0004212053;3.418029e-05;0.9967245;0.0;0.0;-0.34288514
1290788246;1.3e-44;0.08037253;8.36491e-09;4.1361927e-09;0.9967649;0.0;0.0;-0.34288514
1290842184;1.3e-44;0.07981558;-0.00042124128;3.373404e-05;0.9968096;0.0;0.0;-0.34185824
1290887213;1.3e-44;0.07916961;-0.00042126304;3.3461056e-05;0.9968611;0.0;0.0;-0.34288514
1290936711;1.3e-44;0.07830874;-0.00042129177;3.309726e-05;0.9969291;0.0;0.0;-0.34288514
1290986259;1.3e-44;0.07760065;-0.0004213152;3.279803e-05;0.9969845;0.0;0.0;-0.34288514
1291040139;1.3e-44;0.0770613;-0.00042133286;3.2570108e-05;0.9970263;0.0;0.0;-0.34288514
1291089628;1.3e-44;0.07675002;-0.000421343;3.2438562e-05;0.9970503;0.0;0.0;-0.34288514
1291139135;1.3e-44;0.07639641;-0.0004213545;3.2289132e-05;0.99707747;0.0;0.0;-0.34288514
1291188666;1.3e-44;0.07604696;-0.00042136578;3.214146e-05;0.99710417;0.0;0.0;-0.34288514
1291238112;1.3e-44;0.07572947;-0.000421376;3.200729e-05;0.99712837;0.0;0.0;-0.34288514
1291287554;1.3e-44;0.07555413;-0.0004213816;3.1933196e-05;0.99714166;0.0;0.0;-0.34288514
1291337074;1.3e-44;0.07555057;-0.00042138173;3.193169e-05;0.9971419;0.0;0.0;-0.34185824
1291391119;1.3e-44;0.075798765;-0.00042137376;3.2036573e-05;0.99712306;0.0;0.0;-0.34185824
1291440595;1.3e-44;0.07625235;-0.00042135915;3.2228254e-05;0.9970885;0.0;0.0;-0.34288514
1291490054;1.3e-44;0.076951124;-0.00042133644;3.252355e-05;0.9970348;0.0;0.0;-0.34185824
1291539537;1.3e-44;0.07768408;-0.00042131243;3.283329e-05;0.996978;0.0;0.0;-0.34185824
1291589015;1.3e-44;0.078264415;-0.00042129325;3.3078533e-05;0.99693257;0.0;0.0;-0.34288514
1291638596;1.3e-44;0.07848558;-0.0004212859;3.3171993e-05;0.99691516;0.0;0.0;-0.34185824
1291688047;1.3e-44;0.078302324;-0.00042129197;3.309455e-05;0.9969296;0.0;0.0;-0.34288514
1291742044;1.3e-44;0.078094944;8.355438e-09;4.1552934e-09;0.9969459;0.0;0.0;-0.34288514
1291787008;1.3e-44;0.07817208;8.35576e-09;4.154647e-09;0.9969399;0.0;0.0;-0.34185824
1291836504;1.3e-44;0.078545004;8.357313e-09;4.151521e-09;0.9969106;0.0;0.0;-0.34185824
1291891950;1.3e-44;0.07939683;8.360858e-09;4.144378e-09;0.9968431;0.0;0.0;-0.34185824
1291939978;1.3e-44;0.08043134;-0.00042122035;3.3994253e-05;0.9967601;0.0;0.0;-0.34185824
1291989460;1.3e-44;0.08158126;-0.00042118083;3.4480196e-05;0.9966666;0.0;0.0;-0.34288514
1292039006;1.3e-44;0.08251722;-0.0004211483;3.4875724e-05;0.9965896;0.0;0.0;-0.34185824
1292088606;1.3e-44;0.08300299;-0.00042113123;3.5081004e-05;0.99654925;0.0;0.0;-0.34185824
1292137977;1.3e-44;0.08320649;-0.00042112404;3.5167e-05;0.99653226;0.0;0.0;-0.34185824
1292187455;1.3e-44;0.083106354;8.376224e-09;4.1132315e-09;0.99654067;0.0;0.0;-0.34288514
1292241386;1.3e-44;0.08296047;8.375622e-09;4.114458e-09;0.9965528;0.0;0.0;-0.34288514
1292290924;1.3e-44;0.0830453;8.375972e-09;4.1137453e-09;0.9965458;0.0;0.0;-0.34288514
1292340353;1.3e-44;0.0832495;8.376815e-09;4.112029e-09;0.99652874;0.0;0.0;-0.34185824
1292385487;1.3e-44;0.08344776;-0.00042111555;3.526896e-05;0.9965121;0.0;0.0;-0.34288514
1292439318;1.3e-44;0.08358355;-0.00042111072;3.5326342e-05;0.99650073;0.0;0.0;-0.34288514
1292488834;1.3e-44;0.08366777;-0.00042110772;3.5361933e-05;0.99649364;0.0;0.0;-0.34288514
1292538357;1.3e-44;0.08376375;-0.00042110434;3.5402492e-05;0.9964856;0.0;0.0;-0.34288514
1292592288;1.3e-44;0.083727285;-0.00042110562;3.5387082e-05;0.99648863;0.0;0.0;-0.34185824
1292641787;1.3e-44;0.083529614;-0.00042111264;3.530355e-05;0.99650526;0.0;0.0;-0.34288514
1292686764;1.3e-44;0.083452635;-0.00042111537;3.527102e-05;0.9965117;0.0;0.0;-0.34185824
1292736269;1.3e-44;0.08345822;-0.00042111517;3.527338e-05;0.9965112;0.0;0.0;-0.34185824
1292790259;1.3e-44;0.08351833;-0.000421113;3.529878e-05;0.99650615;0.0;0.0;-0.34185824
1292839744;1.3e-44;0.083519876;-0.00042111296;3.5299436e-05;0.99650604;0.0;0.0;-0.34288514
1292889220;1.3e-44;0.08363938;8.378423e-09;4.1087507e-09;0.9964961;0.0;0.0;-0.34185824
1292938728;1.3e-44;0.08371874;8.37875e-09;4.1080837e-09;0.9964894;0.0;0.0;-0.34185824
1292988262;1.3e-44;0.08376862;-0.00042110417;3.540455e-05;0.9964852;0.0;0.0;-0.34288514
1293037707;1.3e-44;0.083796665;8.377219e-09;4.107584e-09;0.99648285;0.0;0.0;-0.34185824
1293087174;1.3e-44;0.08362275;8.378355e-09;4.1088906e-09;0.9964975;0.0;0.0;-0.34288514
1293141244;1.3e-44;0.08343162;8.377566e-09;4.1104977e-09;0.9965135;0.0;0.0;-0.34185824
1293190722;1.3e-44;0.08316812;-0.0004211254;3.5150784e-05;0.9965355;0.0;0.0;-0.34185824
1293235708;1.3e-44;0.083037086;-0.00042113;3.509541e-05;0.9965464;0.0;0.0;-0.34185824
1293289685;1.3e-44;0.08277003;-0.0004211394;3.4982557e-05;0.9965686;0.0;0.0;-0.34185824
1293339147;1.3e-44;0.082512945;-0.00042114843;3.4873916e-05;0.99658996;0.0;0.0;-0.34185824
1293388634;1.3e-44;0.08239735;-0.00042115248;3.4825065e-05;0.9965995;0.0;0.0;-0.34185824
1293438157;1.3e-44;0.082283534;-0.00042115644;3.4776967e-05;0.9966089;0.0;0.0;-0.34185824
1293487611;1.3e-44;0.082245514;-0.00042115775;3.4760902e-05;0.996612;0.0;0.0;-0.34288514
1293537090;1.3e-44;0.08224338;8.372659e-09;4.1204835e-09;0.99661225;0.0;0.0;-0.34288514
1293586566;1.3e-44;0.08197262;8.37154e-09;4.122758e-09;0.9966346;0.0;0.0;-0.34185824
1293636062;1.3e-44;0.08152804;8.3697e-09;4.126492e-09;0.996671;0.0;0.0;-0.34185824
