timestamp;rxerrors;fix;rssi;remote_rssi;txbuf;noise;remote_noise
1290865532;0;0;35;0;100;26;0
1291770118;0;0;35;0;97;23;0
1292015506;0;0;35;0;100;23;0
1292705753;0;0;35;0;100;22;0
1292936114;0;0;35;0;99;30;0
1293870773;0;0;35;0;83;21;0
1293908752;0;0;35;0;94;21;0
1294777754;0;0;35;0;99;22;0
1295027049;0;0;35;0;97;27;0
1295711215;0;0;35;0;100;21;0
1295938630;0;0;31;0;100;28;0
1296632469;0;0;28;0;100;31;0
1296870088;0;0;26;0;100;24;0
1297789058;0;0;25;0;99;25;0
1298025147;0;0;24;0;100;26;0
1298716309;0;0;23;0;100;24;0
1298942753;0;0;22;0;100;32;0
1299636727;0;0;22;0;100;30;0
1299871212;0;0;22;0;98;18;0
1300809274;0;0;22;0;85;22;0
1300855484;0;0;22;0;99;22;0
1301718755;0;0;22;0;100;24;0
1301950201;0;0;22;0;100;31;0
1302655754;0;0;22;0;100;30;0
1302870610;0;0;22;0;98;18;0
1303803028;0;0;22;0;98;22;0
1303808754;0;0;22;0;100;27;0
1304718666;0;0;22;0;95;25;0
1304948206;0;0;22;0;97;22;0
1305658754;0;0;22;0;97;30;0
1305871970;0;0;22;0;100;19;0
1306800713;0;0;22;0;98;21;0
1306806570;0;0;22;0;100;25;0
1307730055;0;0;22;0;98;29;0
1307975298;0;0;22;0;86;22;0
1308657443;0;0;22;0;99;30;0
1308885669;0;0;22;0;100;24;0
1309811987;0;0;22;0;98;21;0
1309817751;0;0;22;0;100;24;0
1310738027;0;0;22;0;100;28;0
1310971350;0;0;22;0;100;21;0
1311664381;0;0;22;0;97;21;0
1311895481;0;0;22;0;100;22;0
1312820714;0;0;22;0;96;17;0
1313737441;0;0;22;0;100;28;0
1313977926;0;0;22;0;100;17;0
1314655747;0;0;21;0;95;19;0
1314886757;0;0;20;0;97;21;0
1315821040;0;0;19;0;99;21;0
1316745761;0;0;18;0;100;33;0
1316977031;0;0;18;0;97;21;0
1317675175;0;0;18;0;96;22;0
1317899350;0;0;18;0;100;22;0
1318656405;0;0;18;0;100;24;0
1318831984;0;0;18;0;100;24;0
1319755106;0;0;17;0;100;27;0
1319987813;0;0;16;0;100;21;0
1320680750;0;0;16;0;100;21;0
1320902754;0;0;16;0;100;21;0
1321832207;0;0;16;0;100;23;0
1322752268;0;0;16;0;97;28;0
1322989051;0;0;16;0;97;20;0
1323680301;0;0;16;0;100;19;0
1323920045;0;0;16;0;100;22;0
1324834753;0;0;16;0;97;28;0
1325810423;0;0;16;0;100;19;0
1325993238;0;0;16;0;99;19;0
1326688485;0;0;16;0;100;19;0
1326927662;0;0;16;0;100;22;0
1327845432;0;0;16;0;100;30;0
1328769514;0;0;16;0;100;24;0
1328996018;0;0;16;0;100;21;0
1329688754;0;0;16;0;100;22;0
1329923748;0;0;16;0;100;32;0
1330844140;0;0;16;0;100;20;0
1331767731;0;0;16;0;100;22;0
1332008435;0;0;16;0;100;30;0
1332696754;0;0;16;0;93;26;0
1332916013;0;0;16;0;100;33;0
1333854412;0;0;16;0;98;23;0
1333860268;0;0;16;0;100;28;0
1334766167;0;0;16;0;97;21;0
1334998595;0;0;16;0;97;31;0
1335693926;0;0;16;0;96;35;0
1335922260;0;0;16;0;100;29;0
1336862365;0;0;16;0;100;26;0
1337780756;0;0;16;0;100;25;0
1338007754;0;0;16;0;98;33;0
1338703180;0;0;16;0;100;34;0
1338938431;0;0;16;0;100;24;0
1339875010;0;0;16;0;83;24;0
1340106760;0;0;16;0;99;28;0
1340786030;0;0;16;0;100;21;0
1341015167;0;0;16;0;97;29;0
1341714418;0;0;16;0;100;30;0
1341945094;0;0;16;0;100;23;0
1342645821;0;0;16;0;100;24;0
1342863707;0;0;16;0;97;23;0
1343789090;0;0;16;0;100;23;0
1344018563;0;0;16;0;100;32;0
1344720278;0;0;16;0;100;33;0
1344939382;0;0;16;0;97;23;0
1345640758;0;0;16;0;98;19;0
1345862623;0;0;16;0;100;27;0
1346800279;0;0;18;0;100;24;0
1347042482;0;0;18;0;87;27;0
1347720789;0;0;18;0;100;24;0
1347950257;0;0;18;0;100;24;0
1348642917;0;0;18;0;98;27;0
1348872550;0;0;18;0;100;28;0
1349802719;0;0;18;0;100;26;0
1350033118;0;0;18;0;100;26;0
1350762610;0;0;18;0;100;20;0
1350953167;0;0;18;0;100;25;0
1351646730;0;0;18;0;97;25;0
1351883380;0;0;18;0;100;30;0
1352795072;0;0;18;0;97;22;0
1353033754;0;0;19;0;100;25;0
1353735043;0;0;19;0;100;24;0
1353956755;0;0;19;0;100;21;0
1354650442;0;0;19;0;100;19;0
1354881969;0;0;19;0;97;30;0
1355810488;0;0;19;0;97;22;0
1356039695;0;0;19;0;100;20;0
1356744432;0;0;19;0;100;21;0
1356963602;0;0;19;0;99;27;0
1357724768;0;0;19;0;100;23;0
1357881627;0;0;19;0;100;30;0
1358819802;0;0;19;0;98;23;0
1358825726;0;0;19;0;100;28;0
1359745559;0;0;19;0;100;23;0
1359967687;0;0;19;0;100;30;0
1360667638;0;0;19;0;100;25;0
1360894152;0;0;19;0;100;27;0
1361824416;0;0;19;0;98;21;0
1361830235;0;0;19;0;100;25;0
1362737761;0;0;19;0;97;23;0
1362978990;0;0;19;0;100;27;0
1363674218;0;0;19;0;100;24;0
1363902002;0;0;19;0;100;27;0
1364877818;0;0;19;0;97;26;0
1365748048;0;0;19;0;97;21;0
1365987007;0;0;19;0;97;33;0
1366679553;0;0;19;0;100;31;0
1366904440;0;0;19;0;100;27;0
1367837097;0;0;19;0;98;24;0
1367842953;0;0;19;0;100;29;0
1368756089;0;0;19;0;100;26;0
1368990753;0;0;19;0;100;36;0
1369684488;0;0;19;0;100;28;0
1369908477;0;0;24;0;100;20;0
1370835092;0;0;31;0;98;24;0
1370851114;0;0;31;0;100;23;0
1371777798;0;0;33;0;84;24;0
1371997923;0;0;35;0;100;33;0
1372681155;0;0;36;0;97;29;0
1372915341;0;0;37;0;100;21;0
1373838537;0;0;38;0;98;23;0
1374070951;0;0;39;0;100;32;0
1374772739;0;0;39;0;100;29;0
1374994717;0;0;39;0;96;28;0
1375686415;0;0;39;0;96;29;0
1375913786;0;0;39;0;100;22;0
1376845267;0;0;39;0;98;24;0
1376851147;0;0;39;0;100;24;0
1377773221;0;0;39;0;100;26;0
1378005651;0;0;39;0;97;23;0
1378695027;0;0;39;0;100;30;0
1379196290;0;0;36;0;100;22;0
1379853438;0;0;34;0;100;23;0
1380088550;0;0;33;0;100;31;0
1380781579;0;0;32;0;100;29;0
1381012119;0;0;32;0;100;21;0
1381705753;0;0;30;0;100;22;0
1381936239;0;0;30;0;100;22;0
1382865754;0;0;30;0;98;20;0
1382872206;0;0;30;0;100;25;0
1383787368;0;0;30;0;96;27;0
1384004493;0;0;30;0;100;22;0
1384705209;0;0;30;0;100;30;0
1384942738;0;0;30;0;100;27;0
1385634159;0;0;30;0;96;25;0
1386109579;0;0;30;0;85;29;0
1386787525;0;0;30;0;98;33;0
1387015617;0;0;30;0;100;20;0
1387716146;0;0;30;0;100;20;0
1387942120;0;0;30;0;97;26;0
1388642576;0;0;30;0;97;22;0
1388868887;0;0;30;0;100;29;0
1389841754;0;0;30;0;100;31;0
1390022650;0;0;30;0;100;21;0
1390722561;0;0;30;0;100;21;0
1390952759;0;0;30;0;100;21;0
1391646360;0;0;30;0;100;22;0
1391870347;0;0;30;0;100;27;0
1392798568;0;0;30;0;100;26;0
1393033749;0;0;30;0;91;29;0
1393719794;0;0;30;0;96;27;0
1393949258;0;0;30;0;99;33;0
1394645754;0;0;30;0;100;32;0
1394890303;0;0;30;0;100;34;0
1395801415;0;0;30;0;97;33;0
1396033754;0;0;30;0;97;30;0
1396777711;0;0;30;0;100;33;0
1396960387;0;0;30;0;100;32;0
1397656754;0;0;30;0;100;31;0
1397897947;0;0;30;0;100;38;0
1398808754;0;0;30;0;100;23;0
1399036765;0;0;30;0;100;24;0
1399736765;0;0;30;0;100;25;0
1399963275;0;0;30;0;100;28;0
1400656752;0;0;30;0;100;25;0
1400893522;0;0;30;0;100;33;0
1401812814;0;0;30;0;100;23;0
1402048024;0;0;30;0;100;25;0
1402737438;0;0;30;0;100;26;0
1402978238;0;0;30;0;100;28;0
1403664717;0;0;30;0;94;30;0
1403888473;0;0;30;0;99;29;0
1404826038;0;0;30;0;100;22;0
1405053762;0;0;30;0;100;29;0
1405735754;0;0;30;0;97;27;0
1405968694;0;0;30;0;97;33;0
1406668189;0;0;30;0;100;33;0
1406896991;0;0;30;0;100;27;0
1407833966;0;0;30;0;100;26;0
1408054245;0;0;30;0;100;25;0
1408747732;0;0;30;0;100;25;0
1408977614;0;0;30;0;98;34;0
1409671149;0;0;30;0;100;32;0
1409908209;0;0;30;0;100;24;0
1410846411;0;0;30;0;84;27;0
1410896649;0;0;30;0;100;27;0
1411755947;0;0;30;0;100;25;0
1411991060;0;0;30;0;100;36;0
1412682337;0;0;30;0;100;35;0
1412915074;0;0;30;0;100;28;0
1413834674;0;0;30;0;97;27;0
1414071033;0;0;30;0;100;30;0
1414759230;0;0;30;0;100;28;0
1414988458;0;0;30;0;100;32;0
1415688179;0;0;30;0;100;32;0
1415916941;0;0;30;0;100;24;0
1416839338;0;0;30;0;100;24;0
1417081282;0;0;30;0;97;31;0
1417773712;0;0;27;0;100;29;0
1418047930;0;0;25;0;97;25;0
1418688299;0;0;23;0;100;30;0
1418922303;0;0;23;0;100;24;0
1419846385;0;0;21;0;100;29;0
1420081263;0;0;20;0;100;33;0
1420774758;0;0;20;0;100;32;0
1421005037;0;0;20;0;100;26;0
1421735350;0;0;20;0;100;20;0
1421925181;0;0;20;0;100;19;0
1422632984;0;0;20;0;100;20;0
1423079439;0;0;20;0;100;29;0
1423767024;0;0;20;0;97;29;0
1424005754;0;0;20;0;100;20;0
1424707635;0;0;20;0;100;21;0
1424928754;0;0;20;0;100;24;0
1425855540;0;0;20;0;97;22;0
1426084668;0;0;20;0;96;29;0
1426782331;0;0;20;0;96;32;0
1427011566;0;0;20;0;99;19;0
1427719941;0;0;20;0;100;23;0
1427935944;0;0;20;0;98;23;0
1428899041;0;0;20;0;98;30;0
1428904748;0;0;20;0;99;33;0
1429791563;0;0;20;0;100;28;0
1430021754;0;0;20;0;100;23;0
1430717788;0;0;20;0;100;22;0
1430939321;0;0;20;0;100;22;0
1431644384;0;0;20;0;100;25;0
1432114602;0;0;20;0;85;24;0
1432795752;0;0;20;0;100;25;0
1433024261;0;0;20;0;100;22;0
1433710121;0;0;20;0;97;23;0
1433950984;0;0;20;0;100;25;0
1434650754;0;0;20;0;100;28;0
1435108167;0;0;20;0;100;27;0
1435846645;0;0;20;0;97;24;0
1436019413;0;0;20;0;96;26;0
1436720136;0;0;20;0;97;24;0
1436958303;0;0;20;0;97;27;0
1437656364;0;0;20;0;100;22;0
1438105845;0;0;20;0;100;26;0
1438805653;0;0;20;0;100;25;0
1439032222;0;0;20;0;97;25;0
1439728194;0;0;20;0;100;23;0
1439962334;0;0;20;0;100;32;0
1440655763;0;0;20;0;100;31;0
1441114481;0;0;20;0;100;21;0
1441806311;0;0;20;0;98;24;0
1442040545;0;0;20;0;100;29;0
1442741539;0;0;20;0;83;28;0
1442973767;0;0;20;0;100;23;0
1444120608;0;0;20;0;96;20;0
1444809958;0;0;20;0;97;22;0
1445032598;0;0;20;0;100;32;0
1445745711;0;0;20;0;100;30;0
1445971943;0;0;20;0;90;23;0
1446907298;0;0;20;0;96;23;0
