timestamp;timestamp_sample;switch_changes;mode_slot;arm_switch;return_switch;loiter_switch;offboard_switch;kill_switch;termination_switch;gear_switch;transition_switch;photo_switch;video_switch;engage_main_motor_switch;payload_power_switch
7997157845;7997134327;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7998170166;7998146634;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7999182590;7999158950;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8000194774;8000171259;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8001207085;8001183586;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8002219392;8002195888;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8003231772;8003208195;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8004244030;8004220527;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8005256410;8005232821;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8006268651;8006245209;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8007280967;8007257443;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8008293351;8008269766;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8009305622;8009282060;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8010317886;8010294404;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8011330250;8011306674;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8012342489;8012319031;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8013354914;8013331297;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8014367182;8014343724;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8015379428;8015355904;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8016391930;8016368215;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8017404052;8017380564;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8018416356;8018392859;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8019428682;8019405131;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8020440980;8020417438;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8021453426;8021429744;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8022465559;8022442101;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8023477894;8023454355;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8024490192;8024466656;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8025502537;8025478966;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8026514811;8026491277;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8027527124;8027503569;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8028539381;8028515897;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8029551699;8029528174;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8030564024;8030540473;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8031576283;8031552798;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8032588593;8032565187;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8033601287;8033577382;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8034613196;8034589680;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8035625519;8035602053;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8036637840;8036614285;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8037650104;8037626585;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8038662419;8038639004;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8039674735;8039651202;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8040687031;8040663487;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8041699313;8041675882;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8042711658;8042688086;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8043723926;8043700429;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8044736248;8044712680;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8045748532;8045724992;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8046760872;8046737279;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8047773111;8047749580;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8048785387;8048761877;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8049797677;8049774252;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8050810042;8050786467;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8051822291;8051798845;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8052834706;8052811061;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8053846892;8053823391;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8054859183;8054835655;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8055871512;8055848015;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8056883871;8056860247;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8057896217;8057872569;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8058908408;8058884841;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8059920650;8059897124;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8060932935;8060909424;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8061945226;8061921764;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8062957533;8062934011;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8063969828;8063946302;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8064982119;8064958653;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8065994400;8065970887;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8067006693;8066983180;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8068018993;8067995467;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8069031290;8069007762;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8070043605;8070020056;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8071055849;8071032404;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8072068187;8072044648;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8073080444;8073056959;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8074092805;8074069319;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8075105426;8075081579;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8076117314;8076093797;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8077129607;8077106168;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8078141935;8078118374;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8079154179;8079130671;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8080166502;8080142990;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8081178810;8081155278;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8082191304;8082167529;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8083203348;8083179863;1;0;0;0;0;0;3;0;0;0;0;0;0;0
8084215688;8084192110;1;0;0;0;0;0;3;0;0;0;0;0;0;0
