timestamp;imbalanced_prop_metric;motor_failure_mask;motor_stop_mask;fd_roll;fd_pitch;fd_alt;fd_ext;fd_arm_escs;fd_battery;fd_imbalanced_prop;fd_motor
8143064977;-2.3764088;0;0;0;0;0;0;0;0;0;0
8143570765;-2.367324;0;0;0;0;0;0;0;0;0;0
8144077786;-2.3504176;0;0;0;0;0;0;0;0;0;0
8144583765;-2.4147975;0;0;0;0;0;0;0;0;0;0
8145089904;-2.4171;0;0;0;0;0;0;0;0;0;0
8145595767;-2.3736248;0;0;0;0;0;0;0;0;0;0
8146101766;-2.3757842;0;0;0;0;0;0;0;0;0;0
8146607784;-2.325544;0;0;0;0;0;0;0;0;0;0
8147113860;-2.3567433;0;0;0;0;0;0;0;0;0;0
8147619941;-2.3076231;0;0;0;0;0;0;0;0;0;0
8148125790;-2.2296789;0;0;0;0;0;0;0;0;0;0
8148632125;-2.2308095;0;0;0;0;0;0;0;0;0;0
8149137785;-2.3160808;0;0;0;0;0;0;0;0;0;0
8149643786;-2.2230268;0;0;0;0;0;0;0;0;0;0
8150149980;-2.3032289;0;0;0;0;0;0;0;0;0;0
8150655766;-2.4802406;0;0;0;0;0;0;0;0;0;0
8151161767;-2.4958935;0;0;0;0;0;0;0;0;0;0
8151667782;-2.528507;0;0;0;0;0;0;0;0;0;0
8152173767;-2.6007102;0;0;0;0;0;0;0;0;0;0
8152680083;-2.671552;0;0;0;0;0;0;0;0;0;0
8153185833;-2.6986563;0;0;0;0;0;0;0;0;0;0
8153691768;-2.6542146;0;0;0;0;0;0;0;0;0;0
8154197768;-2.5631492;0;0;0;0;0;0;0;0;0;0
8154703785;-2.5507298;0;0;0;0;0;0;0;0;0;0
8155209990;-2.6257687;0;0;0;0;0;0;0;0;0;0
8155715981;-2.573214;0;0;0;0;0;0;0;0;0;0
8156221765;-2.729094;0;0;0;0;0;0;0;0;0;0
8156727843;-2.714404;0;0;0;0;0;0;0;0;0;0
8157233766;-2.586316;0;0;0;0;0;0;0;0;0;0
8157740556;-2.4684033;0;0;0;0;0;0;0;0;0;0
8158245764;-2.4815576;0;0;0;0;0;0;0;0;0;0
8158753767;-2.5269084;0;0;0;0;0;0;0;0;0;0
8159260440;-2.525448;0;0;0;0;0;0;0;0;0;0
8159765812;-2.655439;0;0;0;0;0;0;0;0;0;0
8160271767;-2.5660667;0;0;0;0;0;0;0;0;0;0
8160777784;-2.507574;0;0;0;0;0;0;0;0;0;0
8161283786;-2.491909;0;0;0;0;0;0;0;0;0;0
8161789997;-2.555462;0;0;0;0;0;0;0;0;0;0
8162295766;-2.6276002;0;0;0;0;0;0;0;0;0;0
8162801765;-2.5460954;0;0;0;0;0;0;0;0;0;0
8163307765;-2.4415598;0;0;0;0;0;0;0;0;0;0
8163814108;-2.4331696;0;0;0;0;0;0;0;0;0;0
8164319933;-2.5010042;0;0;0;0;0;0;0;0;0;0
8164826032;-2.520275;0;0;0;0;0;0;0;0;0;0
8165331781;-2.5308695;0;0;0;0;0;0;0;0;0;0
8165837767;-2.5884533;0;0;0;0;0;0;0;0;0;0
8166343779;-2.615284;0;0;0;0;0;0;0;0;0;0
8166850305;-2.5872765;0;0;0;0;0;0;0;0;0;0
8167355886;-2.5168135;0;0;0;0;0;0;0;0;0;0
8167861818;-2.4453804;0;0;0;0;0;0;0;0;0;0
8168367779;-2.3650112;0;0;0;0;0;0;0;0;0;0
8168873768;-2.345068;0;0;0;0;0;0;0;0;0;0
8169379932;-2.3140285;0;0;0;0;0;0;0;0;0;0
8169885807;-2.235202;0;0;0;0;0;0;0;0;0;0
8170391766;-2.1369388;0;0;0;0;0;0;0;0;0;0
8170897858;-2.1505568;0;0;0;0;0;0;0;0;0;0
8171403809;-2.0506728;0;0;0;0;0;0;0;0;0;0
8171909901;-2.0827863;0;0;0;0;0;0;0;0;0;0
8172416152;-2.0419488;0;0;0;0;0;0;0;0;0;0
8172921767;-2.2852733;0;0;0;0;0;0;0;0;0;0
8173427767;-2.2756958;0;0;0;0;0;0;0;0;0;0
8173933766;-2.3330915;0;0;0;0;0;0;0;0;0;0
