timestamp;gyro_rad[0];gyro_rad[1];gyro_rad[2];gyro_integral_dt;accelerometer_timestamp_relative;accelerometer_m_s2[0];accelerometer_m_s2[1];accelerometer_m_s2[2];accelerometer_integral_dt;accelerometer_clipping;gyro_clipping;accel_calibration_count;gyro_calibration_count
8285371015;0.14302632;-0.05249412;-0.73929787;4452;0;-0.13210784;-0.45497558;-10.664526;4362;0;0;4;1
8285375514;0.13863067;-0.06054069;-0.7035352;4499;0;0.22293565;0.37402523;-9.333022;4363;0;0;4;1
8285380013;0.06939987;-0.05937067;-0.7323952;4499;0;0.0016490282;-0.7404082;-9.987638;4363;0;0;4;1
8285384512;0.08269494;-0.05039202;-0.7590719;4499;0;0.043909226;0.500566;-10.880492;5818;0;0;4;1
8285389058;0.12502529;0.01902087;-0.6956681;4546;0;0.4859864;-0.35842472;-7.9688272;4362;0;0;4;1
8285393510;0.03180475;-0.088110976;-0.73187876;4452;0;0.6361891;-0.25749075;-9.711044;4364;0;0;4;1
8285398009;0.08336542;-0.11502679;-0.7426199;4499;0;-0.6103252;0.10944035;-10.372553;4361;0;0;4;1
8285402508;0.06673485;0.04764271;-0.73968136;4499;0;-0.29087567;-1.374344;-10.698204;4363;0;0;4;1
8285407007;-0.0042039044;-0.05794614;-0.7567995;4499;0;1.9497838;0.7099318;-8.12851;4362;0;0;4;1
8285411553;0.07236959;-0.14001884;-0.73129356;4546;0;-0.5332774;0.9364159;-10.168891;4363;0;0;4;1
8285416004;0.15563338;0.020033132;-0.74076885;4451;0;-0.723056;-1.069963;-11.120462;4362;0;0;4;1
8285420503;0.068218775;0.014332209;-0.741907;4499;0;1.5947971;-0.8348824;-8.286091;4362;0;0;4;1
8285425002;0.045930296;-0.18349871;-0.75476325;4499;0;0.36904964;0.8988357;-9.271503;4362;0;0;4;1
8285429501;0.14246246;-0.040435843;-0.7620746;4499;0;-1.3765368;-0.1550558;-11.433066;4363;0;0;4;1
8285434047;0.057100378;0.028921675;-0.74699014;4546;0;0.82217956;-1.1917008;-8.7987585;5816;0;0;4;1
8285438499;-0.012227695;-0.15979353;-0.7594712;4452;0;1.0727583;1.4466571;-10.204386;4362;0;0;4;1
8285442998;0.09293778;-0.088277295;-0.726198;4499;0;-1.2679702;-0.30980283;-10.3308525;4362;0;0;4;1
8285447497;0.0405088;0.0100669535;-0.7699764;4499;0;0.5506996;-1.6723787;-9.401798;4363;0;0;4;1
8285451996;-0.014145117;-0.08514383;-0.78862673;4499;0;1.5989736;0.5672045;-9.107617;4362;0;0;4;1
8285456542;0.02770732;-0.20086633;-0.73966664;4546;0;-0.56253064;0.21810222;-9.891678;4365;0;0;4;1
8285460994;-0.0026626391;-0.033413716;-0.76930535;4452;0;-0.6097334;-1.1202832;-10.565452;4361;0;0;4;1
8285465493;-0.067781106;-0.037820112;-0.7683991;4499;0;1.0226712;0.0762179;-9.357571;4361;0;0;4;1
8285469992;-0.006906456;-0.16092283;-0.7600321;4499;0;0.66974026;0.73098993;-9.935201;4363;0;0;4;1
8285474491;0.04611404;-0.08062824;-0.7728804;4499;0;-0.44947878;-0.28470805;-9.747466;4363;0;0;4;1
8285479037;-0.020887673;-0.09955518;-0.7718435;4546;0;0.2082659;-1.0625336;-9.101632;5817;0;0;4;1
8285483488;0.0010492188;-0.15557511;-0.7995298;4451;0;0.018366762;0.41821006;-10.727766;4361;0;0;4;1
8285487987;-0.023339715;-0.12945685;-0.74254996;4499;0;-0.2594854;-0.0037051335;-9.527837;4362;0;0;4;1
8285492486;-0.044731304;-0.05984709;-0.79251975;4499;0;0.13517614;-0.33323756;-9.580363;4362;0;0;4;1
8285496985;0.02668873;-0.16074577;-0.7907579;4499;0;0.63215727;0.2586614;-9.677014;4362;0;0;4;1
