timestamp;freefall;ground_contact;maybe_landed;landed;in_ground_effect;in_descend;has_low_throttle;vertical_movement;horizontal_movement;rotational_movement;close_to_ground_or_skipped_check;at_rest
7967005804;0;0;0;0;0;0;0;0;0;0;1;0
7968013711;0;0;0;0;0;0;0;0;0;1;1;0
7969021546;0;0;0;0;0;0;0;0;0;0;1;0
7970029587;0;0;0;0;0;0;0;0;0;0;1;0
7971037128;0;0;0;0;0;0;0;0;0;0;1;0
7972045276;0;0;0;0;0;0;0;0;0;0;1;0
7973052800;0;0;0;0;0;0;0;0;0;0;1;0
7974060893;0;0;0;0;0;0;0;0;0;0;1;0
7975068540;0;0;0;0;0;0;0;0;0;0;1;0
7976076544;0;0;0;0;0;0;0;0;0;0;1;0
7977084077;0;0;0;0;0;0;0;0;0;0;1;0
7978092199;0;0;0;0;0;0;0;0;0;0;1;0
7979099792;0;0;0;0;0;0;0;0;0;1;1;0
7980107581;0;0;0;0;0;0;0;0;0;1;1;0
7981115394;0;0;0;0;0;0;0;0;0;1;1;0
7982123297;0;0;0;0;0;0;0;0;0;1;1;0
7983130995;0;0;0;0;0;0;0;0;0;1;1;0
7984138822;0;0;0;0;0;0;0;0;0;1;1;0
7985146730;0;0;0;0;0;0;0;0;0;1;1;0
7986154550;0;0;0;0;0;0;0;0;0;1;1;0
7987162275;0;0;0;0;0;0;0;0;0;1;1;0
7988170186;0;0;0;0;0;0;0;0;0;0;1;0
7989178025;0;0;0;0;0;0;0;0;0;1;1;0
7990185746;0;0;0;0;0;0;0;0;0;1;1;0
7991193570;0;0;0;0;0;0;0;0;0;0;1;0
7992201397;0;0;0;0;0;0;0;0;0;1;1;0
7993209194;0;0;0;0;0;0;0;0;0;1;1;0
7994217014;0;0;0;0;0;0;0;0;0;1;1;0
7995224926;0;0;0;0;0;0;0;0;0;1;1;0
7996232618;0;0;0;0;0;0;0;0;0;1;1;0
7997240494;0;0;0;0;0;0;0;0;0;0;1;0
7998248281;0;0;0;0;0;0;0;0;0;0;1;0
7999256143;0;0;0;0;0;0;0;0;0;1;1;0
8000263936;0;0;0;0;0;0;0;0;0;0;1;0
8001271718;0;0;0;0;0;0;0;0;0;0;1;0
8002279541;0;0;0;0;0;0;0;0;0;0;1;0
8003287329;0;0;0;0;0;0;0;0;0;0;1;0
8004295141;0;0;0;0;0;0;0;0;0;1;1;0
8005303011;0;0;0;0;0;0;0;0;0;1;1;0
8006310758;0;0;0;0;0;0;0;0;0;0;1;0
8007318585;0;0;0;0;0;0;0;0;0;0;1;0
8008326418;0;0;0;0;0;0;0;0;0;0;1;0
8009334246;0;0;0;0;0;0;0;0;0;0;1;0
8010342067;0;0;0;0;0;0;0;0;0;1;1;0
8011349828;0;0;0;0;0;0;0;0;0;1;1;0
8012357661;0;0;0;0;0;0;0;0;0;1;1;0
8013365714;0;0;0;0;0;0;0;0;0;0;1;0
8014373224;0;0;0;0;0;0;0;0;0;1;1;0
8015381333;0;0;0;0;0;0;0;0;0;1;1;0
8016388836;0;0;0;0;0;0;0;0;0;0;1;0
8017396889;0;0;0;0;0;0;0;0;0;0;1;0
8018404482;0;0;0;0;0;0;0;0;0;0;1;0
8019412572;0;0;0;0;0;0;0;0;0;0;1;0
8020420133;0;0;0;0;0;0;0;0;0;1;1;0
8021428109;0;0;0;0;0;0;0;0;0;1;1;0
8022435707;0;0;0;0;0;0;0;0;0;1;1;0
8023443479;0;0;0;0;0;0;0;0;0;0;1;0
8024451291;0;0;0;0;0;0;0;0;0;1;1;0
8025459189;0;0;0;0;0;0;0;0;0;0;1;0
8026466928;0;0;0;0;0;0;0;0;0;0;1;0
8027474765;0;0;0;0;0;0;0;0;0;0;1;0
8028482587;0;0;0;0;0;0;0;0;0;1;1;0
8029490372;0;0;0;0;0;0;0;0;0;0;1;0
8030498196;0;0;0;0;0;0;0;0;0;0;1;0
8031505928;0;0;0;0;0;0;0;0;0;1;1;0
8032513803;0;0;0;0;0;0;0;0;0;1;1;0
8033521520;0;0;0;0;0;0;0;0;0;1;1;0
8034529349;0;0;0;0;0;0;0;0;0;1;1;0
8035537229;0;0;0;0;0;0;0;0;0;1;1;0
8036545027;0;0;0;0;0;0;0;0;0;1;1;0
8037552729;0;0;0;0;0;0;0;0;0;1;1;0
8038560666;0;0;0;0;0;0;0;0;0;1;1;0
8039568384;0;0;0;0;0;0;0;0;0;1;1;0
8040576147;0;0;0;0;0;0;0;0;0;1;1;0
8041583913;0;0;0;0;0;0;0;0;0;1;1;0
8042591801;0;0;0;0;0;0;0;0;0;1;1;0
8043599443;0;0;0;0;0;0;0;0;0;1;1;0
8044607337;0;0;0;0;0;0;0;0;0;1;1;0
8045615199;0;0;0;0;0;0;0;0;0;1;1;0
8046622948;0;0;0;0;0;0;0;0;0;0;1;0
8047630758;0;0;0;0;0;0;0;0;0;1;1;0
8048638574;0;0;0;0;0;0;0;0;0;0;1;0
8049646368;0;0;0;0;0;0;0;0;0;0;1;0
8050654221;0;0;0;0;0;0;0;0;0;0;1;0
8051661939;0;0;0;0;0;0;0;0;0;0;1;0
8052669757;0;0;0;0;0;0;0;0;0;1;1;0
8053677532;0;0;0;0;0;0;0;0;0;1;1;0
8054685641;0;0;0;0;0;0;0;0;0;1;1;0
8055693237;0;0;0;0;0;0;0;0;0;1;1;0
8056701189;0;0;0;0;0;0;0;0;0;1;1;0
8057708700;0;0;0;0;0;0;0;0;0;0;1;0
8058716786;0;0;0;0;0;0;0;0;0;0;1;0
8059724366;0;0;0;0;0;0;0;0;0;0;1;0
8060732422;0;0;0;0;0;0;0;0;0;1;1;0
8061739860;0;0;0;0;0;0;0;0;0;0;1;0
8062748000;0;0;0;0;0;0;0;0;0;1;1;0
8063755553;0;0;0;0;0;0;0;0;0;1;1;0
8064763578;0;0;0;0;0;0;0;0;0;1;1;0
8065771108;0;0;0;0;0;0;0;0;0;0;1;0
8066778861;0;0;0;0;0;0;0;0;0;1;1;0
8067786683;0;0;0;0;0;0;0;0;0;1;1;0
8068794463;0;0;0;0;0;0;0;0;0;0;1;0
8069802324;0;0;0;0;0;0;0;0;0;0;1;0
8070810046;0;0;0;0;0;0;0;0;0;1;1;0
8071817840;0;0;0;0;0;0;0;0;0;1;1;0
8072825700;0;0;0;0;0;0;0;0;0;1;1;0
8073833487;0;0;0;0;0;0;0;0;0;0;1;0
8074841187;0;0;0;0;0;0;0;0;0;0;1;0
8075849071;0;0;0;0;0;0;0;0;0;0;1;0
8076856811;0;0;0;0;0;0;0;0;0;1;1;0
8077864634;0;0;0;0;0;0;0;0;0;0;1;0
8078872343;0;0;0;0;0;0;0;0;0;1;1;0
8079880180;0;0;0;0;0;0;0;0;0;0;1;0
8080888075;0;0;0;0;0;0;0;0;0;0;1;0
8081895714;0;0;0;0;0;0;0;0;0;0;1;0
8082903617;0;0;0;0;0;0;0;0;0;0;1;0
8083911341;0;0;0;0;0;0;0;0;0;0;1;0
8084919113;0;0;0;0;0;0;0;0;0;1;1;0
8085926936;0;0;0;0;0;0;0;0;0;1;1;0
8086934666;0;0;0;0;0;0;0;0;0;0;1;0
8087942411;0;0;0;0;0;0;0;0;0;0;1;0
8088950250;0;0;0;0;0;0;0;0;0;0;1;0
8089958073;0;0;0;0;0;0;0;0;0;0;1;0
8090965880;0;0;0;0;0;0;0;0;0;0;1;0
8091973656;0;0;0;0;0;0;0;0;0;0;1;0
8092981401;0;0;0;0;0;0;0;0;0;1;1;0
8093989211;0;0;0;0;0;0;0;0;0;0;1;0
8094997000;0;0;0;0;0;0;0;0;0;0;1;0
8096004786;0;0;0;0;0;0;0;0;0;0;1;0
8097012531;0;0;0;0;0;0;0;0;0;1;1;0
8098021946;0;0;0;0;0;0;0;0;0;1;1;0
8099028128;0;0;0;0;0;0;0;0;0;0;1;0
8100036258;0;0;0;0;0;0;0;0;0;1;1;0
8101043725;0;0;0;0;0;0;0;0;0;0;1;0
8102051721;0;0;0;0;0;0;0;0;0;0;1;0
8103059267;0;0;0;0;0;0;0;0;0;0;1;0
8104067381;0;0;0;0;0;0;0;0;0;0;1;0
8105074809;0;0;0;0;0;0;0;0;0;0;1;0
