timestamp;safe_points_id;is_evaluation_pending;has_vtol_approach;rtl_type;safe_point_index
8154807552;0;0;98;1;0
8156831673;0;0;98;1;0
8158856256;0;0;98;1;0
8160880979;0;0;98;1;0
8162905330;0;0;98;1;0
8164929934;0;0;98;1;0
8166954553;0;0;98;1;0
8168979039;0;0;98;1;0
8171003489;0;0;98;1;0
8173028445;0;0;98;1;0
8175052686;0;0;98;1;0
8177077130;0;0;98;1;0
8179101939;0;0;98;1;0
8181126264;0;0;98;1;0
8183150859;0;0;98;1;0
8185175401;0;0;98;1;0
8187199993;0;0;98;1;0
8189224931;0;0;98;1;0
8191248957;0;0;98;1;0
8193273794;0;0;98;1;0
8195289411;0;0;98;1;0
8197313550;0;0;98;1;0
8199338935;0;0;98;1;0
8201362654;0;0;98;1;0
8203387232;0;0;98;1;0
8205411764;0;0;98;1;0
8207436258;0;0;98;1;0
8209460914;0;0;98;1;0
8211485488;0;0;98;1;0
8213509983;0;0;98;1;0
8215534423;0;0;98;1;0
8217559341;0;0;98;1;0
8219583544;0;0;98;1;0
8221607999;0;0;98;1;0
8223632955;0;0;98;1;0
8225657137;0;0;98;1;0
8227681781;0;0;98;1;0
8229706136;0;0;98;1;0
8231730756;0;0;98;1;0
8233755758;0;0;98;1;0
8235779782;0;0;98;1;0
8237804582;0;0;98;1;0
8239828947;0;0;98;1;0
8241853437;0;0;98;1;0
8243877933;0;0;98;1;0
8245902579;0;0;98;1;0
8247926909;0;0;98;1;0
8249951516;0;0;98;1;0
8251976122;0;0;98;1;0
8254000528;0;0;98;1;0
8256025107;0;0;98;1;0
8258050217;0;0;98;1;0
8260074188;0;0;98;1;0
8262098649;0;0;98;1;0
8264123253;0;0;98;1;0
8266147748;0;0;98;1;0
8268172203;0;0;98;1;0
8270196821;0;0;98;1;0
8272221283;0;0;98;1;0
8274245847;0;0;98;1;0
8276270315;0;0;98;1;0
8278295273;0;0;98;1;0
8280319701;0;0;98;1;0
8282344092;0;0;98;1;0
8284368464;0;0;98;1;0
8286392968;0;0;98;1;0
8288417476;0;0;98;1;0
8290433176;0;0;98;1;0
8292457506;0;0;98;1;0
8294482048;0;0;98;1;0
8296506545;0;0;98;1;0
8298531068;0;0;98;1;0
8300555626;0;0;98;1;0
8302580851;0;0;98;1;0
8304604679;0;0;98;1;0
8306629180;0;0;98;1;0
8308653671;0;0;98;1;0
8310678185;0;0;98;1;0
8312702707;0;0;98;1;0
8314727374;0;0;98;1;0
8316751780;0;0;98;1;0
8318776292;0;0;98;1;0
8320800802;0;0;98;1;0
8322825673;0;0;98;1;0
8324850161;0;0;98;1;0
8326874602;0;0;98;1;0
8328899021;0;0;98;1;0
8330923424;0;0;98;1;0
8332947945;0;0;98;1;0
8334972453;0;0;98;1;0
8336997418;0;0;98;1;0
8339021486;0;0;98;1;0
8341046023;0;0;98;1;0
8343070524;0;0;98;1;0
8345095304;0;0;98;1;0
8347119555;0;0;98;1;0
8349144186;0;0;98;1;0
8351169046;0;0;98;1;0
8353193120;0;0;98;1;0
8355217659;0;0;98;1;0
8357242162;0;0;98;1;0
8359266615;0;0;98;1;0
8361282173;0;0;98;1;0
8363306719;0;0;98;1;0
8365331165;0;0;98;1;0
8367356095;0;0;98;1;0
8369380175;0;0;98;1;0
8371404952;0;0;98;1;0
8373429302;0;0;98;1;0
8375453763;0;0;98;1;0
8377478415;0;0;98;1;0
8379502845;0;0;98;1;0
8381527730;0;0;98;1;0
8383551845;0;0;98;1;0
8385576342;0;0;98;1;0
8387600857;0;0;98;1;0
8389625642;0;0;98;1;0
8391649950;0;0;98;1;0
8393674436;0;0;98;1;0
8395699094;0;0;98;1;0
8397723352;0;0;98;1;0
8399747910;0;0;98;1;0
8401772510;0;0;98;1;0
8403797008;0;0;98;1;0
8405821913;0;0;98;1;0
8407845999;0;0;98;1;0
8409870820;0;0;98;1;0
8411895024;0;0;98;1;0
8413919478;0;0;98;1;0
8415944032;0;0;98;1;0
8417968524;0;0;98;1;0
8419092131;0;0;98;1;0
8419107532;0;0;98;1;0
