timestamp;data_rate;rate_multiplier;tx_rate_avg;tx_error_rate_avg;tx_message_count;tx_buffer_overruns;rx_rate_avg;rx_message_count;rx_message_lost_count;rx_buffer_overruns;rx_parse_errors;rx_packet_drop_count;rx_message_lost_rate;type;mode;flow_control;forwarding;mavlink_v2;ftp;streams;heartbeat_type_antenna_tracker;heartbeat_type_gcs;heartbeat_type_onboard_controller;heartbeat_type_gimbal;heartbeat_type_adsb;heartbeat_type_camera;heartbeat_type_parachute;heartbeat_type_open_drone_id;heartbeat_component_telemetry_radio;heartbeat_component_log;heartbeat_component_osd;heartbeat_component_vio;heartbeat_component_pairing_manager;heartbeat_component_udp_bridge;heartbeat_component_uart_bridge;open_drone_id_system_healthy;parachute_system_healthy
8215495862;1200.0;0.28181258;629.6943;0.0;150756;0;20.791792;14938;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8216749340;1200.0;0.28181258;560.90344;0.0;150785;0;20.959024;14940;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8218009996;1200.0;0.28181258;984.0159;0.0;150807;0;41.95804;14942;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8219019840;1200.0;0.28181258;620.33875;0.0;150821;0;20.977638;14943;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8219269878;1200.0;0.28181258;556.47144;0.0;150824;0;20.793417;14943;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8220519864;1200.0;0.28181258;554.57074;0.0;150851;0;41.967518;14945;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8221770124;1200.0;0.28181258;910.59973;0.0;150872;0;20.808046;14947;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8223029820;1200.0;0.28181258;637.60925;0.0;150890;0;20.791605;14949;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8224030848;1200.0;0.28181258;542.5866;0.0;150914;0;41.585106;14950;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8224271435;1200.0;0.28181258;944.0475;0.0;150918;0;20.978832;14950;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8225531855;1200.0;0.28181258;652.3535;0.0;150937;0;20.97921;14951;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8226782899;1200.0;0.28181258;503.94052;0.0;150957;0;41.995045;14954;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8228042820;1200.0;0.28181258;598.47156;0.0;150986;0;20.981474;14955;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8229043866;1200.0;0.28181258;914.9808;0.0;151000;0;20.99956;14957;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8229295038;1200.0;0.28181258;611.8076;0.0;151003;0;41.918304;14957;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8230544854;1200.0;0.28181258;550.98126;0.0;151022;0;20.999287;14958;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8231804838;1200.0;0.28181258;931.6878;0.0;151052;0;20.792183;14960;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8233056863;1200.0;0.28181258;626.9874;0.0;151071;0;41.99916;14962;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8234066844;1200.0;0.28181258;586.8381;0.0;151087;0;20.958504;14963;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8234316859;1200.0;0.28181258;555.98773;0.0;151090;0;20.999537;14963;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8235576999;1200.0;0.28181258;873.2863;0.0;151116;0;20.79253;14964;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8236836819;1200.0;0.28181258;595.9112;0.0;151136;0;20.996872;14966;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8238097868;1200.0;0.28181258;586.1914;0.0;151166;0;20.793953;14968;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8239098856;1200.0;0.28181258;947.59094;0.0;151182;0;41.937637;14969;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8239348912;1200.0;0.28181258;622.5088;0.0;151185;0;20.983442;14969;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8240608848;1200.0;0.28181258;604.06805;0.0;151203;0;20.795786;14970;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8241858963;1200.0;0.28181258;576.3255;0.0;151232;0;41.5905;14974;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8243108889;1200.0;0.28181258;872.7635;0.0;151251;0;41.560165;14975;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8244109931;1200.0;0.28181258;604.3092;0.0;151265;0;20.804087;14977;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8244369820;1200.0;0.28181258;537.31757;0.0;151269;0;41.946724;14977;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8245619983;1200.0;0.28181258;957.61725;0.0;151299;0;20.796238;14978;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8246881859;1200.0;0.28181258;579.1007;0.0;151318;0;20.96744;14981;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
