timestamp;timestamp_sample;information_event_changes;gps_checks_passed;reset_vel_to_gps;reset_vel_to_flow;reset_vel_to_vision;reset_vel_to_zero;reset_pos_to_last_known;reset_pos_to_gps;reset_pos_to_vision;starting_gps_fusion;starting_vision_pos_fusion;starting_vision_vel_fusion;starting_vision_yaw_fusion;yaw_aligned_to_imu_gps;reset_hgt_to_baro;reset_hgt_to_gps;reset_hgt_to_rng;reset_hgt_to_ev
8086142809;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
8087150591;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
8088158356;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
8089166296;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
8090173902;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
8091181761;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
8092189776;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
8093197437;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
8094205378;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
8095212894;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
8096220982;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
8097228496;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
8098236449;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
8099244080;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
8100252092;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
8101259690;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
8102267460;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
8103275183;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
8104283000;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
8105290682;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
8106298539;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
8107306310;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
8108314069;7838045256;36;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
