timestamp;io_errors;frames_tx;frames_rx;interface
8319358813;230520;226523;0;1
8319460810;230521;226523;0;1
8319562817;230521;226523;0;1
8319664811;230522;226523;0;1
8319766812;230522;226537;0;1
8319868825;230535;226538;0;1
8319970811;230536;226538;0;1
8320072822;230536;226538;0;1
8320174833;230536;226538;0;1
8320276824;230536;226541;0;1
8320378875;230539;226541;0;1
8320480818;230539;226541;0;1
8320582839;230539;226541;0;1
8320684820;230540;226553;0;1
8320786911;230551;226556;0;1
8320888811;230554;226556;0;1
8320990817;230554;226556;0;1
8321092852;230554;226556;0;1
8321194814;230554;226556;0;1
8321296811;230554;226559;0;1
8321398833;230557;226559;0;1
8321500985;230557;226559;0;1
8321602839;230557;226559;0;1
8321704810;230558;226571;0;1
8321806810;230569;226574;0;1
8321908812;230572;226574;0;1
8322010810;230572;226574;0;1
8322112809;230572;226574;0;1
8322214809;230572;226574;0;1
8322316811;230572;226577;0;1
8322418815;230575;226577;0;1
8322520812;230575;226577;0;1
8322622811;230575;226577;0;1
8322724835;230576;226589;0;1
8322826823;230589;226592;0;1
8322928812;230592;226592;0;1
8323030809;230592;226592;0;1
8323132811;230592;226592;0;1
8323234811;230592;226592;0;1
8323336824;230592;226595;0;1
8323438814;230595;226595;0;1
8323540812;230595;226595;0;1
8323642811;230596;226595;0;1
8323744814;230596;226607;0;1
8323846812;230607;226610;0;1
8323948813;230610;226610;0;1
8324050811;230610;226610;0;1
8324152811;230610;226610;0;1
8324254810;230610;226610;0;1
8324356811;230610;226613;0;1
8324458812;230613;226613;0;1
8324560811;230613;226613;0;1
8324662843;230614;226613;0;1
8324764811;230614;226625;0;1
8324866812;230625;226628;0;1
8324968817;230628;226628;0;1
8325070811;230628;226628;0;1
8325172811;230628;226628;0;1
8325274818;230628;226631;0;1
8325376811;230631;226631;0;1
8325478814;230631;226631;0;1
8325580810;230631;226631;0;1
8325682810;230632;226643;0;1
8325784809;230643;226646;0;1
8325886810;230646;226646;0;1
8325988812;230646;226646;0;1
8326090810;230646;226646;0;1
8326192810;230646;226646;0;1
8326294828;230646;226649;0;1
8326396810;230649;226649;0;1
8326498832;230649;226649;0;1
8326600818;230649;226649;0;1
8326703406;230650;226661;0;1
8326805025;230661;226661;0;1
8326906867;230661;226664;0;1
8327009599;230664;226664;0;1
8327110810;230664;226664;0;1
8327212810;230664;226664;0;1
8327315489;230664;226664;0;1
8327416809;230664;226667;0;1
8327518816;230667;226667;0;1
8327621257;230667;226667;0;1
8327722811;230668;226679;0;1
8327824818;230679;226681;0;1
8327927115;230681;226682;0;1
8328028824;230682;226682;0;1
8328130823;230682;226682;0;1
8328233080;230682;226682;0;1
8328334810;230682;226684;0;1
8328436811;230684;226685;0;1
8328539015;230685;226685;0;1
8328640810;230686;226685;0;1
8328742811;230686;226697;0;1
8328844915;230697;226699;0;1
8328946843;230699;226700;0;1
8329048813;230700;226700;0;1
8329150854;230700;226700;0;1
8329252811;230700;226700;0;1
8329354824;230700;226702;0;1
8329457181;230702;226703;0;1
8329558811;230703;226703;0;1
8329660810;230704;226703;0;1
8329762811;230704;226715;0;1
8329864837;230715;226717;0;1
8329966810;230717;226718;0;1
8330068824;230718;226718;0;1
8330170810;230718;226718;0;1
8330272837;230718;226718;0;1
8330374811;230718;226721;0;1
8330476835;230721;226721;0;1
8330578811;230721;226721;0;1
8330680810;230722;226733;0;1
8330782816;230733;226733;0;1
8330884811;230733;226736;0;1
8330986810;230736;226736;0;1
8331088811;230736;226736;0;1
8331190809;230736;226736;0;1
8331292812;230736;226736;0;1
8331394811;230736;226739;0;1
8331496811;230739;226739;0;1
8331598846;230739;226739;0;1
8331700810;230740;226751;0;1
8331802809;230751;226751;0;1
8331904811;230751;226754;0;1
8332006812;230754;226754;0;1
8332109125;230754;226754;0;1
8332210812;230754;226754;0;1
8332312811;230754;226754;0;1
8332414811;230754;226757;0;1
8332516811;230757;226757;0;1
8332618817;230757;226757;0;1
8332720811;230758;226769;0;1
8332822811;230769;226769;0;1
8332925134;230769;226772;0;1
8333026901;230772;226772;0;1
8333128878;230772;226772;0;1
8333230958;230772;226772;0;1
8333332851;230772;226772;0;1
8333434855;230772;226775;0;1
8333536903;230775;226775;0;1
8333638811;230776;226775;0;1
8333740811;230776;226787;0;1
8333842863;230787;226787;0;1
8333944809;230787;226790;0;1
8334046821;230790;226790;0;1
8334148813;230790;226790;0;1
8334250876;230790;226790;0;1
8334352811;230790;226790;0;1
8334454812;230790;226793;0;1
8334556812;230793;226793;0;1
8334658813;230794;226793;0;1
8334760976;230794;226805;0;1
8334862809;230805;226805;0;1
8334964810;230805;226808;0;1
8335066810;230808;226808;0;1
8335168818;230808;226808;0;1
8335270809;230808;226808;0;1
8335372810;230808;226808;0;1
8335474817;230808;226811;0;1
8335576923;230811;226811;0;1
8335678813;230812;226823;0;1
8335780831;230823;226823;0;1
8335882811;230823;226823;0;1
8335984811;230823;226826;0;1
8336086811;230826;226826;0;1
8336188813;230826;226826;0;1
8336290812;230826;226826;0;1
8336392811;230826;226826;0;1
8336494884;230826;226829;0;1
8336596811;230829;226829;0;1
8336698813;230830;226841;0;1
8336800811;230841;226841;0;1
