timestamp;armed;prearmed;ready_to_arm;lockdown;kill;termination;in_esc_calibration_mode
8010478779;1;0;1;0;0;0;0
8010984776;1;0;1;0;0;0;0
8011490759;1;0;1;0;0;0;0
8011996757;1;0;1;0;0;0;0
8012502912;1;0;1;0;0;0;0
8013008757;1;0;1;0;0;0;0
8013515760;1;0;1;0;0;0;0
8014022409;1;0;1;0;0;0;0
8014527759;1;0;1;0;0;0;0
8015033757;1;0;1;0;0;0;0
8015539758;1;0;1;0;0;0;0
8016045757;1;0;1;0;0;0;0
8016551780;1;0;1;0;0;0;0
8017057758;1;0;1;0;0;0;0
8017563759;1;0;1;0;0;0;0
8018069827;1;0;1;0;0;0;0
8018575758;1;0;1;0;0;0;0
8019081757;1;0;1;0;0;0;0
8019587758;1;0;1;0;0;0;0
8020093773;1;0;1;0;0;0;0
8020600147;1;0;1;0;0;0;0
8021105760;1;0;1;0;0;0;0
8021611774;1;0;1;0;0;0;0
8022117758;1;0;1;0;0;0;0
8022623778;1;0;1;0;0;0;0
8023129832;1;0;1;0;0;0;0
8023635830;1;0;1;0;0;0;0
8024141758;1;0;1;0;0;0;0
8024647758;1;0;1;0;0;0;0
8025153757;1;0;1;0;0;0;0
8025659759;1;0;1;0;0;0;0
8026165836;1;0;1;0;0;0;0
8026671759;1;0;1;0;0;0;0
8027177847;1;0;1;0;0;0;0
8027683758;1;0;1;0;0;0;0
8028189800;1;0;1;0;0;0;0
8028695767;1;0;1;0;0;0;0
8029201778;1;0;1;0;0;0;0
8029707758;1;0;1;0;0;0;0
8030213759;1;0;1;0;0;0;0
8030719882;1;0;1;0;0;0;0
8031226146;1;0;1;0;0;0;0
8031731831;1;0;1;0;0;0;0
8032237771;1;0;1;0;0;0;0
8032743758;1;0;1;0;0;0;0
8033249757;1;0;1;0;0;0;0
8033755757;1;0;1;0;0;0;0
8034261762;1;0;1;0;0;0;0
8034767757;1;0;1;0;0;0;0
8035273999;1;0;1;0;0;0;0
8035780428;1;0;1;0;0;0;0
8036285760;1;0;1;0;0;0;0
8036791758;1;0;1;0;0;0;0
8037297758;1;0;1;0;0;0;0
8037803759;1;0;1;0;0;0;0
8038309759;1;0;1;0;0;0;0
8038815758;1;0;1;0;0;0;0
8039321758;1;0;1;0;0;0;0
8039827771;1;0;1;0;0;0;0
8040334758;1;0;1;0;0;0;0
8040840759;1;0;1;0;0;0;0
8041346759;1;0;1;0;0;0;0
8041852758;1;0;1;0;0;0;0
8042358858;1;0;1;0;0;0;0
8042864760;1;0;1;0;0;0;0
8043370761;1;0;1;0;0;0;0
8043876796;1;0;1;0;0;0;0
8044382798;1;0;1;0;0;0;0
8044890759;1;0;1;0;0;0;0
8045396758;1;0;1;0;0;0;0
8045903164;1;0;1;0;0;0;0
8046408758;1;0;1;0;0;0;0
8046915155;1;0;1;0;0;0;0
8047420759;1;0;1;0;0;0;0
8047926766;1;0;1;0;0;0;0
8048432759;1;0;1;0;0;0;0
8048938758;1;0;1;0;0;0;0
8049445189;1;0;1;0;0;0;0
8049950759;1;0;1;0;0;0;0
8050456759;1;0;1;0;0;0;0
8050962758;1;0;1;0;0;0;0
8051468807;1;0;1;0;0;0;0
8051975017;1;0;1;0;0;0;0
8052480899;1;0;1;0;0;0;0
8052986778;1;0;1;0;0;0;0
8053492776;1;0;1;0;0;0;0
8053998758;1;0;1;0;0;0;0
8054505582;1;0;1;0;0;0;0
8055010759;1;0;1;0;0;0;0
8055516759;1;0;1;0;0;0;0
8056022758;1;0;1;0;0;0;0
8056528757;1;0;1;0;0;0;0
8057035446;1;0;1;0;0;0;0
8057540784;1;0;1;0;0;0;0
8058046758;1;0;1;0;0;0;0
8058552758;1;0;1;0;0;0;0
8059059786;1;0;1;0;0;0;0
8059565783;1;0;1;0;0;0;0
8060071906;1;0;1;0;0;0;0
8060578001;1;0;1;0;0;0;0
8061083759;1;0;1;0;0;0;0
8061589757;1;0;1;0;0;0;0
8062095759;1;0;1;0;0;0;0
8062601810;1;0;1;0;0;0;0
8063107757;1;0;1;0;0;0;0
8063613759;1;0;1;0;0;0;0
8064119759;1;0;1;0;0;0;0
8064625757;1;0;1;0;0;0;0
8065132309;1;0;1;0;0;0;0
8065637758;1;0;1;0;0;0;0
8066143759;1;0;1;0;0;0;0
8066649782;1;0;1;0;0;0;0
8067155759;1;0;1;0;0;0;0
8067661761;1;0;1;0;0;0;0
8068167824;1;0;1;0;0;0;0
8068673788;1;0;1;0;0;0;0
8069179849;1;0;1;0;0;0;0
8069685758;1;0;1;0;0;0;0
8070191813;1;0;1;0;0;0;0
8070697759;1;0;1;0;0;0;0
8071203777;1;0;1;0;0;0;0
8071709970;1;0;1;0;0;0;0
8072215757;1;0;1;0;0;0;0
8072721896;1;0;1;0;0;0;0
8073227759;1;0;1;0;0;0;0
8073733758;1;0;1;0;0;0;0
8074239757;1;0;1;0;0;0;0
8074747818;1;0;1;0;0;0;0
8075253844;1;0;1;0;0;0;0
8075759759;1;0;1;0;0;0;0
8076265979;1;0;1;0;0;0;0
8076771772;1;0;1;0;0;0;0
8077277766;1;0;1;0;0;0;0
8077783759;1;0;1;0;0;0;0
8078289757;1;0;1;0;0;0;0
8078795894;1;0;1;0;0;0;0
8079301757;1;0;1;0;0;0;0
8079808322;1;0;1;0;0;0;0
8080313758;1;0;1;0;0;0;0
8080819777;1;0;1;0;0;0;0
8081325962;1;0;1;0;0;0;0
8081831759;1;0;1;0;0;0;0
8082337838;1;0;1;0;0;0;0
8082844136;1;0;1;0;0;0;0
8083349758;1;0;1;0;0;0;0
8083856008;1;0;1;0;0;0;0
8084361759;1;0;1;0;0;0;0
8084867833;1;0;1;0;0;0;0
8085373760;1;0;1;0;0;0;0
8085879759;1;0;1;0;0;0;0
8086385961;1;0;1;0;0;0;0
8086891758;1;0;1;0;0;0;0
8087397775;1;0;1;0;0;0;0
8087903791;1;0;1;0;0;0;0
8088409757;1;0;1;0;0;0;0
8088915912;1;0;1;0;0;0;0
8089421770;1;0;1;0;0;0;0
8089928758;1;0;1;0;0;0;0
8090435041;1;0;1;0;0;0;0
8090940771;1;0;1;0;0;0;0
8091447158;1;0;1;0;0;0;0
8091952757;1;0;1;0;0;0;0
8092458828;1;0;1;0;0;0;0
8092964803;1;0;1;0;0;0;0
8093470829;1;0;1;0;0;0;0
8093977294;1;0;1;0;0;0;0
8094482759;1;0;1;0;0;0;0
8094988759;1;0;1;0;0;0;0
8095494758;1;0;1;0;0;0;0
8096000759;1;0;1;0;0;0;0
8096506924;1;0;1;0;0;0;0
8097012759;1;0;1;0;0;0;0
8097518759;1;0;1;0;0;0;0
8098024758;1;0;1;0;0;0;0
8098530759;1;0;1;0;0;0;0
8099037291;1;0;1;0;0;0;0
8099542778;1;0;1;0;0;0;0
8100048778;1;0;1;0;0;0;0
8100554804;1;0;1;0;0;0;0
8101060817;1;0;1;0;0;0;0
8101567308;1;0;1;0;0;0;0
8102072800;1;0;1;0;0;0;0
8102578769;1;0;1;0;0;0;0
8103086406;1;0;1;0;0;0;0
8103591783;1;0;1;0;0;0;0
8104097758;1;0;1;0;0;0;0
8104603757;1;0;1;0;0;0;0
8105109928;1;0;1;0;0;0;0
8105615786;1;0;1;0;0;0;0
8106121758;1;0;1;0;0;0;0
8106627801;1;0;1;0;0;0;0
8107133757;1;0;1;0;0;0;0
8107639757;1;0;1;0;0;0;0
8108145758;1;0;1;0;0;0;0
8108651758;1;0;1;0;0;0;0
8109157820;1;0;1;0;0;0;0
8109663954;1;0;1;0;0;0;0
8110169772;1;0;1;0;0;0;0
8110675919;1;0;1;0;0;0;0
8111181783;1;0;1;0;0;0;0
8111687758;1;0;1;0;0;0;0
8112193758;1;0;1;0;0;0;0
8112700156;1;0;1;0;0;0;0
8113205820;1;0;1;0;0;0;0
